Source,Estimated duration,Crude death rate,Crude death rate,Crude death rate
 -, -,Total,Male,Female
1. Vaidhyanathan & Gaige  1973,1954,36.7, -, -
2. CBS  1977,1953-61,27,28,24.8
3. Guvaju  1975,1961,22, -, -
4. CBS  1977,1961-71,21.4,21.3,22.6
5. CBS  Demographic Sample Survey 1976,1974-75,19.5,18.6,20.4
6. CBS  Demographic Sample Survey 1977,1976,22.2,21.5,22.8
7. CBS  Demographic Sample Survey 1978,1977-78,17.1,17.9,16.2
8. CBS  1977 (Census data),1971-81,13.5,12.2,14.9
9. New Era  1986,1984,10.9,10.8,11
10. CBS Demographic Sample Survey 1986,1985-86,16.1, -, -
11. CBS Census,1991,13.3,12.9,13.6
12. CBS,1996,11.6, -, -
13. MOPE*,2001*,9.62, -, -
14. MOHP,2006,9, -, -
15. CBS,2008,8.3, -, -
16. PRB datasheet,2012,6, -, -
