Characteristics,NFHS 1996,NDHS 2001,NDHS 2006,NDHS 2011
Residence, -, -, -, -
Urban,61.1,50.1,37,38
Rural,95.3,79.3,64,55
Ecological Region, -, -, -, -
Mountain,136.5,112,99,73
Hill,87.4,66.2,47,50
Terai,90.9,80.8,65,53
Development Region, -, -, -, -
Eastern,79.4,77.5,45,47
Central,86.3,77.4,52,52
Western,84.3,60.1,56,53
Mid-western,114.8,72.9,97,58
Far western,124.3,112.2,74,65
Education, -, -, -, -
No education,97.5,84.6,69,62
Primary,80,61,58,53
Secondary,53.4,49.9,35,37
"SLC and above 
-",-, -,13,31
Age of mother at birth**, -, -, -, -
< 20,120.1,108.2,83,69
20-29,79.5,67.6,50,49
30-39,103.9,72.9,62,49
40-49,-,-,91,-
Previous birth interval**, -, -, -, -
< 2 yrs,141.4,124.4,96,87
2-3 yrs,78.8,67.8*,57,50
3,-,45.2,38,38
4 +,44.7,38.9,28,26
Sex of Child**, -, -, -, -
Male,101.9,79.2,60,54
Female,83.7,75.2,61,52
