year,Place of Enumeration  ,Total,Place of Birth(Mountain),Place of Birth(hill),Place of Birth(terai),Net migration
1971,Mountain,9698 (2.2%),-,9258,440,-39959
1971,Hill,25366 (5.7%),15667,-,9699,-359966
1971,Terai,410064 (92.1%),33990,376074,-,399925
1971,Total,445128 (100),49657 (11.2%),385332 (86.6%),10139 (2.3%),0
1981,Mountain,35619 (3.8%),-,33423,2196,-261467
1981,Hill,169923 (18.3),134254,-,35669,-424711
1981,Terai,724043 (77.9%),162832,561211,-,686178
1981,Total,929585 (100),297086 (32%),594634 (64%),37865 (4%),0
1991,Mountain,36674 (3.0%),-,32003,4671,-161655
1991,Hill,173968 (14.2%),76503,-,97465,-753923
1991,Terai,1017714 (82.8%),121826,895888,-,915578
1991,Total,1228356 (100),198329 (16.1%),927891 (75.5%),102136 (8.3%),0
2001,Mountain,40319 (2.3%),-,33895,6424,-255103
2001,Hill,360171 (20.9%),125597,-,234574,-830759
2001,Terai,1326860 (76.8%),169825,1157035,-,1085862
2001,Total,1727350 (100.0),295422 (17.1%),1190930 (68.9%),240998 (14.0%),0
2011,Mountain,45169 (2.2%),-,37672,7497,-349132
2011,Hill,588815(28.2%),213714,-,375101,-722456
2011,Terai,1454186(69.6%) 180587, -,1273599,-,1071588
2011,Total, -,2088170 (100.0) 394301 (18.9%) 1311271 (62.8%) 382598 (18.3%) 0, -, -, -
