Source,Estimated duration,Crude death rate,Crude death rate,Crude death rate
 -, -,Total,Male,Female
 Vaidhyanathan & Gaige  1973,1954,36.7, -, -
 CBS  1977,1953-61,27,28,24.8
 Guvaju  1975,1961,22, -, -
 CBS  1977,1961-71,21.4,21.3,22.6
 CBS  Demographic Sample Survey 1976,1974-75,19.5,18.6,20.4
 CBS  Demographic Sample Survey 1977,1976,22.2,21.5,22.8
 CBS  Demographic Sample Survey 1978,1977-78,17.1,17.9,16.2
 CBS  1977 (Census data),1971-81,13.5,12.2,14.9
 New Era 1986,1984,10.9,10.8,11
 CBS Demographic Sample Survey 1986,1985-86,16.1, -, -
 CBS Census,1991,13.3,12.9,13.6
 CBS,1996,11.6, -, -
 MOPE*,2001*,9.62, -, -
 MOHP,2006,9, -, -
 CBS,2008,8.3, -, -
 PRB datasheet,2012,6, -, -
