Population District,1981,1991,2001,2011,Area in sq. Kms.,Population per Density sq km 2011,Average Annual growth rate2001-2011
Taplejung,120780,120053,134698,127446,3646,35,-0.55
Panchthar,153746,175206,202056,191817,1241,155,-0.52
Ilam,178356,229214,282806,290254,1703,170,0.26
Jhapa,479743,593737,688109,812650,1606,506,1.66
Morang,534692,674823,843220,965370,1855,520,1.35
Sunsari,344594,463481,625633,763487,1257,607,1.99
Dhankuta,129781,146386,166479,163412,891,183,-0.19
Terhathum,92454,102870,113111,101577,679,150,-1.08
Sankhuwasabha,129414,141903,159203,158742,3480,46,-0.03
Bhojpur,192689,198784,203018,182459,1507,121,-1.07
Solukhumbu,88245,97200,107686,105886,3312,32,-0.17
Okhaldhunga,137640,139457,156702,147984,1074,138,-0.57
Khotang,212571,215965,231385,206312,1591,130,-1.15
Udayapur,159805,221256,287689,317532,2063,154,0.99
Saptari,379055,465668,570282,639284,1363,469,1.14
Siraha,375358,460746,572399,637328,1188,536,1.07
Dhanusha,432569,543672,671364,754777,1180,640,1.17
Mahottari,361054,440146,553481,627580,1002,626,1.26
Sarlahi,398766,492798,635701,769729,1259,611,1.91
Sindhuli,183705,223900,279821,296192,2491,119,0.57
Ramechhap,161445,188064,212408,202646,1546,131,-0.47
Dolakha,148510,173236,204229,186557,2191,85,-0.91
Sindhupalchok,234919,261025,305857,297798,2542,113,-0.27
Kavrepalanchowk,307150,324329,385672,381937,1396,274,-0.1
Lalitpur,199688,257086,337785,468132,385,1216,3.26
Bhaktapur,144420,172952,225461,304651,119,2560,3.01
Kathmandu,426281,675341,1081845,1744240,395,4416,4.78
Nuwakot,210549,245260,288478,277471,1121,248,-0.39
Rasuwa,30241,36744,44731,43300,1544,28,-0.33
Dhading,236647,278068,338658,336067,1926,174,-0.08
Makawanpur,243411,314599,392604,420477,2426,173,0.69
Rautahat,332526,414005,545132,686722,1126,610,2.31
Bara,318957,415718,559135,687708,1190,578,2.07
Parsa,284338,372524,497219,601017,1353,444,1.9
