Source,Reference Period,Infant mortality rate, -, -
 -, -,Total,Male,Female
1. Vaidhyanathan & Gaige  1973,1954,-,260,250
2. Guvaju  1974,1961-71,-,200,186
3. CBS  1974,1971,172,-,-
4. Nepal Fertility Survey  1976,1976,152,-,-
5. CBS  1985,1978,144,147,142
6. New Era  1986,1981,117,136,111
7. Fertility and Family Planning Survey 1986,1983-84,108,117,98
8. Fertility and Family Planning Survey  1991,1989,102,-,-
9. Census  1991,1991,97,94,101
10. Nepal Family Health Survey 1996,1993-96,79,-,-
11. Nepal Demographic Health Survey 2001,2001,64,79.2*,75.2*
12. Nepal Demographic Health Survey  2006,2006,48,60*,61*
13 Nepal Demographic and Health Survey  2011,2011,46,54*,52*
