Census yrs.,Mountain,Hill,Mountain & Hill,Terai,Total
1952/54,-,-,5349988,2906637,8256625
1952/54,-,-,-64.8,-35.2, -
1961,-,-,5991297,3421699,9412996
1961,-,-,-63.6,-36.4, -
1971,1138610,6071407,7210017,4345966,11555983
1971,-9.9,-52.5,-62.4,-37.6, -
1981,1302896,7163115,8466011,6556828,15022839
1981,-8.7,-45.5,-56.4,-43.6, -
1991,1443130,8419889,9863019,8628078,18491097
1991,-7.8,-45.5,-53.3,-46.7, -
2001,1687859,10251111,11938970,11212453,23151423
2001,-7.3,-44.3,-51.6,-48.4, -
2011,1781792,11394007,13175799,13318705,26494504
2011,-6.7,-43,-49.7,-50.3, -
