1991,1991,1991,2001,2001,2001,2011,2011,2011
District,Population,Percent,District,Population,Percent,District,Population,Percent
Kathmandu,675341,3.65,Kathmandu,1081845,4.67,Kathmandu,"1,744,240",6.58
Morang,674823,3.65,Morang,843220,3.64,Morang,"965,370",3.64
Jhapa,593737,3.21,Rupendehi,708419,3.06,Rupendehi,"880,196",3.32
Dhanusa,543672,2.94,Jhapa,688109,2.97,Jhapa,"812,650",3.07
Rupendehi,522150,2.82,Dhanusa,671364,2.9,Kailali,"775,709",2.93
Sarlahi,492798,2.67,Sarlahi,635701,2.75,Sarlahi,"769,729",2.91
Sapatari,465668,2.52,Sunsari,625633,2.7,Sunsari,"763,487",2.88
Sunsari,463481,2.51,Kailali,616697,2.66,Dhanusa,"754,777",2.85
Siraha,460746,2.49,Siraha,572399,2.47,Bara,"687,708",2.6
Mahottari,440146,2.38,Sapatari,570282,2.46,Rautahat,"686,722",2.59
