Municipality,District,Census Year,Census Year,Census Year,Popn Difference (1991-2001),Popn Difference (2001-2011),Av. growth rate (2001-2011)
 -, -,1991,2001,2011, -, -, -
Ilam,Ilam,13197,16237,19427,3040,3190,1.79
Bhadrapur,Jhapa,15210,18145,18646,2935,501,0.27
Damak,Jhapa,41321,35009,75743,-6312,40734,7.72
Mechinagar,Jhapa,37108,49060,57909,11952,8849,1.66
Biratnagar,Morang,129388,166674,204949,37286,38275,2.07
Dharan,Sunsari,66457,95332,119915,28875,24583,2.29
Inarwa,Sunsari,18547,23200,28923,4653,5723,2.2
Itahari,Sunsari,26824,41210,76869,14386,35659,6.23
Dhankuta,Dhankuta,17073,20668,28364,3595,7696,3.17
Khandbari,Sankhuwasabha,18756,21789,26658,3033,4869,2.02
Triyuga,Udaypur,37512,55291,71405,17779,16114,2.56
Rajbiraj,Saptari,24227,30353,38241,6126,7888,2.31
Lahan,Siraha,19018,27654,33927,8636,6273,2.04
Siraha,Siraha,21866,23988,28831,2122,4843,1.84
Janakpur,Dhanusha,54710,74192,98446,19482,24254,2.83
Jaleshwor,Mahottari,18088,22046,24765,3958,2719,1.16
Malangwa,Sarlahi,14142,18484,25143,4342,6659,3.08
Kamala Mai,Sindhuli,19266,32838,41117,13572,8279,2.25
Bhimeswor,Dolakha,19266,21916,23337,2650,1421,0.63
Banepa,Kavrepalanchok,12537,15822,24894,3285,9072,4.53
Dhulikhel,Kavrepalanchok,9812,11521,16263,1709,4742,3.45
Panauti,Kavrepalanchok,20104,25563,28312,5459,2749,1.02
Lalitpur,Lalitpur,115865,162991,226728,47126,63737,3.3
Bhaktapur,Bhaktapur,61405,72543,83658,11138,11115,1.43
Madhyapur-
Thimi,Bhaktapur,31970,47751,84142,15781,36391,5.67
Kathmandu,Kathmandu,421258,671846,1003285,250588,331439,4.01
Kirtipur,Kathmandu,31338,40835,67171,9497,26336,4.98
Bidur,Nuwakot,18694,21193,27953,2499,6760,2.77
Hetauda,Makwanpur,53836,68482,85653,14646,17171,2.24
Gaur,Rautahat,20434,25383,35370,4949,9987,3.32
Kalaiya,Bara,18498,32260,43137,13762,10877,2.91
Birgunj,Parsa,69005,112484,139068,43479,26584,2.12
Bharatpur,Chitwan,54670,89323,147777,34653,58454,5.03
Ratnanagar,Chitwan,25118,37791,46607,12673,8816,2.1
Gorkha,Gorkha,20633,25783,33865,5150,8082,2.73
Byas,Tanahu,20124,28245,43615,8121,15370,4.34
Putalibazar,Syangja,25870,29667,31338,3797,1671,0.55
Waling,Syangja,16712,20414,24199,3702,3785,1.7
Lekhnath,Kaski,30107,41369,59498,11262,18129,3.63
Pokhara,Kaski,95286,156312,264991,61026,108679,5.28
Baglung,Baglung,15219,20852,30763,5633,9911,3.89
Tansen,Palpa,13599,20431,31161,6832,10730,4.22
Ramgram,Nawalparasi,18911,22630,28973,3719,6343,2.47
Butwal,Rupandehi,44272,75384,120982,31112,45598,4.73
Siddhartha Nagar,Rupandehi,39473,52569,64566,13096,11997,2.06
Kapilvastu,Kapilvastu,17126,27170,30890,10044,3720,1.28
Ghorahi,Dang,29050,43126,65107,14076,21981,4.12
Tulsipur,Dang,22654,33876,52224,11222,18348,4.33
Nepalgunj,Banke,47819,57535,73779,9716,16244,2.49
Gularia,Bardiya,30631,46011,57232,15380,11221,2.18
Birendra -Nagar,Surkhet,22973,31381,52137,8408,20756,5.08
Narayan,Dailekh,15758,19446,21996,3688,2550,1.23
Dipayal -Silgadhi,Doti,12360,22061,26508,9701,4447,1.84
Dhangadhi,Kailali,44753,67447,104047,22694,36600,4.34
Tikapur,Kailali,25639,38722,56983,13083,18261,3.86
Bhimdatta,Kanchanpur,62050,80839,106666,18789,25827,2.77
Amargadhi,Dandeldhura,16454,18390,22241,1936,3851,1.9
Dasarath -Chand,Darchula,18054,18345,17427,291,-918,-0.51
Total -Urban -Population,2287487,3227879,4523820,940392,1295941,3.38,
