date,1981,1981,1991,1991,2001,2001,2011,2011,2011
Age Groups,Male,Female,Male,Female,Male,Female,Male,Female,Total
0-4,15.5,15.3,14.9,14.4,12.29,11.95,10.23,9.18,9.69
9-May,14.5,14.6,15.5,14.8,14.38,13.87,12.73,11.5,12.1
44118,11.9,10.8,13.1,12.1,13.5,12.73,13.73,12.54,13.12
15-19,9,8.6,9.5,9.9,10.44,10.57,11.23,10.91,11.07
20-24,8.3,9.5,7.9,9.3,8.33,9.4,8.13,9.63,8.9
25-29,7.4,8.1,7,7.8,7.23,7.95,7.14,8.52,7.85
30-34,6.1,6.9,6,6.5,6.39,6.71,6,7.07,6.55
35-39,6,5.9,5.6,5.5,5.73,5.79,5.76,6.33,6.06
40-44,4.9,5.1,4.5,4.7,4.75,4.82,5.14,5.32,5.23
45-49,4.3,3.9,4.1,3.9,4.13,3.99,4.48,4.38,4.43
50-54,3.8,3.4,3.3,3.1,3.46,3.28,3.94,3.66,3.8
55-59,2.4,2.2,2.7,2.3,2.8,2.49,3.21,2.97,3.09
60-64,2.5,2.4,2.3,2.3,2.31,2.27,2.87,2.85,2.86
,3.4,3.1,3.6,3.4,4.26,4.16,5.41,5.13,5.28
