 -, -,World,More Developed Countries,less developed countries,,,
Population, -,7418151841,1254309821,6163842020,,,
Birth Per,Year,147183065,13714857,133468215,,,
Birth Per,Day,403241,37575,365666,,,
Birth Per,Minute,280,26,254,,,
Death Per,Year,57387752,12580616,44807108,,,
Death Per,Day,157227,34467,122759,,,
Death Per,Minute,109,24,85,,,
Natural Increase per,Year,89795313,1134242,88661107,,,
Natural Increase per,Day,246 015,3108,242907,,,
Natural Increase per,Minute,171,2,169,,,
Infant Death per,Year,5226233,65229,5160998,,,
Infant Death per,Day,14318,179,14140,,,
Infant Death per,Minute,10,0.1,10,,,
