Ecological Zones,Year,Development Regions,Development Regions,Development Regions,Development Regions,Development Regions,Development Regions
 -, -,Eastern,Central,Western,Mid Western,Far-western,Total
Mountain,1981,102,107,108,107,102,105
Mountain,1991,96,100,109,103,94,98
Mountain,2001,97,99,116,103,96,98
Mountain,2011,91,91,116,102,92,94
Hill,1981,101,106,100,100,92,102
Hill,1991,97,102,88,96,92,95
Hill,2001,97,103,87,97,94,96
Hill,2011,90,101,81,90,87,186
Terai,1981,108,107,109,107,116,108
Terai,1991,103,106,103,102,101,104
Terai,2001,102,107,102,101,103,104
Terai,2011,94,102,95,94,94,97
Nepal,1981,105,107,103,103,105,105
Nepal,1991,100,104,93,99,96,99
Nepal,2001,100,105,93,99,98,100
Nepal,2011,92,101,87,93,91,94
