Country,Category,No. of Industries,Total Project Cost,Total Fixed Cost,Foreign Investment,Total No. of Employment
Australia,Service,2,10,8.1,8.8,44
,Total,2,10,8.1,8.8,44
Austria,Service,1,4,3.2,2,30
,Total,1,4,3.2,2,30
Azerbaijan,Service,1,16,12,16,115
,Total,1,16,12,16,115
Baharain,Service,1,70,20,70,38
,Total,1,70,20,70,38
Bangladesh,Service,5,42,33.5,32.9,166
,Total,5,42,33.5,32.9,166
Belgium,Manufacturing,1,12.6,8.1,12.6,60
,Total,1,12.6,8.1,12.6,60
Bri.Virg.Is,Agriculture,1,5,4,5,15
,Manufacturing,1,45,33,45,65
,Total,2,50,37,50,80
China,Agriculture,10,133.2,116.5,127.2,347
,Energy Based,1,9.5,2.5,9.5,33
,Manufacturing,9,137.4,110.4,136.9,559
,Mineral,6,154.5,121.54,154.5,494
,Service,32,390,312.45,385.6,1289
,Tourism,19,184.93,151.23,172.33,604
,Total,77,1009.53,814.62,986.03,3326
Cyprus,Service,1,10,8,3,30
,Total,1,10,8,3,30
Denmark,Service,1,4.8,4.1,4.8,39
,Total,1,4.8,4.1,4.8,39
Egypt,Tourism,1,2.1,1.7,2.1,21
,Total,1,2.1,1.7,2.1,21
Eritrea,Service,1,2.5,1.8,2.5,15
,Total,1,2.5,1.8,2.5,15
France,Manufacturing,1,3.5,2.2,3.15,27
,Service,2,15.8,14.1,15.8,72
,Tourism,5,32.4,25.8,21.4,138
,Total,8,51.7,42.1,40.35,237
Germany,Tourism,1,2.5,2,2.5,22
,Total,1,2.5,2,2.5,22
India,Energy Based,1,900,880,880,278
,Manufacturing,7,1875.02,1583.43,391.85,568
,Service,13,787.1,723,700.45,702
,Tourism,3,325.7,298.6,325.7,206
,Total,24,3887.82,3485.03,2298,1754
Iran,Agriculture,1,13,11,11,45
,Tourism,1,2.5,2,2.5,22
,Total,2,15.5,13,13.5,67
Israel,Tourism,1,4,3.3,4,20
,Total,1,4,3.3,4,20
Italy,Manufacturing,2,7,4,4.9,54
,Tourism,3,53.61,46.16,53.61,45
,Total,5,60.61,50.16,58.51,99
Japan,Manufacturing,1,1.85,1.1,1.85,12
,Mineral,1,17.2,9.2,3.2,36
,Service,5,24.1,18.75,21.1,110
,Tourism,6,23.18,17.85,23.08,145
,Total,13,66.33,46.9,49.23,303
Korea,Energy Based,1,2000,1950,2000,29
,Total,1,2000,1950,2000,29
Malaysia,Manufacturing,1,10,3,10,33
,Service,1,10,9,10,30
,Tourism,2,52.5,47,51.6,21
,Total,4,72.5,59,71.6,84
Mexico,Tourism,1,10.8,9.5,10.8,25
,Total,1,10.8,9.5,10.8,25
Netherlands,Service,3,14.5,12.9,14.5,67
,Total,3,14.5,12.9,14.5,67
Pakistan,Service,1,2.5,1.9,2.5,25
,Tourism,1,4.83,3.8,4.83,23
,Total,2,7.33,5.7,7.33,48
Russia,Service,1,8.9,6.4,8.9,37
,Tourism,1,30,26.2,22.5,50
,Total,2,38.9,32.6,31.4,87
S. Korea,Agriculture,2,13,11.3,9,61
,Manufacturing,2,15,11,15,90
,Service,10,44.7,35.8,44.7,205
,Tourism,7,34.9,28.8,32.4,203
,Total,21,107.6,86.9,101.1,559
Singapore,Energy Based,1,2100,2000,108,250
,Tourism,1,10,8.9,2,23
,Manufacturing,1,1000,850,150,92
,Total,3,3110,2858.9,260,365
Sri Lanka,Service,1,4,3,4,30
,Total,1,4,3,4,30
Switzerland,Service,3,22.6,18.1,21,129
,Tourism,2,22.5,19.9,12.5,56
,Total,5,45.1,38,33.5,185
Syria,Service,1,10,8,10,55
,Total,1,10,8,10,55
Turkey,Service,2,544.5,504.5,544.5,193
,Total,2,544.5,504.5,544.5,193
UAE,Manufacturing,1,340,336,170,86
,Total,1,340,336,170,86
UK,Manufacturing,1,7,5.9,7,20
,Service,4,25.1,21.7,25.1,96
,Tourism,2,15.6,13.81,9.4,32
,Total,7,47.7,41.41,41.5,148
Ukraine,Tourism,1,10,8.9,1.6,34
,Total,1,10,8.9,1.6,34
USA,Agriculture,1,10,8.2,10,29
,Manufacturing,3,83.1,65.93,40.26,105
,Service,14,51.7,40.79,49.3,298
,Tourism,6,82.6,73.3,82.6,157
,Total,24,227.4,188.22,182.16,589
Total,,227,11912.32,10738.13,7140.81,9050
