(Rs. mln),,,,,,
Country,Category,No. of Industr ies,Total Project Cost,Total Fixed Cost,Foreign Investment,Total No. of Employment
Australia,Agriculture,3,51.6,47,42.59,108
,Energy Based,1,131,125,131,22
,Manufacturing,6,53.84,43.84,28.34,408
,Service,19,172.46,132.25,143.53,345
,Tourism,7,65.02,60.12,58.57,135
,Total,36,473.91,408.21,404.02,1018
Austria,Manufacturing,5,128.44,88.37,32.61,366
,Service,5,34.48,29.67,29.98,117
,Tourism,6,46.64,43.62,20.78,108
,Total,16,209.56,161.66,83.36,591
Azerbaijan,Service,2,23.4,18.7,23.4,142
,Tourism,1,2.5,1.9,2.5,23
,Total,3,25.9,20.6,25.9,165
Baharain,Service,1,70,20,70,38
,Total,1,70,20,70,38
Bangladesh,Agriculture,1,10,7.5,5,100
,Construction,1,9.88,7.44,9.88,20
,Manufacturing,9,430.09,195.05,199.02,3310
,Service,14,89.01,71.41,66.16,368
,Tourism,6,23.17,15.21,17.5,534
,Total,31,562.15,296.6,297.56,4332
Belgium,Manufacturing,2,21.6,12.7,21.6,148
,Service,8,34.1,24.12,25.65,199
,Tourism,2,10.67,9.38,7.19,48
,Total,12,66.37,46.2,54.44,395
Bermuda,Manufacturing,4,1987.96,1687.68,113.62,1415
,Tourism,2,7.29,6.35,4.65,59
,Total,6,1995.25,1694.03,118.27,1474
Bhutan,Manufacturing,1,5.1,2.1,0.5,0
,Service,1,5,2.52,1.68,12
,Tourism,1,17.16,15.96,1.43,86
,,3,27.26,20.58,3.61,98
Brazil,Energy Based,1,500,488,500,250
,Manufacturing,2,21.07,7.5,4.43,221
,Service,1,10,9,6.4,30
,Tourism,1,10,8.7,10,23
,Total,5,541.07,513.2,520.83,524
Bri.Virg.Is,Agriculture,1,5,4,5,15
,Manufacturing,2,460.15,391.45,73.87,173
,Service,1,48.22,22.08,22,0
,Tourism,1,2276.41,2255.65,910.57,910
,Total,5,2789.78,2673.19,1011.43,1098
Canada,Agriculture,1,10,9.1,10,44
,Energy Based,3,4265.05,4192.15,1445,469
,Manufacturing,5,722.61,629.29,642.92,966
,Service,10,52.91,36.67,37.61,325
,Tourism,6,31.3,25.56,31.01,122
,Total,25,5081.87,4892.78,2166.54,1926
China,Agriculture,27,326.5,280.34,308.28,974
,Construction,7,361.21,257.71,336.93,431
,Energy Based,9,4764.18,4500.81,1082.44,563
,Manufacturing,135,4897.63,3108.29,2429.39,10895
,Mineral,35,806.1,680.64,795.1,4487
,Service,138,2398.13,2029.12,1930.68,5568
,Tourism,127,1003.31,857.01,977.37,3733
,Total,478,14557.07,11713.92,7860.19,26651
Colombia,Tourism,1,2.4,1.5,2.4,7
,Total,1,2.4,1.5,2.4,7
Congo,Service,1,2.5,2.1,2.5,28
,Total,1,2.5,2.1,2.5,28
Croatia,Service,1,2.5,2.1,2.5,15
,Total,1,2.5,2.1,2.5,15
Cyprus,Service,2,1010,982,307,265
,Total,2,1010,982,307,265
Czech Repbublic,Service,1,3.5,2.5,3.5,12
,Total,1,3.5,2.5,3.5,12
Denmark,Agriculture,1,110,98,44,50
,Construction,1,42,34.6,4.1,74
,Manufacturing,7,558.02,491.38,99.59,566
,Service,6,17.2,13.3,17.2,123
,Tourism,6,38.27,33.38,33.27,156
,Total,21,765.49,670.66,198.16,969
Dutch,Service,1,18.9,13.9,18.9,80
,Total,1,18.9,13.9,18.9,80
Ecuador,Manufacturing,1,2.5,1.3,2.5,45
,Total,1,2.5,1.3,2.5,45
Egypt,Manufacturing,1,10,6,10,98
,Service,1,10,8.5,2,0
,Tourism,1,2.1,1.7,2.1,21
,Total,3,22.1,16.2,14.1,119
Eritrea,Service,1,2.5,1.8,2.5,15
,Total,1,2.5,1.8,2.5,15
Finland,Manufacturing,2,10,6.86,4.55,91
,Tourism,3,15,12.9,10,58
,Total,5,25,19.76,14.55,149
France,Agriculture,1,7,4.9,7,27
,Construction,2,65.04,51.24,18.33,169
,Manufacturing,16,303.18,249.65,147.89,1031
,Service,10,61.11,50.92,43.03,282
,Tourism,28,212.22,183.15,133.95,764
,Total,57,648.55,539.87,350.2,2273
Germany,Agriculture,4,111.42,98.09,14.24,287
,Construction,2,59.25,43.9,58.9,137
,Energy Based,6,1361,1302.9,452.3,207
,Manufacturing,15,234.84,148.42,101.63,1293
,Service,28,274.36,233.04,106.62,1140
,Tourism,25,326.67,301,195.52,806
,Total,80,2367.53,2127.36,929.22,3870
Ghana,Service,1,6.5,6.18,1.95,0
,Total,1,6.5,6.18,1.95,0
Guatemala,Manufacturing,1,10,5,2.5,84
,Total,1,10,5,2.5,84
Holand,Tourism,1,7,0,1.79,0
,Total,1,7,0,1.79,0
Hong Kong,Construction,2,83.88,39.85,59.55,236
,Manufacturing,5,387.72,262.58,155.58,852
,Service,7,430.03,202.25,279.17,609
,Tourism,5,959.91,933.67,246.54,919
,Total,19,1861.54,1438.34,740.84,2616
Hungeri,Tourism,1,10,8.9,5,29
,Total,1,10,8.9,5,29
India,Agriculture,7,792.91,343.06,416.81,784
,Construction,17,2246.19,1614.33,1876.32,830
,Energy Based,13,9236,10690.31,6026.55,1500
Country,Category,No. of Industr ies,Total Project Cost,Total Fixed Cost,Foreign Investme nt,Total No. of
Employme nt
,Manufacturing,303,31367.53,22606.71,15200.32,36710
,Mineral,6,4477.02,3632.5,2260.7,1521
,Service,125,13142.23,10739.43,7185.66,12483
,Tourism,54,5350.95,4977.33,1843.13,4333
,Total,525,66612.82,54603.67,34809.5,58161
Iran,Agriculture,1,13,11,11,45
,Manufacturing,1,4.8,3,4.8,32
,Service,3,6.9,5.55,6.9,49
,Tourism,4,15,8.8,10.5,73
,Total,9,39.7,28.35,33.2,199
Ireland,Manufacturing,1,5,1,1.5,40
,Service,3,14.5,11.2,14,76
,Tourism,2,704.4,668.4,325.47,204
,Total,6,723.9,680.6,340.97,320
Israel,Manufacturing,2,603,501.88,72.5,68
,Service,5,44.8,34.21,35.45,218
,Tourism,6,37.4,33.85,35.3,139
,Total,13,685.2,569.94,143.25,425
Italy,Manufacturing,8,163.54,123.97,144.88,242
,Service,3,21,18.75,11.45,83
,Tourism,13,1299.77,1207.9,166.82,290
,Total,24,1484.31,1350.61,323.15,615
Japan,Agriculture,4,176.6,157.85,44.5,454
,Construction,1,30.45,22.2,10.98,348
,Energy Based,1,275,270,21,0
,Manufacturing,32,561.89,348.21,149.06,1812
,Mineral,1,17.2,9.2,3.2,36
,Service,57,624.34,510.4,240.79,1463
,Tourism,71,1578.85,1442.53,750.95,2873
,Total,167,3264.33,2760.38,1220.47,6986
Kazakistan,Service,3,15.4,13.03,15.4,67
,Total,3,15.4,13.03,15.4,67
Korea,Energy Based,1,2000,1950,2000,29
,Total,1,2000,1950,2000,29
Kyrgystan,Manufacturing,1,5,2.8,3,50
,Service,3,31.5,29.25,19.5,125
,Total,4,36.5,32.05,22.5,175
Lebnon,Service,1,2,1.6,2,15
,Tourism,1,5,3.9,5,34
,Total,2,7,5.5,7,49
Libiya,Manufacturing,1,5,2.8,5,80
,Total,1,5,2.8,5,80
Malaysia,Agriculture,1,5,4.2,1.5,33
,Manufacturing,3,80.59,54.64,74.24,217
,Service,7,466.31,450.08,30.1,139
,Tourism,6,211.84,195.3,210.94,139
,Total,17,763.74,704.22,316.78,528
Mauritius,Energy Based,3,900,879,765,558
,Manufacturing,2,2080,2030.87,2080,334
,Total,5,2980,2909.87,2845,892
Mexico,Tourism,3,28.73,25.85,26.13,60
,Total,3,28.73,25.85,26.13,60
N. Korea,Service,1,44.82,41.2,12.55,71
,Tourism,2,20,17.6,20,76
,Total,3,64.82,58.8,32.55,147
Netherlands,Agriculture,2,59.45,41.1,18.27,428
,Manufacturing,3,984.59,816.26,386.08,405
,Service,20,134.05,97.99,108.23,1827
,Tourism,12,145.83,133.62,90.81,453
,Total,37,1323.92,1088.97,603.39,3113
New Zealand,Manufacturing,1,248.46,200,0,1851
,Service,4,14.18,10.76,12.74,73
,Tourism,4,33.99,28.94,17.33,145
,Total,9,296.63,239.71,30.07,2069
Norway,Agriculture,1,6,5.1,6,50
,Construction,1,158.55,154.01,62.46,25
,Energy Based,3,7580,6292.41,933.23,394
,Manufacturing,2,236.11,185.05,10.94,119
,Service,1,60.93,60.93,54.7,0
,Tourism,4,75,69.3,68.5,138
,Total,12,8116.59,6766.8,1135.83,726
Pakistan,Manufacturing,7,284.74,203.52,118.29,2288
,Service,6,1869.12,1666.93,27.82,82
,Tourism,4,25.42,21.52,10.96,81
,Total,17,2179.28,1891.97,157.06,2451
Panama,Manufacturing,1,83.28,65.17,24.98,121
,Total,1,83.28,65.17,24.98,121
Philippines,Agriculture,1,10,9,10,35
,Manufacturing,5,1154.18,989.53,72.35,1452
,Service,1,2.5,2,2.5,40
,Tourism,4,14.43,9.15,12.43,106
,Total,11,1181.12,1009.68,97.28,1633
Poland,Energy Based,1,84.94,84,5,16
,Manufacturing,1,4.78,1.55,2.39,23
,Service,1,2.5,2,2.5,38
,Tourism,4,46,41,45.5,117
,Total,7,138.22,128.55,55.39,194
Portugal,Service,1,2.5,2,2.5,23
,Total,1,2.5,2,2.5,23
Russia,Agriculture,1,8,7,6,15
,Manufacturing,4,93.08,54.87,42.23,412
,Service,10,144.32,117.95,68.15,316
,Tourism,5,48.3,41.97,40.8,137
,Total,20,293.7,221.79,157.18,880
S. Africa,Manufacturing,1,10,7.2,10,33
,Service,2,27.5,22,27.5,25
,Tourism,2,9.8,8.64,9.8,79
,Total,5,47.3,37.84,47.3,137
S. Korea,Agriculture,5,32.95,26.85,28.95,126
,Construction,4,243.49,209.83,196.38,463
,Energy Based,2,5388.12,5370.99,2278.84,242
,Manufacturing,33,1894.44,1604.85,1066.73,1887
,Service,67,561.95,442.15,480.18,2641
,Tourism,59,330.21,273.05,370.91,1432
,Total,170,8451.16,7927.71,4421.99,6791
Singapore,Agriculture,1,7.5,6.5,7.5,45
,Energy Based,1,530,518,530,110
,Manufacturing,5,1044.86,881.7,171.04,174
,Service,8,276.37,242.7,109.45,483
,Tourism,9,2057.6,1989.44,837.4,1245
,Total,24,3916.32,3638.34,1655.39,2057
Slovenia,Service,1,4.19,3.94,4.19,0
,Total,1,4.19,3.94,4.19,0
Spain,Construction,2,75.4,37.5,53.98,138
,Manufacturing,2,10,5.2,6.25,38
,Service,2,7.6,6.4,7.6,46
,Tourism,7,61.02,53.94,39.4,143
,Total,13,154.02,103.04,107.23,365
Sri Lanka,Service,5,93.15,68.1,51.41,129
,Total,5,93.15,68.1,51.41,129
Sweden,Agriculture,1,3.3,0.99,3.3,35
,Manufacturing,1,1.5,1.01,1.5,12
,Service,4,16.7,14.76,13.9,105
,Tourism,2,8.9,6.5,8.9,71
,Total,8,30.4,23.26,27.6,223
Switzerland,Agriculture,1,6,4.5,4.2,52
,Energy Based,1,23.44,22.94,0.25,8
,Manufacturing,9,365.48,311.51,58.65,124
,Service,11,67.38,47.3,50.85,258
,Tourism,14,317.27,316.79,250.8,371
,Total,36,779.58,703.05,364.75,813
Syria,Service,2,12.5,10.1,12.5,72
,Total,2,12.5,10.1,12.5,72
Taiwan,Manufacturing,4,106.6,72.1,35.15,206
,Service,1,50.11,40.83,10.5,0
,Tourism,4,258.04,247.5,128.97,390
,Total,9,414.75,360.43,174.62,596
Tchad,Service,1,2.5,1.86,2.5,18
,Total,1,2.5,1.86,2.5,18
Thailand,Energy Based,1,70,65,21,22
,Manufacturing,6,410.12,290.68,90.64,666
,Service,2,6.25,4.61,2.66,16
,Tourism,2,546,524.5,2,455
,Total,11,1032.37,884.79,116.29,1159
Turkey,Agriculture,1,10,9,10,50
,Service,8,572.7,526.62,572.7,307
,Tourism,2,10,7.2,22.5,61
,Total,11,592.7,542.82,605.2,418
UAE,Manufacturing,3,618.54,423.24,250,484
,Mineral,1,34,32,2.94,60
,Service,1,823.2,170,403.37,139
,Tourism,1,500,444.5,400,124
,Total,6,1975.74,1069.74,1056.31,807
UK,Agriculture,2,12.5,11.75,12.5,52
,Construction,2,230,210.5,75,145
,Energy Based,2,1800,1782,145.66,2657
,Manufacturing,28,1973.55,1569.24,864.4,3296
,Service,34,279.8,222.82,230.19,1284
,Tourism,42,436.2,395.63,253.46,1292
,Total,110,4732.05,4191.94,1581.21,8726
Ukraine,Service,2,91.7,83.25,16.4,52
,Tourism,1,10,8.9,1.6,34
,Total,3,101.7,92.15,18,86
USA,Agriculture,7,73.9,59.78,38.85,185
,Energy Based,1,4760,4680,1071,1240
,Manufacturing,53,3496.46,2669.27,1516.13,4990
,Service,90,3755.9,3404.44,1979.3,3466
,Tourism,47,2033.6,1935.21,532.77,2995
,Total,198,14119.86,12748.7,5138.06,12876
Uzbekistan,Manufacturing,1,10,7.5,10,52
,Total,1,10,7.5,10,52
Vietnam,Tourism,2,24.6,22.8,24.6,55
,Total,2,24.6,22.8,24.6,55
Total,,2335,164100.3,139857.7,75149.97,164482
