(Rs. mln.),,,,,
District,No. of Industries,Total Project Cost,Total Fixed Cost,Foreign Investment,Total No. of Employment
Dhankuta,1,46.62,37.62,0,120
Ilam,5,309,256.44,267.76,433
Jhapa,13,1036.14,663.9,278.35,3284
Morang,26,3403.83,2687.41,1661.47,4795
Okhaldhunda,1,250,245,19,122
Sankhuwasabha,1,500,488,500,250
Saptari,2,410,384,282.4,144
Siraha,5,3464.02,3058.89,2113.2,928
Solukhumbu,9,2959.17,2856.59,926.13,198
Sunsari,23,2366.67,1732.17,1294.75,3199
Taplejung,2,12.1,10.14,11.9,44
Bara,43,7265.35,5752.7,2072.08,4424
Bhaktapur,50,2157.65,1400.72,917.68,3955
Chitwan,51,3483.37,2786.85,1167.03,7662
Dhading,10,2445.89,2383.7,2211,791
Dhanusha,3,291.04,249.71,165.52,292
Dolkha,5,5800.2,5281.03,1505.73,325
Kathmandu,1332,57876.22,48183.05,27279.21,73756
Kavre,53,1817.21,1521.7,1141.52,4523
Lalitpur,289,10504.89,8248.53,7323.05,15422
Makwanpur,50,4730.88,3603.57,2325.73,4388
Nuwakot,9,2320.58,2193.65,218.7,915
Out of valley,1,24.34,21.22,24.34,70
Parsa,42,3438.32,2420.5,2097.85,5651
Ramechhap,1,291.34,237.89,262.21,200
Rasuwa,6,4622.4,4472.28,3236.43,205
Rautahat,1,559.18,509.18,44.06,589
Sindhuli,1,9,7.7,9,105
Sindhupalchowk,9,6842.73,6611.59,1302.08,2932
Terai region,1,60,55,16,97
Arghakhachi,2,1342.09,199.27,449.6,331
Gorkha,4,704.09,648.32,75.23,758
Kalikot,1,0,1800,1520,125
Kapilbastu,9,421.71,206.42,307.81,300
Kaski,128,12363.08,11709.95,4180.31,5411
Lamjung,5,343.93,311.25,124.15,513
Manang,2,915,898,203,289
Manang,1,75,69.75,47.01,635
Mustang,3,464.24,451.01,3.57,131
Myagdi,1,15,11.8,15,59
Nawalparasi,23,3775.98,3226.89,668.2,2996
Palpa,3,339.5,190.78,314.4,261
Parbat,1,1100,1089,1.5,2614
Rupandehi,30,5643.29,4613.74,2971.79,3144
Tanahu,4,129.02,102.2,77.5,297
Undefined,2,225,134.06,27,124
Banke,16,513.83,404.44,152.43,1393
Bardiya,8,63.48,56.26,31.94,273
Dang,8,259.9,218.4,199.9,1078
Humla,5,41,37.2,19.24,96
Rolpa,3,32.22,28.31,29,156
Surkhet,3,3597,2827.2,2197,339
Achham,4,571.18,550.68,418.18,411
Baitadi,4,80,71.8,65,365
Darchula,1,34,32,2.94,60
Doti,1,10,7.2,10,33
Kailali,4,936.24,878.01,196,965
Kanchanpur,13,776.37,695.11,147.72,1466
Kavrepalanchowk,1,30,28,20.4,40
Total,2335,164100.26,139857.74,75149.97,164482
