(Rs. mln),,,,,,
Fiscal Year,Category,No. of Industry,Authorized Capital,Fixed Capital,Foreign Investment,Total No. of Employment
Upto Ashad 2046,Construction,1,52.71,43.81,6.00,103
,Manufacturing,39,4702.74,3921.64,347.36,7894
,Service,7,32.36,22.37,13.58,1297
,Tourism,11,314.99,283.78,82.63,1292
,Total,58,5102.80,4271.60,449.56,10586
2046/47,Construction,1,42.00,34.60,4.10,74
,Manufacturing,16,750.11,570.65,84.03,6415
,Mineral,1,826.80,755.10,28.70,1111
,Service,5,85.97,73.55,9.54,1162
,Tourism,7,733.32,705.69,272.14,753
,Total,30,2438.19,2139.60,398.51,9515
2047/48,Energy Based,1,23.44,22.94,0.25,8
,Manufacturing,18,800.33,631.06,398.84,2679
,Service,1,3.52,3.51,0.70,29
,Tourism,3,36.27,33.23,6.49,258
,Total,23,863.56,690.74,406.28,2974
2048/49,Agriculture,2,10.94,9.98,5.43,35
,Manufacturing,23,2672.77,2086.08,362.75,4485
,Service,4,124.03,117.36,31.94,128
,Tourism,9,700.43,688.68,197.72,967
,Total,38,3508.17,2902.10,597.84,5615
2049/50,Energy Based,2,6100.00,5589.00,736.50,2664
,Manufacturing,38,4950.22,3963.69,779.92,8182
,Service,9,3548.57,3427.77,1150.56,1012
,Tourism,15,3287.44,3230.35,416.68,2015
,Total,64,17886.22,16210.81,3083.67,13873
2050/51,Agriculture,5,181.56,162.32,28.19,368
,Construction,1,30.45,22.20,10.98,348
,Manufacturing,20,2781.16,2328.39,980.90,3033
,Service,5,241.04,189.13,61.56,233
,Tourism,7,499.02,473.63,297.13,752
,Total,38,3733.23,3175.66,1378.76,4734
2051/52,Agriculture,1,28.40,22.75,12.80,65
,Manufacturing,14,973.22,624.18,411.92,1774
,Service,1,31.89,31.00,31.36,31
,Tourism,3,593.77,569.93,21.51,516
,Total,19,1627.28,1247.85,477.59,2386
2052/53,Agriculture,1,74.90,67.16,26.97,270
,Energy Based,1,4760.00,4680.00,1071.00,1240
,Manufacturing,24,3040.07,2586.22,698.08,3102
,Service,8,176.18,150.41,54.52,1690
,Tourism,13,1996.32,1914.76,369.30,1730
,Total,47,10047.47,9398.54,2219.86,8032
2053/54,Agriculture,1,34.33,32.26,1.39,73
,Construction,2,168.43,161.45,72.34,45
,Manufacturing,28,2574.33,2006.74,773.88,5739
,Mineral,1,3.22,3.00,0.00,18
,Service,27,3442.79,2398.57,1079.57,1957
,Tourism,18,2336.15,2090.13,468.35,1515
,Total,77,8559.25,6692.15,2395.54,9347
2054/55,Manufacturing,25,1200.45,993.58,394.70,1855
,Service,24,1031.08,898.54,431.54,598
,Tourism,28,3337.85,3250.20,1174.04,1883
,Total,77,5569.38,5142.32,2000.28,4336
2055/56,Agriculture,1,11.40,10.00,4.70,0
,Energy Based,2,2923.11,2766.61,525.65,108
,Manufacturing,19,1566.61,867.37,734.20,1291
,Service,15,487.53,445.83,201.95,187
,Tourism,13,335.78,290.36,199.93,560
,Total,50,5324.42,4380.17,1666.42,2146
2056/57,Energy Based,1,146.96,141.88,22.04,27
,Manufacturing,31,1306.60,722.12,490.98,3567
,Service,22,846.29,702.19,736.51,498
,Tourism,17,369.24,344.04,168.08,611
,Total,71,2669.09,1910.24,1417.61,4703
2057/58,Agriculture,1,10.00,9.75,10.00,31
,Energy Based,3,2105.00,2047.91,395.60,352
,Manufacturing,54,4024.02,2555.85,1816.01,5234
,Service,19,883.28,672.32,343.08,579
,Tourism,19,895.31,836.66,537.87,684
,Total,96,7917.62,6122.49,3102.56,6880
2058/59,Agriculture,2,76.62,60.99,4.90,144
,Construction,3,90.00,81.00,69.00,285
,Energy Based,1,84.94,84.00,5.00,16
,Manufacturing,37,2643.94,1036.93,893.57,2285
,Service,21,318.93,210.87,144.45,684
,Tourism,13,104.10,85.80,92.73,317
,Total,77,3318.53,1559.59,1209.65,3731
2059/60,Construction,8,538.52,404.04,345.44,464
,Energy Based,3,2574.45,1767.85,448.68,344
,Manufacturing,27,660.67,442.04,335.66,1279
,Service,12,987.19,858.36,565.61,944
,Tourism,24,161.00,135.96,98.38,541
,Total,74,4921.82,3608.25,1793.77,3572
2060/61,Construction,1,53.88,14.69,53.88,0
,Energy Based,1,734.40,719.28,41.43,4
,Manufacturing,22,1179.59,841.06,925.05,276
,Service,31,2241.56,2084.40,1622.35,1603
,Tourism,23,114.31,116.43,122.09,261
,Total,78,4323.74,3775.86,2764.80,2144
2061/62,Agriculture,1,12.00,10.00,7.38,37
,Construction,2,88.28,53.85,63.95,18
,Manufacturing,25,887.09,527.49,1181.98,2072
,Service,24,756.54,513.85,348.93,3195
,Tourism,11,52.20,44.29,33.53,237
,Total,63,1796.10,1149.49,1635.77,5559
2062/63,Construction,2,81.30,63.00,28.23,112
,Energy Based,3,251.00,223.00,156.00,136
,Manufacturing,33,1472.62,944.70,924.47,2974
,Service,40,2082.49,1876.57,1332.93,2739
,Tourism,38,233.67,189.68,164.68,1397
,Total,116,4121.08,3296.95,2606.31,7358
2063/64,Agriculture,1,5.00,4.20,5.00,20
,Construction,5,82.50,52.36,78.22,290
