(Rs. mln),,,,,
Category,Scale,No. of Industries,Total Project Cost,Total Fixed Cost,Total No. of Employment
Agro Based,Large,17,3867.73,3986.4,2658
,Medium,80,5158.23,4330.49,17086
,Small,120,2401.23,1362.38,7205
,Total,217,11427.19,9679.28,26949
Construction,Large,10,5349.27,5231.64,913
,Medium,10,517.3,414.7,580
,Small,20,352.46,228.67,1225
,Total,40,6219.03,5875.01,2718
Energy Based,Large,95,180407.43,175162.38,12542
,Medium,14,2254.7,904.16,1303
,Small,5,537,46.21,312
,Total,114,183199.13,176112.75,14157
Manufacturing,Large,207,101743.02,82978.08,47455
,Medium,549,45144.93,28293.17,56803
,Small,1451,20983.48,10362.54,152675
,Total,2207,167871.43,121633.78,256933
Mineral,Large,4,2988,2658.5,714
,Medium,9,378.37,333.78,921
,Small,29,377.39,311.7,2989
,Total,42,3743.76,3303.98,4624
Service,Large,98,52240.41,39306.26,15772
,Medium,348,24693.79,16694.58,35926
,Small,910,11580.77,7979.7,37864
,Total,1356,88514.97,63980.54,89562
Tourism,Large,72,23702.85,21698.09,7932
,Medium,145,8638.7,7746.18,8650
,Small,638,6302,4824.72,18248
,Total,855,38643.55,34268.98,34830
Grand Total,,4831,499619.06,414854.32,429773
