(Rs. mln),,,,,
Category,Scale,No. of Industries,Total Project Cost,Total Fixed Cost,Total No. of Employment
Agro Based,LARGE,17,3867.73,3986.4,2658
,MEDIUM,80,5158.23,4330.49,17086
,SMALL,120,2401.23,1362.38,7205
,TOTAL,217,11427.19,9679.28,26949
Construction,LARGE,10,5349.27,5231.64,913
,MEDIUM,10,517.3,414.7,580
,SMALL,20,352.46,228.67,1225
,TOTAL,40,6219.03,5875.01,2718
Energy Based,LARGE,95,180407.4,175162.4,12542
,MEDIUM,14,2254.7,904.16,1303
,SMALL,5,537,46.21,312
,TOTAL,114,183199.1,176112.8,14157
Manufacturing,LARGE,207,101743,82978.08,47455
,MEDIUM,549,45144.93,28293.17,56803
,SMALL,1451,20983.48,10362.54,152675
,TOTAL,2207,167871.4,121633.8,256933
Mineral,LARGE,4,2988,2658.5,714
,MEDIUM,9,378.37,333.78,921
,SMALL,29,377.39,311.7,2989
,TOTAL,42,3743.76,3303.98,4624
Service,LARGE,98,52240.41,39306.26,15772
,MEDIUM,348,24693.79,16694.58,35926
,SMALL,910,11580.77,7979.7,37864
,TOTAL,1356,88514.97,63980.54,89562
Tourism,LARGE,72,23702.85,21698.09,7932
,MEDIUM,145,8638.7,7746.18,8650
,SMALL,638,6302,4824.72,18248
,TOTAL,855,38643.55,34268.98,34830
Grand Total,,4831,499619.06,414854.32,429773
