(Rs.mln.),,,,
District,No. of Industries,Total Project Cost,Total Fixed Cost,Total No. of Employee
Banke,1,48,46.5,50
Bara,1,100,75,115
Bardiya,3,258.6,217.71,148
Bhaktapur,6,799.4,761.6,463
Chitwan,7,178.2,131.1,257
Darchula,1,850,830,42
Dhading,2,7665,7607,115
Dhanusha,2,730.57,649.27,160
Dolkha,1,250,230,76
Gorkha,2,958.2,936,60
Gulmi,2,1099.37,1079.37,19
Ilam,5,657.8,637.94,325
Jhapa,2,220.6,136.6,129
Kailali,1,50,43,37
Kalikot,1,1900,1800,115
Kapilbastu,1,985,685,111
Kaski,14,3188.3,3116.78,407
Kathmandu,138,4389.16,3850.66,6130
Kavre,4,316.6,267.05,278
Lalitpur,25,1037,895.9,1962
Lamjung,3,1361.1,1336.1,151
Makwanpur,3,536,378,307
Morang,7,1517.2,1236.5,807
Mustang,1,1446,1433,67
Myagdi,1,15,11.8,59
Nawalparasi,3,7106.66,6547.16,522
Nuwakot,4,4214.5,4049.5,209
Palpa,3,1219,1074.8,476
Panchathar,2,3704.13,3673.45,157
Parsa,2,94,67,103
Ramechhap,1,500,495,65
Rasuwa,4,18564.27,17489.65,207
Rukum,2,400,355,216
Rupandehi,2,213.2,132.6,103
Sankhuwasabha,1,1331.38,1323.38,61
Saptari,1,77.5,70,71
Sarlahi,2,1841,1623,902
Sindhupalchowk,5,5330,5115,260
Siraha,1,1200,1040,467
Solukhumbu,2,2100,2071,178
Sunsari,5,197.5,156.7,218
Surkhet,1,10,8,98
Tanahu,2,140,101.5,136
Taplejung,2,5627.15,5577.15,121
Total,279,84427.39,79361.86,16960
