(Rs. mln),,,,
District,No. of Industries,Total Project Cost,Total Fixed Cost,Total No. of Employment
Achham,4,1071.57,1050.17,257
Arghakhachi,1,18.46,13.14,50
Baglung,2,449.48,436.48,119
Baitadi,2,20,16.8,202
Banke,55,5314.24,4078,4176
Bara,179,27303.72,17752.7,19935
Bardiya,12,478.87,422.53,442
Bhaktapur,130,6079.78,4715.3,12993
Surkhet,1,14.88,14.55,20
Bhojpur,4,1147.23,131.73,222
Chitwan,129,9971.47,6954.9,8008
Dadeldhura,1,86.69,83.22,30
Dailekh,1,210,200,31
Dang,21,5488.81,5071.17,3087
Salyan,1,6200,6000,273
Darchula,2,884,862,102
Dhading,38,17105.24,16416.67,2741
Dhankuta,16,2180.45,1855.62,2742
Dhanusha,26,3199.72,2797.37,2367
Dolkha,14,44657.8,44336.72,5303
Dolpa,1,4.72,3.91,21
Doti,3,12180,12072.2,99
Gorkha,15,2233.77,2171.36,751
Gulmi,5,1820.77,1747.37,109
Humla,4,36,32.7,84
Ilam,27,6033.55,5061.29,5508
Jhapa,77,5429.09,4616.54,13362
Kailali,24,2671.68,1454.38,2489
Kalikot,2,3800,3600,230
Kanchanpur,19,1414.77,1123.69,2835
Kapilbastu,21,4446.22,3617.15,2818
Kaski,203,24284.95,21762.58,11397
Rupandehi,1,238,221,36
Kathmandu,2305,89974.87,62535.94,191786
Kavre,112,5157.03,4023.83,9659
Khotang,1,30,10.75,13
Lalitpur,441,19430.47,15149.54,29552
Lamjung,16,21954.42,21204.94,1226
Mahottari,4,996.6,842.77,767
Makwanpur,78,8949.41,6645.44,7776
Morang,191,15007.86,10553.43,16491
Mugu,1,42.37,39.11,50
Mustang,3,1801.85,1768.89,217
Myagdi,2,5604.6,5477.44,91
Nawalparasi,80,17169.49,14212.14,8189
Nuwakot,23,5092.64,4849.93,1197
Palpa,5,1262.21,1108.28,506
Panchathar,7,4516.89,4454.03,2392
Panchthar,1,51.9,37.1,327
Parbat,2,120,116.31,231
Parsa,124,9852.23,5704.01,11141
Ramechhap,3,1042.75,757.3,235
Rasuwa,11,24704.91,23405.41,1887
Rautahat,4,62.23,46.8,109
Rolpa,3,1022.79,971.86,4066
Rukum,2,400,355,216
Rupandehi,142,15688.67,11605.35,14634
Sankhuwasabha,6,2308.18,2206.49,1196
Saptari,10,654.13,543.88,1033
Sarlahi,15,3330.77,2823.32,2433
Sindhuli,2,203.84,194.85,195
Sindhupalchowk,28,15749.67,15240.72,1912
Siraha,8,2232.37,1883.11,1067
Solukhumbu,24,6428.76,6270.93,1597
Sunsari,104,9199.38,6910.97,12036
Surkhet,5,165.1,31.2,318
Syangja,3,30.91,34.63,459
Tanahu,10,587,466.51,764
Taplejung,7,6281.43,6211.44,326
Tehrathum,2,181.7,170.85,76
Udaypur,5,5853.71,5296.6,764
Total,4831,499619.06,414854.32,429773
