(Rs. mln),,,,
Fiscal Year,No. of Industries,Total Project Cost,Total Fixed Cost,Total No. of Employee 
Up to 2046/47,44,4200.19,3564.36,9821
2047/48,136,1681.29,1111.74,5798
2048/49,437,7510.54,4676.89,38085
2049/50,606,10541.97,6667.44,89351
2050/51,147,18347.67,16483.59,20937
2051/52,213,17543.31,12892.73,21339
2052/53,374,20022.27,16733.04,34571
2053/54,242,14032.46,10977.43,23745
2054/55,112,10531.68,8689.83,10136
2055/56,110,12546.50,9416.02,8882
2056/57,158,25908.36,21368.90,15188
2057/58,145,10766.61,8064.46,9165
2058/59,139,22661.64,18747.48,11741
2059/60,109,13203.46,8666.02,12877
2060/61,147,13290.41,10292.43,11687
2061/62,107,18003.13,13758.76,8490
2062/63,120,9527.85,7105.84,10398
2063/64,177,8123.68,5973.02,9232
2064/65,227,20126.36,15509.56,12844
2065/66,302,26961.36,22526.92,20359
2066/67,258,39245.35,34352.81,14510
2067/68,242,90415.58,77913.17,13727
2068/69,279,84427.39,79361.86,16960
Total,4831,499619.06,414854.32,429773
