Fiscal Year,Partnership firm Renewal Fee (Rs.),Proprietorship firm Renewal Fee (Rs.),Trade mark Renewal Fee (Rs.),Late Fine For TM ,Deposits For feited,Others,Total
2050/51,2100,6635,35805,4170,336324,660698,1757679
2051/52,1305,10985,313088,1703,777353,177768,2260812
2052/53,2035,9805,151814,4178,57000,210719,1441348
2053/54,1650,14120,570093,8865,209000,1078732,4200971
2054/55,150,7260,740411,4480,4526737,1057362,8453288
2055/56,150,4470,339050,27755,0,1147982,4148110
2056/57,620,16430,552072,16675,2850053,78255,6591854
2057/58,2000,3490,607877,16275,138100,1718005,5350537
2058/59,1210,3260,2863359,10090,0,1976958,7697671
2059/60,365,6070,2009975,10940,229000,2031975,7470517
2060/61,900,5890,1260237,5955,17000,1933578,6141707
2061/62,1050,17725,1523269,13119,52000,2168934,7188571
2062/63,150,10055,1731737,86900,0,3195086,9971138
2063/64,-,-,11000000,392000,12652000,48000,24092000
2064/65,-,-,-,-,22,02,031.10,-,22,02,031.10
2065/66,-,-,15112700,-,2399815.73,96338,17608854
2066/67,-,-,15936250,-,191060,33897,17901207
2067/68,-,-,15936250,-,1931060,33897,18101207
2068/69,-,-,17486050,-,-,1230805,18716855
