"S.N.  Name of Industry","","Address","","S.N.","Name of Industry","Address"
"1.","Rapti Gas Industries Pvt. Ltd.","Dang","","26.","Shree Solar Orientation Pvt. Ltd.","Hetauda"
"2.","Rohini Agro Industries Pvt. Ltd.","Rupandehi","","27.","Shree Cosmos Cement Pvt. Ltd.",""
"3.","Aqua Minerals Nepal  Pvt. Ltd.","","","28.","Shree Grace Farmaceutical","Rupandehi"
"4.","Shiddibinayak Plywood Industries Pvt. Ltd.","Jhapa","","29.","Shivalinga Herbal Nepal","Makawanpur"
"5.","Shree Sama Printers Pvt. Ltd.","Lalitpur","","30.","Ilam Chiyabari","Ilam"
"6.","Sugam Gas Industries Pvt. Ltd.","Vadgaun","","31.","Green Manure Industries Pvt. Ltd.","Jhpa"
"7.","Shree Mohini Distillery Pvt. Ltd.","Rupandehi","","32.","Shree Meenaxi Products Pvt. Ltd.","Parsa"
"8.","S. S. Jait and Food Industries Pvt. Ltd.","Pokhara","","33.","Shree Sky E. Farmaceuticals Pvt. Ltd.","Thimi"
"9.","Maruti Cement Ltd.","Udayapur","","34.","Tiger Ply and Board Industries","Dhanusha"
"10.","Shree Salasar Metal Industries","Katahari","","35.","Sherpa Brewery Pvt. Ltd.","Solukhumbu"
"11.","Shree Ram Cement Industries Pvt. Ltd.","Rupandehi","","36.","Green Field Industries Pvt. Ltd.","Kapilbastu"
"12.","Shree Sangrila Distillaries Pvt. Ltd.","Dhanusha","","37.","Shree Evergreen Bambo Industries Pvt. Ltd.","Nawalparasi"
"13.","Triveni Gas Industries Pvt. Ltd.","Dhading","","38.","Muktishree Cement Industries Pvt. Ltd.","Surkhet"
"14.","Armet Minerals and Metals Nepal Pvt. Ltd.","Jajarkot","","39.","Panchakanya S. S. Pvt. Ltd.","Kathmandu"
"15.","Shree Pestine Mat Industries Pvt. Ltd.","Bara","","40.","Shree Innovative Farma Lab Pvt. Ltd.","Chitwan"
"16.","Shree Tigers Brewery Industries Pvt. Ltd.","","","41.","Janakalyan Multi Products Pvt. Ltd.",""
"17.","Shreenagar Argo Farm Pvt. Ltd.","","","42.","Arva Parentals Pvt. Ltd.","Bara"
"18.","Shree Nebiko Pvt. Ltd.","Kathmandu","","43.","Eco Cements Pvt. Ltd.",""
"19.","Shree Jay Bageshwori Cement Pvt. Ltd.","Banke","","44.","Shree Cristal Bottles Pvt. Ltd.","Rupandehi"
"20.","Karnali Distillery Pvt. Ltd.","Banke","","45.","Everest Lauda Coffee Industries Pvt. Ltd.",""
"21.","Shree Quality Roto Packaging Pvt. Ltd.","Rupandehi","","46.","Shiva Shakti Daal Mill Pvt. Ltd.",""
"22.","Shree Hama Spat","Bara","","47.","Shree Veri Distillery and Alide Industries Pvt. Ltd.",""
"23.","C.G. Foods Enterprises","Bardiya","","48.","Shree Nepal Eco Venture Tire Resolving Pvt. Ltd.","Bara"
"24.","Global Agro Products","Chitwan","","49.","Shree Sherpa Brewery Pvt. Ltd.","Chitwan"
"25.","Nawadurga Gas","Kavre","","50.","Narayani Distillery Pvt. Ltd.","Rautahat"
"","","","","51.","Aadi Remadies Pvt. Ltd.","Imadol"
