S.N.,"Country 
Of Origin","No Of 
Industries","Total 
Capital","Fixed 
Capital","Working 
Capital","Foreign 
Investment 
","Employ 
ment 
"
1,Afganistan,2,5,4,1,5,45
2,Argentina,1,8,7.1,0.9,8,37
3,Australia,8,54,42.7,11.3,43.75,224
4,Austria,1,6,4.5,1.5,5,25
5,Bangladesh,2,35,30,5,35,42
6,Belgium,1,35,30,5,35,50
7,Bhutan,1,5,2.5,2.5,5,25
8,Brazil,2,25,19.68,5.32,25,66
9,Bri.Virg.Is,4,8392.4,6198.9,2193.5,3777.4,570
10,Cambodia,1,5,2.5,2.5,5,14
11,Canada,6,2023,1996.8,26.2,434.2,181
12,China,97,5956.6,5406.02,550.58,2771.8,4943
13,Colombia,1,31.7,26.4,5.3,6.3,19
14,Denmark,7,147.7,123.5,24.2,61.38,335
15,France,5,33.2,27.3,5.9,26,159
16,Germany,8,108.8,95.92,12.88,90.4,247
17,Hong Kong,4,8420,5905,2515,3037.5,647
18,India,41,9187.11,7416.41,1770.7,2809.07,3471
19,Iran,1,20,14.6,5.4,20,25
20,Italy,3,50,40.2,9.8,50,118
21,Japan,12,748,684.3,63.7,300.9,450
,22  Malaysia,2,30,27,3,25,56
,23  Mauritius,1,50,46.5,3.5,50,30
24,Netherlands,10,817.67,166.39,651.28,721.75,430
25,"New 
Zealand",2,21,18,3,21,44
26,Philippines,2,11,8.6,2.4,11,76
27,Qatar,1,570,267,303,147,35
28,Russia,3,62.16,50.7,11.46,50.91,105
29,S. Korea,23,283.85,214.07,69.78,263.85,876
30,Seychelles,1,7600,7372,228,684,100
31,Singapore,5,1130,794.6,335.4,370,220
32,Slovenia,1,30,26,4,30,45
33,Spain,3,1992.5,1970.1,22.4,,
34,Sweden,2,15,12.4,2.6,15,66
35,Switzerland,6,423.78,379.19,44.59,419.78,365
36,Syria,2,12.5,10.6,1.9,12.5,59
37,Turkey,2,35,32.5,2.5,35,73
38,Uae,6,2814.83,882.3,1932.53,1234.85,814
39,UK,10,103.71,75.6,28.11,82.4,430
40,UKraine,1,30,28,2,30,35
41,USA,24,651.3,578.5,72.8,380.5,853
42,Uzbekistan,1,5,3.7,1.3,5,26
43,Yemen,1,5,4.2,0.8,5,16
Total,,317,51990.81,41046.28,10944.53,19936.24,16569
