"Fiscal 
Year","Trademark","","","Patent","","","Design","",""
"","National","Foreign","Total","National","Foreign","Total","National","Foreign","Total"
"Up to 
2048/49","4982","3675","8657","14","19","33","6","29","35"
"2049/50","512","170","682","0","4","4","0","0","0"
"2050/51","369","244","613","0","0","0","0","1","1"
"2051/52","393","471","864","1","0","1","0","1","1"
"2052/53","403","617","1020","1","1","2","0","1","1"
"2053/54","423","411","834","0","2","2","0","2","2"
"2054/55","442","377","819","0","2","2","0","2","2"
"2055/56","429","454","883","0","0","0","1","1","2"
"2056/57","574","588","1162","0","0","0","3","0","3"
"2057/58","678","485","1163","0","0","0","0","1","1"
"2058/59","660","518","1178","1","2","3","4","1","5"
"2059/60","804","557","1361","5","2","7","0","5","5"
"2060/61","1255","396","1651","2","2","4","0","5","5"
"2061/62","949","567","1516","0","0","0","1","1","2"
"2062/63","609","565","1174","0","1","1","0","0","0"
"2063/64","585","419","1004","3","0","3","0","0","0"
"2064/65","612","529","1141","1","0","1","2","2","4"
"2065/66","954","774","1728","2","1","3","0","3","3"
"2066/67","889","675","1565","1","0","1","0","0","0"
"2067/68","850","657","1507","1","0","1","0","0","0"
"2068/69","456","1230","1686","1","0","1","4","3","7"
"2069/70","1473","1089","2562","1","0","1","13","1","14"
"Total","19301","15468","34770","34","36","70","34","59","93"
