"Fiscal 
Year","Registration Fee (Rs.)","","","","Renewal Fee (Rs.)","","","Late Fine  
For TM 
Renewal","Deposits 
for Fieted","Others","Total"
"","Pvt. 
Ltd.","Partners
hip Firm","Proprieto
rship 
Firm","Trademark, 
Patent, 
Design","Partner 
ship Firm","Proprietor
ship firm","Trade 
Mark","","","",""
"2050/51","2629","13000","200300","496018","2100","6635","35805","4170","336324","660698","1757679"
"2051/52","-","23500","197985","757125","1305","10985","313088","1703","777353","177768","2260812"
"2052/53","-","26000","116810","862987","2035","9805","151814","4178","57000","210719","1441348"
"2053/54","-","24600","347840","1946071","1650","14120","570093","8865","209000","1078732","4200971"
"2054/55","-","6500","17030","2093358","150","7260","740411","4480","4526737","1057362","8453288"
"2055/56","-","6600","160","2621943","150","4470","339050","27755","-","1147982","4148110"
"2056/57","-","13000","23710","3041039","620","16430","552072","16675","2850053","78255","6591854"
"2057/58","-","65","7800","2856925","2000","3490","607877","16275","138100","1718005","5350537"
"2058/59","-","0","70200","2772594","1210","3260","2863359","10090","-","1976958","7697671"
"2059/60","-","6500","54600","3121092","365","6070","2009975","10940","229000","2031975","7470517"
"2060/61","-","6500","23400","2888247","900","5890","1260237","5955","17000","1933578","6141707"
"2061/62","-","-","22200","3290274","1050","17725","1523269","13119","52000","2168934","7088571"
"2062/63","-","-","-","4947210","150","10055","1731737","86900","-","3195086","9971138"
"2063/.64","-","-","-","11000000","-","-","-","392000","12652000","48000","24092000"
"2064/65","-","-","-","12008470","-","-","-","-","2202031.1","-","14210501.
1"
"2065/66","-","-","-","15112700","-","-","-","-","2399815.73","96338","17608853.
73"
"2066/67","-","-","-","15936250","-","-","-","-","191060","33897","16161207"
"2067/68","-","-","-","16327950","-","-","-","-","1931060","33897","18292907"
"2068/69","-","-","-","18716855","","-","","-","-","1230805","19947660"
"2069/70","-","-","-","-","-","-","-","-","-","-","24058600"
