"Fiscal 
Year",Category,"No Of 
Industry",Total Capital,Fixed Capital,Working Capital,Employment
"UPTO 
FY 
2046/47",Agro Based,2,48.28,45.62,2.65,649
---,Construction,1,50,35,15,367
---,Manufacturing,15,2482.49,2185.82,296.67,1717
---,Service,17,1010.84,752.43,258.41,6159
---,Tourism,11,888.56,825.49,63.07,1318
,Total,46,4480.17,3844.37,635.8,10210
2047/48,Agro Based,4,114.79,109.58,5.2,1064
,Manufacturing,60,839.77,312.05,527.73,3044
,Service,44,291.17,288.98,2.18,683
,Tourism,27,275.57,251.13,24.44,747
,Total,135,1521.29,961.74,559.56,5538
2048/49,Agro Based,26,802.36,399.86,402.5,1859
,Construction,8,114.82,34.32,80.5,134
,Manufacturing,299,4655.33,2929.76,1725.57,31880
,Service,48,792.36,686.12,106.24,2317
,Tourism,55,1145.68,596.84,548.84,1766
,Total,436,7510.54,4646.89,2863.65,37956
2049/50,Agro Based,14,475.86,363.84,112.02,1240
,Construction,5,100.04,80.96,19.08,331
,Manufacturing,514,6275.43,3878.25,2397.18,82996
,Service,42,1589.34,748.71,840.63,3454
,Tourism,31,2101.3,1595.69,505.61,1330
,Total,606,10541.97,6667.44,3874.53,89351
2050/51,Agro Based,8,317.5,275.84,41.65,650
,Energy Based,1,4500,4500,0,2250
,Manufacturing,75,6694.83,5246.85,1447.98,14094
,Service,27,4864.08,4560.45,303.63,1857
,Tourism,36,1971.26,1900.44,70.82,2086
,Total,147,18347.67,16483.59,1864.08,20937
2051/52,Agro Based,32,1832.04,1507.29,324.75,5077
,Construction,4,74.9,63.9,11,148
,Manufacturing,83,9341.52,6526.6,2814.92,9147
,Mineral,1,39.37,33.54,5.83,104
,Service,56,2191.36,1398.63,792.73,4646
,Tourism,37,4064.12,3362.77,701.35,2217
,Total,213,17543.31,12892.73,4650.58,21339
2052/53,Agro Based,19,1597.35,1314.36,282.99,5744
,Construction,4,139.7,107.4,32.3,565
,Manufacturing,108,7089.74,5346.15,1743.59,9424
,Service,200,7245.5,6223.92,1021.57,16463
,Tourism,42,3829.99,3641.21,188.78,2375
,Total,373,19902.27,16633.04,3269.24,34571
2053/54,Agro Based,16,1138.72,791.01,347.7,4258
,Construction,1,30,29.3,0.7,14
,Manufacturing,127,7451.92,5456.77,1995.15,11213
,Mineral,1,250,193.5,56.5,69
,Service,54,2629.08,2089.96,539.12,5189
,Tourism,43,2532.75,2416.89,115.86,3002
,Total,242,14032.46,10977.43,3055.04,23745
2054/55,Agro Based,5,357.25,336.61,20.64,699
,Energy Based,2,1501.17,1422.67,78.5,140
,Manufacturing,35,2811,2081.95,729.05,3642
,Mineral,1,3.29,3,0.29,24
,Service,41,4153.18,3298.86,854.32,4380
,Tourism,28,1705.79,1546.75,159.05,1251
,Total,112,10531.68,8689.83,1841.85,10136
2055/56,Agro Based,5,467.04,393.87,73.17,810
,Energy Based,7,623.05,538.65,84.4,371
,Manufacturing,39,6561.34,4240.44,2320.9,3761
,Service,32,3353.6,2939.21,414.39,2469
,Tourism,27,1541.47,1303.86,237.62,1471
,Total,110,12546.5,9416.02,3130.48,8882
2056/57,Agro Based,6,305.47,266.75,38.71,588
,Energy Based,6,11576.36,10157.06,1419.3,154
,Manufacturing,71,7063.75,4692.83,2370.93,8247
,Service,38,4178.9,3626.49,552.41,4391
,Tourism,38,2783.88,2625.77,158.11,1738
,Total,159,25908.36,21368.9,4539.46,15118
2057/58,Agro Based,3,684.02,577.15,106.88,202
,Energy Based,2,648.74,544.55,104.19,68
,Manufacturing,67,5850.14,3880.28,1969.86,6312
,Service,42,2242.63,1855.69,386.93,1430
,Tourism,31,1341.08,1206.79,134.29,1153
,Total,145,10766.61,8064.46,2702.15,9165
2058/59,Agro Based,11,967.54,1344.37,-376.83,736
,Construction,1,30,27,3,95
,Energy Based,6,6545.93,6393.22,152.71,1315
,Manufacturing,62,7170.37,4627.74,2542.63,5192
,Service,42,5639.51,4164.71,1474.79,3545
,Tourism,17,2308.3,2190.43,117.86,858
,Total,139,22661.64,18747.48,3914.16,11741
2059/60,Agro Based,3,250.83,222.24,28.59,631
,Energy Based,2,662.22,625.18,37.04,165
,Manufacturing,63,8733.05,5315.34,3417.71,9654
,Service,25,3054.31,2079.12,975.19,1881
,Tourism,16,503.05,424.15,78.91,546
,Total,109,13203.46,8666.02,4537.44,12877
2060/61,Agro Based,2,171.98,131.32,40.66,400
,Construction,1,100,50,50,46
,Energy Based,3,1471.4,1391.17,80.23,1845
,Manufacturing,66,5451.96,3396.26,2055.71,6171
,Service,42,5316.3,4825.03,491.27,2154
,Tourism,32,651.77,375.85,275.92,1071
,Total,146,13163.41,10169.63,2993.78,11687
2061/62,Agro Based,2,129.53,109.49,128.04,98
,Manufacturing,43,14470.97,10974.11,3496.86,5539
,Service,41,2269.68,1687.51,582.17,2247
,Tourism,21,1132.96,987.66,137.4,606
,Total,107,18003.13,13758.76,4344.47,8490
