Sn,District,"No. Of 
Industry","Total Project 
Cost","Total Fixed 
Cost","Foreign 
Investment",Employment
1, Dhankuta,1,46.62,37.62,0,120
2,Ilam,5,309,256.44,267.76,433
3,Jhapa,15,1051.14,677.4,288.35,3334
4,Morang,29,3783.23,2907.81,2016.17,5138
5,Okhaldhunda,1,250,245,19,122
6,Sankhuwasabha,1,500,488,500,250
7,Saptari,3,430,394.5,299.4,190
8,Siraha,5,3464.02,3058.89,2113.2,928
9,Solukhumbu,11,3289.17,3145.09,1008.13,339
10,Sunsari,23,2366.67,1732.17,1294.75,3199
11,Taplejung,2,12.1,10.14,11.9,44
12,Bara,48,7790.55,6077.35,2275.68,4671
13,Bhaktapur,55,4702.86,3834.88,3179.08,4779
14,Chitwan,57,4801.55,3951.05,1385.33,8497
15,Dhading,12,2504.89,2432.2,2265,881
16,Dhanusha,3,291.04,249.71,165.52,292
17,Dolkha,5,5800.2,5281.03,1505.73,325
18,Kathmandu,1499,76798.04,62456.94,35516.21,81122
19,Kavre,55,2128.49,1795.68,1447.8,4719
20,Lalitpur,342,14805.64,9146.99,11525.64,17838
21,Makwanpur,55,7790.88,6037.07,2893.74,4828
22, Nuwakot,11,2350.58,2213.35,233.7,1009
23,Out Of Valley,1,24.34,21.22,24.34,70
24,Parsa,44,3492.91,2456.5,2147.35,5738
25,Ramechhap,1,291.34,237.89,262.21,200
26,Rasuwa,6,4622.4,4472.28,3236.43,205
27,Rautahat,2,569.18,515.78,54.06,639
28,Sindhuli,1,9,7.7,9,105
29,Sindhupalchowk,11,7092.73,6818.59,1351.08,3016
30,Terai Region,1,60,55,16,97
31, Arghakhachi,2,1342.09,199.27,449.6,331
32,Baglung,1,500,250,500,290
33,Gorkha,4,704.09,648.32,75.23,758
34,Kalikot,1,0,1800,1520,125
35,Kapilbastu,9,421.71,206.42,307.81,300
36,Kaski,157,18781.51,17708.88,5144.37,6543
37,Lamjung,6,2319.93,2267.25,519.35,565
38,Manang,2,915,898,203,289
39,"Manang,Tanah",1,75,69.75,47.01,635
40,Mustang,3,464.24,451.01,3.57,131
41, Myagdi,1,15,11.8,15,59
42,Nawalparasi,27,7835.34,6976.89,1334.11,3535
43,Palpa,3,339.5,190.78,314.4,261
44,Parbat,1,1100,1089,1.5,2614
45,Rupandehi,34,6251.29,5147.92,3221.29,3513
46,Tanahu,5,133.02,104.7,81.5,316
47,Undefined,2,225,134.06,27,124
48,Banke,20,2085.23,1880.34,408.36,1596
49,Bardiya,10,114.68,91.26,81.94,363
50,Dang,10,4784.9,4490.4,304.9,1298
51,Humla,6,51,43.2,29.24,117
52, Mugu,1,8.6,6,8.6,18
53,Rolpa,3,32.22,28.31,29,156
54,Surkhet,4,3617.36,2842.2,2207.17,366
55,Achham,4,571.18,550.68,418.18,411
56,Baitadi,5,97,86.8,82,415
57,Dadeldhura,1,18,15,4.5,28
58, Darchula,1,34,32,2.94,60
59,Doti,1,10,7.2,10,33
60,Kailali,5,961.24,900.01,221,1030
61,Kanchanpur,16,824.37,734.41,180.72,1603
62, Kavrepalanchock,1,30,28,20.4,40
Total, ---,2652,216091.04,180904.09,95086.2,181051
 ---, ---, ---, ---, ---, ---, ---
