COUNTRY NAME,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
AFGHANISTAN,2.00,5.00,4.00,1.00,5.00,45.00
ARGENTINA,2.00,18.01,16.10,1.91,18.01,51.00
AUSTRALIA,48.00,602.91,518.11,83.72,491.27,1362.00
AUSTRIA,17.00,215.56,166.16,32.97,88.36,616.00
AZERBAIJAN,4.00,40.90,27.60,13.30,40.90,190.00
BAHRAIN,2.00,101.31,41.89,59.43,85.66,62.00
BANGLADESH,39.00,689.85,401.90,269.80,465.09,4822.00
BELARUS,1.00,5.00,4.10,0.90,5.00,15.00
BELGIUM,14.00,126.37,100.20,26.17,114.44,475.00
BERMUDA,6.00,1995.25,1694.03,214.09,118.27,1474.00
BHUTAN,4.00,32.26,23.08,6.95,8.61,123.00
BRAZIL,7.00,566.07,532.88,33.19,545.83,590.00
BRITISH VIRGIN ISLANDS,11.00,11427.18,9026.59,2400.59,5033.83,1779.00
CAMBODIA,1.00,5.00,2.48,2.52,5.00,14.00
CANADA,31.00,7104.87,6889.58,215.00,2600.74,2107.00
CHAD,1.00,2.50,1.86,0.64,2.50,18.00
CHINA (MAINLAND),695.00,43805.66,38850.49,4938.60,17966.43,36242.00
CHINA (HONG KONG),26.00,12053.74,7890.34,4157.73,4850.54,3403.00
CHINA (TAIWAN),10.00,419.75,363.93,55.82,179.62,617.00
COLOMBIA,2.00,34.08,27.90,6.18,8.70,26.00
COOK ISLANDS,1.00,833.32,828.00,5.32,666.66,35.00
CROATIA,1.00,2.50,2.10,0.40,2.50,15.00
CYPRUS,3.00,1015.50,986.50,29.00,312.50,275.00
CZECH REPUBLIC,2.00,14.50,12.20,2.30,8.89,37.00
DENMARK,29.00,923.19,802.66,120.53,264.54,1323.00
ECUADOR,1.00,2.50,1.30,1.20,2.50,45.00
EGYPT,3.00,22.10,16.20,5.90,14.10,119.00
ERITREA,1.00,2.50,1.80,0.70,2.50,15.00
FINLAND,9.00,70.00,57.26,12.74,45.55,238.00
FRANCE,70.00,752.35,620.87,118.10,431.60,2646.00
GERMANY,93.00,2659.43,2383.98,264.89,1201.22,4370.00
GHANA,1.00,6.50,6.18,0.33,1.95,10.00
GUATEMALA,1.00,10.00,5.00,5.00,2.50,84.00
HUNGARY,1.00,10.00,8.90,1.10,5.00,29.00
INDIA,588.00,84178.63,69805.92,15720.46,44041.90,63740.00
IRAN,11.00,64.70,46.85,17.85,58.20,254.00
IRELAND,7.00,738.90,692.60,46.30,355.97,355.00
ISRAEL,14.00,734.20,613.94,120.25,167.75,490.00
ITALY,30.00,1574.81,1420.91,60.20,406.10,832.00
JAPAN,194.00,6048.33,5424.26,557.53,1843.77,7801.00
KAZAKHSTAN,4.00,20.40,16.03,4.37,20.40,87.00
KYRGYZSTAN,4.00,36.50,32.05,4.45,22.50,175.00
LEBANON,2.00,7.00,5.50,1.50,7.00,49.00
LIBYA,1.00,5.00,2.80,2.20,5.00,80.00
LITHUANIA,1.00,5.00,4.00,1.00,5.00,38.00
MALAYSIA,27.00,918.74,832.02,86.72,466.28,853.00
MAURITIUS,7.00,3040.00,2958.27,81.73,2900.00,930.00
MEXICO,4.00,33.73,30.05,3.68,31.13,84.00
NETHERLANDS,49.00,2153.85,1260.15,891.64,1331.92,3558.00
NEW ZEALAND,13.00,334.63,271.91,62.42,66.07,2144.00
NORTH KOREA,3.00,64.82,58.80,6.02,32.55,147.00
NORWAY,13.00,8121.59,6770.80,1346.25,1140.83,753.00
PAKISTAN,20.00,2219.28,1926.77,291.62,191.06,2529.00
PANAMA,1.00,83.28,65.17,18.11,24.98,121.00
PHILIPPINES,15.00,1217.12,1039.78,177.33,133.28,1767.00
POLAND,7.00,138.22,128.55,9.67,55.39,194.00
PORTUGAL,1.00,2.50,2.00,0.50,2.50,23.00
QATAR,2.00,580.00,275.50,304.50,156.70,60.00
REPUBLIC OF THE CONGO,1.00,2.50,2.10,0.40,2.50,28.00
RUSSIA,26.00,410.86,321.99,88.87,253.09,1076.00
SEYCHELLES,1.00,7600.00,7372.00,228.00,684.00,100.00
SINGAPORE,34.00,7381.32,6601.84,764.49,2352.89,2751.00
SLOVAKIA,1.00,5.00,4.00,1.00,5.00,21.00
SLOVENIA,2.00,34.19,29.94,4.25,34.19,45.00
SOUTH AFRICA,7.00,67.30,54.74,12.56,67.30,195.00
SOUTH KOREA,216.00,12785.01,10347.45,2401.20,8615.84,8277.00
SPAIN,17.00,2156.52,2080.64,75.88,1907.23,516.00
SRI LANKA,5.00,93.15,68.10,25.06,51.41,129.00
SWEDEN,10.00,45.40,35.66,9.74,42.60,289.00
SWITZERLAND,44.00,1233.35,1108.84,114.10,814.53,1232.00
SYRIA,6.00,43.00,34.70,8.30,41.00,171.00
TAJIKISTAN,1.00,20.00,9.80,10.20,20.00,25.00
THAILAND,11.00,1032.37,884.79,138.03,116.29,1159.00
TURKEY,15.00,657.70,601.12,56.59,670.20,555.00
UK,130.00,5014.66,4421.11,574.86,1807.51,9397.00
UKRAINE,7.00,141.40,128.09,13.32,57.70,186.00
UNITED ARAB EMIRATES,13.00,4797.57,1957.84,2789.72,2296.41,1635.00
USA,250.00,15365.52,13849.30,1266.17,6054.76,14579.00
UZBEKISTAN,2.00,15.00,11.20,3.80,15.00,78.00
VIETNAM,2.00,24.60,22.80,1.80,24.60,55.00
YEMEN,1.00,5.00,4.20,0.80,5.00,16.00
TOTAL,2959.00,256828.31,215953.02,41493.43,115001.12,192851.00
