DISTRICT,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
ACHHAM,4,1071.57,1050.17,21.4,257
ARGHAKHACHI,3,4558.08,4328.58,229.49,353
BAGLUNG,5,1844.78,1823.48,21.3,234
BAITADI,5,87,76.3,10.7,416
BAJHANG,4,783.3,758.8,24.5,285
BAJURA,1,39.9,31.63,8.28,29
BANKE,62,7779.83,6323.49,1456.33,5881
BARA,196,30336.96,20017.38,10319.58,21605
BARDIYA,15,620.07,527.53,92.54,662
BHAKTAPUR,136,6341.47,4940.92,1400.55,13492
BHOJPUR,4,1147.23,131.73,1015.51,222
CHITWAN,151,15884.8,12348.47,3536.33,9956
DADELDHURA,3,111.19,103.22,7.97,85
DAILEKH,4,1531.75,1509.25,22.5,144
DANG,28,9634.44,8769.79,866.74,3779
DARCHULA,5,1954.86,1910.27,44.59,319
DHADING,41,17865.24,16824.67,1040.57,2895
DHANKUTA,17,2240.44,1914.83,335.61,2759
DHANUSHA,30,3714.72,3191.37,523.36,2759
DOLKHA,24,53212.6,52782.32,430.28,5704
DOLPA,1,4.72,3.91,0.81,21
DOTI,6,13400,13280.7,119.3,220
GORKHA,18,3595.76,3493.06,102.7,1174
GULMI,5,1820.77,1747.37,73.4,109
HUMLA,5,46,38.7,7.3,105
ILAM,35,10822.94,9522.73,1300.2,5900
JAJARKOT,1,50,46,4,55
JHAPA,89,6672.79,5689.16,983.63,14135
KAILALI,28,2836.68,1606.08,1230.6,2779
KALIKOT,2,3800,3600,200,230
KANCHANPUR,23,2257.77,1838.99,418.77,3391
KAPILBASTU,25,4903.22,3975.15,928.08,3067
KASKI,264,42002.38,38533.65,3460.83,14062
KATHMANDU,2605,140851.76,108602.66,32293.81,204901
KAVRE,122,6017.58,4808.63,1208.94,10113
KHOTANG,3,988.5,962.25,26.25,100
LALITPUR,573,27488.45,18249.15,9347.29,34830
LAMJUNG,24,32900.45,31941.67,958.78,1825
MAHOTTARI,4,996.6,842.77,153.84,767
MAKWANPUR,87,12090.41,9169.84,2920.58,8487
MANANG,1,900,885,15,256
MORANG,211,16358.15,11443.88,4914.27,18682
MUGU,2,50.97,45.11,5.86,68
MUSTANG,6,2221.35,2169.39,51.96,357
MYAGDI,11,34589.68,34047.22,542.46,511
NAWALPARASI,89,18277.52,14861.47,3416.05,8922
NUWAKOT,30,10718.9,10373.37,346.53,1540
OKHALDHUNDA,1,1214,1200,14,50
PALPA,5,1262.21,1108.28,153.93,506
PANCHATHAR,9,5957.14,5850.69,106.45,2743
PARBAT,2,120,116.31,3.69,231
PARSA,140,12127.85,7271.02,5327.32,13389
RAMECHHAP,10,21002.92,20156.74,846.19,683
RASUWA,15,32154.91,29905.41,2249.5,2121
RAUTAHAT,7,542.23,456.4,85.82,459
ROLPA,3,1022.79,971.86,50.94,4066
RUKUM,2,400,355,45,216
RUPANDEHI,164,18701.29,13796.04,4905.25,16289
SALYAN,1,6200,6000,200,273
SANKHUWASABHA,11,89249.04,87616.58,1632.46,1500
SAPTARI,12,770.99,617.27,153.72,1139
SARLAHI,15,3330.77,2823.32,507.46,2433
SINDHULI,2,203.84,194.85,8.99,195
SINDHUPALCHOWK,35,45262.29,43971.19,1291.1,3261
SIRAHA,9,3202.39,2711.92,490.47,1293
SOLUKHUMBU,32,28675.51,27656.49,1019.02,2780
SUNSARI,118,11069.68,8321.27,2748.4,13220
SURKHET,8,2195.46,1904,291.46,787
SYANGJA,4,406.32,281.19,125.14,498
TANAHU,14,41931.5,41756.41,175.1,1945
TAPLEJUNG,9,15545.43,15381.44,163.98,367
TEHRATHUM,5,2575,2551.15,23.85,195
UDAYPUR,5,5853.71,5296.6,557.11,764
TOTAL,5646,908400.83,799413.55,109615.68,479846
