FISCAL YEAR,TOTAL NO. OF DECISIONS,DUTY DRAW BACK CUSTOM (In Rupees),DUTY DRAW BACK PREMIUM (In Rupees),DUTY DRAW BACK EXCISE (In Rupees),DUTY DRAW BACK SALES TAX (In Rupees),DUTY DRAW BACK TOTAL AMOUNT (In Rupees)
2050/51,742.00,8475032.00,2248797.00,0.00,2714914.00,13438743.00
2051/52,719.00,5102315.00,47846.00,35835.00,967296.00,6153292.00
2052/53,722.00,13613217.00,103382.00,0.00,6966744.00,20683343.00
2053/54,482.00,24999958.00,0.00,0.00,0.00,24999958.00
2054/55,129.00,22576702.00,0.00,0.00,1209643.00,23786345.00
2055/56,316.00,50273147.00,0.00,481847.00,1168451.00,51923445.00
2056/57,367.00,82181698.00,0.00,0.00,0.00,82181698.00
2057/58,409.00,155700796.00,0.00,0.00,0.00,155700796.00
2058/59,846.00,409859971.00,0.00,0.00,0.00,409859971.00
2059/60,415.00,324705649.00,0.00,0.00,0.00,324705649.00
2060/61,200.00,147949365.90,0.00,0.00,0.00,147949365.90
2061/62,126.00,80774966.00,0.00,0.00,0.00,80774966.00
2062/63,20.00,5725641.00,0.00,0.00,0.00,5725641.00
2063/64,240.00,229163790.00,0.00,0.00,0.00,229163790.00
2064/65,448.00,437815174.00,0.00,0.00,128097.00,437943271.00
2064/65,333.00,343176088.00,0.00,0.00,128097.00,343304185.00
2065/66,,164281721.00,0.00,0.00,0.00,164281721.00
2066/67,,51071670.00,0.00,0.00,0.00,51071670.00
2067/68,22.00,64036952.00,0.00,0.00,0.00,64036952.00
2068/69,44.00,88508652.00,0.00,0.00,0.00,88508652.00
2069/70,22.00,24332031.00,,,,24332031.00
2070/71,43.00,185275278.00,,23108273.00,,208383551.00
