COUNTRY NAME,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
AUSTRALIA,6.00,103.30,81.90,21.40,77.80,120.00
AUSTRIA,1.00,9.12,7.12,2.00,9.12,21.00
BANGLADESH,8.00,65.00,54.10,10.90,63.00,207.00
BELGIUM,1.00,12.00,10.60,1.40,10.00,25.00
CANADA,4.00,45.00,35.60,9.40,45.00,66.00
CHINA (MAINLAND),125.00,6788.54,3774.72,3013.82,6211.81,5527.00
CHINA (HONG KONG),3.00,60.40,40.70,19.70,56.44,172.00
CHINA (TAIWAN),4.00,85.00,59.45,25.55,85.00,113.00
COLOMBIA,1.00,15.00,13.00,2.00,15.00,22.00
DENMARK,2.00,22.00,19.80,2.20,22.00,28.00
FRANCE,3.00,35.00,30.00,5.00,31.80,55.00
GREECE,1.00,5.00,4.30,0.70,5.00,15.00
INDIA,23.00,2339.70,954.20,1385.50,1941.91,764.00
ISRAEL,1.00,10.00,8.00,2.00,10.00,29.00
JAPAN,18.00,244.00,173.55,70.45,223.40,680.00
LEBANON,1.00,25.00,22.50,2.50,25.00,25.00
MAURITIUS,1.00,830.00,820.00,10.00,406.70,0.00
NETHERLANDS ANTILLES,1.00,25.00,20.00,5.00,10.00,80.00
NEW ZEALAND,2.00,25.00,8.90,16.10,15.00,15.00
NORWAY,1.00,9.50,7.00,2.50,9.50,28.00
PAKISTAN,2.00,13.76,9.46,4.30,13.76,92.00
PHILIPPINES,2.00,10.00,7.90,2.10,10.00,44.00
POLAND,1.00,20.00,16.00,4.00,20.00,20.00
ROMANIA,1.00,15.00,9.90,5.10,15.00,12.00
RUSSIA,3.00,45.00,33.60,11.40,35.00,79.00
SINGAPORE,2.00,640.00,565.80,74.20,488.00,199.00
SOUTH KOREA,55.00,452.60,363.24,89.36,435.60,1101.00
SPAIN,1.00,30.00,9.10,20.90,18.00,33.00
SRI LANKA,1.00,10.00,8.50,1.50,10.00,19.00
SWEDEN,2.00,25.00,20.20,4.80,25.00,481.00
SWITZERLAND,3.00,3721.92,3693.86,28.05,1832.13,27.00
SYRIA,1.00,5.00,4.20,0.80,5.00,16.00
THE NETHERLANDS,7.00,51.80,37.00,14.80,44.13,117.00
TURKEY,1.00,10.00,6.48,3.52,34.84,24.00
UK,11.00,2134.75,1022.55,1112.20,2078.68,237.00
USA,40.00,2358.32,2002.32,356.00,701.02,916.00
YEMEN,1.00,100.00,90.00,10.00,100.00,17.00
TOTAL,341.00,20396.69,14045.54,6351.15,15139.63,11426.00
