COUNTRY NAME,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
AFGHANISTAN,2.00,5.00,4.00,1.00,5.00,45.00
ARGENTINA,2.00,18.01,16.10,1.91,18.01,51.00
AUSTRALIA,61.00,766.21,651.01,114.12,614.07,1593.00
AUSTRIA,19.00,234.67,182.27,35.97,107.47,664.00
AZERBAIJAN,4.00,40.90,27.60,13.30,40.90,190.00
BAHRAIN,2.00,101.31,41.89,59.43,85.66,62.00
BANGLADESH,58.00,896.60,573.10,305.35,654.93,5351.00
BELARUS,1.00,5.00,4.10,0.90,5.00,15.00
BELGIUM,17.00,226.37,193.80,32.57,180.24,590.00
BERMUDA,6.00,1995.25,1694.03,214.09,118.27,1474.00
BHUTAN,4.00,32.26,23.08,6.95,8.61,123.00
BRAZIL,7.00,566.07,532.88,33.19,545.83,590.00
BRITISH VIRGIN ISLANDS,14.00,16206.28,13632.89,2573.39,7967.28,2054.00
CAMBODIA,1.00,5.00,2.48,2.52,5.00,14.00
CANADA,39.00,7197.87,6966.98,230.60,2691.24,2265.00
CHAD,1.00,2.50,1.86,0.64,2.50,18.00
CHILE,1.00,30.00,26.80,3.20,30.00,29.00
CHINA (MAINLAND),1034.00,56924.31,47773.52,9134.22,30252.93,49566.00
CHINA (HONG KONG),32.00,34585.91,30138.38,4441.86,25187.58,4518.00
CHINA (TAIWAN),15.00,515.25,432.38,82.87,274.62,760.00
COLOMBIA,3.00,49.08,40.90,8.18,23.70,48.00
COOK ISLANDS,1.00,833.32,828.00,5.32,666.66,35.00
CROATIA,1.00,2.50,2.10,0.40,2.50,15.00
CYPRUS,3.00,1015.50,986.50,29.00,312.50,275.00
CZECH REPUBLIC,2.00,14.50,12.20,2.30,8.89,37.00
DENMARK,33.00,1190.19,1045.66,144.53,391.53,1448.00
ECUADOR,1.00,2.50,1.30,1.20,2.50,45.00
EGYPT,3.00,22.10,16.20,5.90,14.10,119.00
ERITREA,1.00,2.50,1.80,0.70,2.50,15.00
FINLAND,10.00,432.91,416.50,16.41,335.88,260.00
FRANCE,80.00,870.85,719.87,137.60,534.28,2871.00
GERMANY,101.00,2786.43,2482.31,293.56,1305.22,4535.00
GHANA,1.00,6.50,6.18,0.33,1.95,10.00
GREECE,1.00,5.00,4.30,0.70,5.00,15.00
GUATEMALA,1.00,10.00,5.00,5.00,2.50,84.00
HUNGARY,1.00,10.00,8.90,1.10,5.00,29.00
INDIA,646.00,130315.07,113395.01,18267.82,80925.86,65506.00
INDONESIA,1.00,35.00,31.80,3.20,35.00,29.00
IRAN,12.00,74.70,55.85,18.85,68.20,273.00
IRELAND,7.00,738.90,692.60,46.30,355.97,355.00
ISRAEL,17.00,769.20,638.84,130.35,197.75,553.00
ITALY,32.00,1589.81,1432.61,63.50,421.10,907.00
JAPAN,228.00,6479.33,5702.56,710.23,2337.17,8895.00
JORDAN,1.00,30.00,26.80,3.20,12.00,29.00
KAZAKHSTAN,4.00,20.40,16.03,4.37,20.40,87.00
KYRGYZSTAN,4.00,36.50,32.05,4.45,22.50,175.00
LEBANON,3.00,32.00,28.00,4.00,32.00,74.00
LIBYA,1.00,5.00,2.80,2.20,5.00,80.00
LITHUANIA,1.00,5.00,4.00,1.00,5.00,38.00
MALAYSIA,31.00,948.74,855.32,93.42,496.28,1007.00
MAURITIUS,9.00,3878.00,3784.27,93.73,3314.70,952.00
MEXICO,4.00,33.73,30.05,3.68,31.13,84.00
NEPAL,1.00,20.00,17.50,2.50,6.00,20.00
NETHERLANDS ANTILLES,1.00,25.00,20.00,5.00,10.00,80.00
NEW ZEALAND,19.00,397.53,314.11,83.12,116.27,2238.00
NORTH KOREA,3.00,64.82,58.80,6.02,32.55,147.00
NORWAY,16.00,8146.09,6790.60,1350.95,1165.33,845.00
PAKISTAN,26.00,2303.04,1986.43,315.72,269.82,2828.00
PANAMA,1.00,83.28,65.17,18.11,24.98,121.00
PHILIPPINES,17.00,1227.12,1047.68,179.43,143.28,1811.00
POLAND,8.00,158.22,144.55,13.67,75.39,214.00
PORTUGAL,1.00,2.50,2.00,0.50,2.50,23.00
QATAR,2.00,580.00,275.50,304.50,156.70,60.00
REPUBLIC OF THE CONGO,1.00,2.50,2.10,0.40,2.50,28.00
ROMANIA,1.00,15.00,9.90,5.10,15.00,12.00
RUSSIA,37.00,591.86,459.89,131.97,418.09,1323.00
SEYCHELLES,1.00,7600.00,7372.00,228.00,684.00,100.00
SINGAPORE,38.00,8076.82,7215.24,846.59,2896.39,3035.00
SLOVAKIA,1.00,5.00,4.00,1.00,5.00,21.00
SLOVENIA,2.00,34.19,29.94,4.25,34.19,45.00
SOUTH AFRICA,8.00,72.30,58.94,13.36,72.30,217.00
SOUTH KOREA,307.00,13667.71,11046.89,2584.46,9434.33,10434.00
SPAIN,20.00,2236.52,2131.34,105.18,1975.23,597.00
SRI LANKA,6.00,103.15,76.60,26.56,61.41,148.00
SWAZILAND,1.00,15.00,12.90,2.10,15.00,0.00
SWEDEN,12.00,70.40,55.86,14.54,67.60,770.00
SWITZERLAND,53.00,5170.27,4994.40,165.45,2856.22,1442.00
SYRIA,9.00,58.00,46.80,11.20,56.00,232.00
TAJIKISTAN,2.00,35.00,21.80,13.20,35.00,65.00
THAILAND,11.00,1032.37,884.79,138.03,116.29,1159.00
THE NETHERLANDS,66.00,2329.43,1398.66,928.71,1441.02,3839.00
TURKEY,21.00,1737.70,671.70,1066.01,1775.04,733.00
UK,155.00,8640.41,6861.70,1760.01,5180.97,10418.00
UKRAINE,9.00,171.40,154.04,17.37,87.70,241.00
UNITED ARAB EMIRATES,14.00,4821.57,1974.84,2796.72,2320.41,1660.00
USA,334.00,18558.95,16530.69,1778.22,7434.59,16513.00
UZBEKISTAN,4.00,75.00,63.20,11.80,75.00,132.00
VIETNAM,2.00,24.60,22.80,1.80,24.60,55.00
