DISTRICT,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
BAGLUNG,1.00,3.94,3.50,3.94,9.00
BAITADI,1.00,9.00,5.50,9.00,30.00
BANKE,1.00,10.00,6.00,10.00,130.00
BHAKTAPUR,2.00,10.00,8.30,10.00,30.00
CHITWAN,4.00,27.94,22.90,27.94,76.00
DADELDHURA,1.00,5.00,3.00,5.00,20.00
DANG,2.00,32.50,21.00,25.00,35.00
DHADING,4.00,180.00,137.60,150.00,322.00
DOLKHA,2.00,835.00,823.90,411.70,45.00
GORKHA,1.00,10.00,8.00,6.80,13.00
ILAM,1.00,1306.92,1303.96,617.13,0.00
JAJARKOT,1.00,30.00,23.00,30.00,40.00
JHAPA,2.00,59.00,26.50,20.01,40.00
JUMLA,1.00,10.00,8.00,10.00,29.00
KAILALI,4.00,37.50,19.30,20.25,47.00
KANCHANPUR,3.00,23.00,14.00,23.00,87.00
KASKI,24.00,217.94,163.16,204.94,402.00
KATHMANDU,174.00,7557.62,2745.50,7146.15,5283.00
KAVRE,7.00,2110.00,1740.25,1574.56,988.00
LALITPUR,83.00,3045.86,2535.02,2823.31,3003.00
MAHOTTARI,1.00,3.44,2.57,3.44,9.00
MAKWANPUR,5.00,294.00,221.50,237.40,294.00
MORANG,1.00,49.40,33.00,46.44,130.00
NAWALPARASI,1.00,10.00,7.50,5.00,28.00
NUWAKOT,5.00,59.12,37.82,59.12,115.00
PALPA,1.00,3.44,2.57,3.44,9.00
RASUWA,1.00,2400.00,2380.00,1200.00,10.00
RUPANDEHI,2.00,1903.14,1687.70,335.64,9.00
SINDHUPALCHOWK,2.00,89.00,18.30,89.00,75.00
SOLUKHUMBU,1.00,30.00,20.00,7.50,0.00
SUNSARI,1.00,3.94,3.50,3.94,9.00
TANAHU,1.00,10.00,7.80,10.00,45.00
TOTAL,341.00,20396.69,14045.54,15139.63,11426.00
