DISTRICT,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
ACHHAM,4.00,571.18,550.68,20.50,418.18,411.00
ARGHAKHACHI,2.00,1342.09,199.27,1142.83,449.60,331.00
BAGLUNG,2.00,503.94,253.50,250.44,503.94,299.00
BAITADI,7.00,115.50,97.80,17.70,100.50,485.00
BAJHANG,1.00,15.00,12.30,2.70,12.00,70.00
BANKE,25.00,3082.00,2797.89,279.34,509.96,1887.00
BARA,52.00,8154.55,6351.35,1621.73,2617.12,4897.00
BARDIYA,12.00,212.54,168.66,43.88,179.80,509.00
BHAKTAPUR,68.00,5387.17,4455.82,931.35,3832.73,5108.00
CHITWAN,74.00,5220.29,4266.58,917.45,1746.92,9004.00
DADELDHURA,3.00,33.00,26.50,6.50,19.50,75.00
DANG,16.00,4911.40,4592.50,318.90,423.90,1861.00
DARCHULA,2.00,40.40,36.20,4.20,7.42,117.00
DHADING,19.00,2754.89,2628.60,126.29,2481.00,1442.00
DHANKUTA,1.00,46.62,37.62,9.00,0.00,120.00
DHANUSHA,3.00,291.04,249.71,41.33,165.52,292.00
DOLKHA,9.00,6655.20,6121.93,533.27,1937.43,420.00
DOTI,1.00,10.00,7.20,2.80,10.00,33.00
GORKHA,8.00,750.09,688.62,61.47,117.02,845.00
HUMLA,7.00,61.00,52.30,8.70,36.74,134.00
ILAM,6.00,1615.92,1560.40,55.51,884.89,433.00
JAJARKOT,3.00,660.00,626.00,34.00,660.00,360.00
JHAPA,20.00,2179.14,1703.50,475.65,1238.16,3623.00
JUMLA,1.00,10.00,8.00,2.00,10.00,29.00
KAILALI,12.00,1088.24,991.81,96.43,330.75,1257.00
KALIKOT,1.00,42106.60,41400.00,706.60,33685.28,80.00
KANCHANPUR,22.00,909.77,803.81,105.96,262.40,1885.00
KAPILBASTU,9.00,421.71,206.42,150.59,307.81,300.00
KASKI,259.00,26825.86,25203.88,1462.31,11400.41,9176.00
KATHMANDU,2066.00,101124.13,77897.44,22956.63,54922.04,98961.00
KAVRE,75.00,4542.99,3805.01,741.88,3256.26,6085.00
LALITPUR,598.00,24394.86,15819.08,8562.75,19966.74,26626.00
LAMJUNG,7.00,2324.93,2271.45,53.48,524.35,581.00
MAHOTTARI,1.00,3.44,2.57,0.87,3.44,9.00
MAKWANPUR,69.00,8352.08,6437.07,1705.27,3634.47,5419.00
MANANG,3.00,990.00,967.75,22.25,250.01,924.00
MORANG,33.00,4123.87,3095.08,1012.36,2155.84,5399.00
MUGU,1.00,8.60,6.00,2.60,8.60,18.00
MUSTANG,5.00,852.65,829.74,22.91,316.85,188.00
MYAGDI,3.00,39015.00,38707.80,307.20,24335.00,904.00
NAWALPARASI,34.00,8373.84,7353.56,972.50,1716.11,3834.00
NUWAKOT,21.00,2499.84,2328.66,170.10,380.44,1248.00
OKHALDHUNDA,2.00,300.00,286.15,13.85,66.50,127.00
PALPA,4.00,342.94,193.35,149.59,317.84,270.00
PARBAT,1.00,1100.00,1089.00,11.00,1.50,2614.00
PARSA,51.00,3836.28,2660.37,1157.71,2465.72,6267.00
PYUTHAN,2.00,90.00,78.00,12.00,90.00,200.00
RAMECHHAP,1.00,291.34,237.89,53.45,262.21,200.00
RASUWA,8.00,9922.40,8852.28,1055.12,4562.43,215.00
RAUTAHAT,2.00,569.18,515.78,50.02,54.06,639.00
ROLPA,3.00,32.22,28.31,3.91,29.00,156.00
RUPANDEHI,43.00,9606.24,8205.40,1227.95,4692.89,3963.00
SANKHUWASABHA,1.00,500.00,488.00,12.00,500.00,250.00
SAPTARI,3.00,430.00,394.50,35.50,299.40,190.00
SINDHULI,1.00,9.00,7.70,1.30,9.00,105.00
SINDHUPALCHOWK,15.00,7196.73,6849.19,347.53,1455.08,3160.00
SIRAHA,5.00,3464.02,3058.89,405.01,2113.20,928.00
SOLUKHUMBU,16.00,3754.17,3508.59,174.40,1450.63,546.00
SUNSARI,28.00,2764.61,2060.97,703.64,1657.79,3541.00
SURKHET,5.00,3622.36,2846.10,776.26,2212.17,384.00
TANAHU,7.00,193.02,152.50,40.52,141.50,426.00
TAPLEJUNG,2.00,12.10,10.14,1.96,11.90,44.00
TOTAL,3776.00,360857.78,309142.98,52332.94,199881.57,220496.00
