DISTRICT,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
BAITADI,1.00,9.00,5.50,3.50,30.00
BANKE,5.00,433.10,368.59,64.52,395.00
BARA,6.00,391.20,312.70,78.50,188.00
BHAKTAPUR,7.00,631.81,525.44,106.37,437.00
BHOJPUR,1.00,1617.84,1608.30,9.54,52.00
CHITWAN,11.00,1174.90,1012.10,162.80,562.00
DADELDHURA,2.00,31.00,26.73,4.27,45.00
DANG,2.00,1532.00,1360.00,172.00,343.00
DARCHULA,1.00,162.32,159.00,3.32,42.00
DHADING,6.00,4839.21,4772.15,67.06,268.00
DHANUSHA,1.00,150.00,100.00,50.00,42.00
DOLKHA,4.00,490.46,440.70,49.76,144.00
GORKHA,1.00,10.00,8.00,2.00,13.00
ILAM,2.00,1356.42,1344.96,11.45,110.00
JAJARKOT,2.00,70.00,43.00,27.00,80.00
JHAPA,10.00,2240.09,1873.09,367.00,751.00
KAILALI,4.00,29.50,18.80,10.70,82.00
KANCHANPUR,5.00,423.00,265.00,158.00,365.00
KAPILBASTU,5.00,637.60,392.90,244.70,281.00
KASKI,24.00,1462.77,1391.37,71.41,729.00
KATHMANDU,150.00,15627.04,7831.34,7795.70,4954.00
KAVRE,7.00,265.30,214.70,50.60,207.00
KHOTANG,1.00,396.18,392.22,3.96,65.00
LALITPUR,73.00,4738.36,3088.89,1649.47,2978.00
LAMJUNG,1.00,434.02,430.19,3.82,52.00
MAHOTTARI,1.00,44.40,30.20,14.20,83.00
MAKWANPUR,10.00,1172.28,850.78,321.51,603.00
MORANG,13.00,4123.04,3210.59,912.44,723.00
NAWALPARASI,12.00,39337.71,36812.91,2524.80,1304.00
NUWAKOT,5.00,9743.53,9682.53,61.00,157.00
PALPA,1.00,246.73,243.92,2.81,13.00
PARSA,5.00,568.30,441.75,126.54,169.00
RAUTAHAT,1.00,149.00,103.53,45.48,141.00
RUPANDEHI,15.00,7796.87,6239.40,1557.47,1670.00
SANKHUWASABHA,3.00,10763.35,10729.90,33.45,134.00
SARLAHI,2.00,215.00,130.10,84.90,192.00
SINDHUPALCHOWK,3.00,126.00,49.80,76.20,130.00
SOLUKHUMBU,1.00,100.00,50.00,50.00,42.00
SUNSARI,2.00,314.90,251.60,63.30,187.00
TANAHU,2.00,73.70,49.50,24.20,97.00
TAPLEJUNG,2.00,8079.30,8055.42,23.87,100.00
TOTAL,410.00,122007.22,104917.59,17089.62,18960.00
