FISCAL YEAR,CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
2028/29,TOURISM,1,247.5,239,8.5,104
2028/29,2028/29 TOTAL,1,247.5,239,8.5,104
2029/30,MANUFACTURING,1,200,148,52,165
2029/30,2029/30 TOTAL,1,200,148,52,165
2042/43,MANUFACTURING,1,49.8,42.3,7.5,57
2042/43,2042/43 TOTAL,1,49.8,42.3,7.5,57
UP TO 2046/47,AGRO AND FORESTRY BASED,2,48.28,45.62,2.65,649
UP TO 2046/47,CONSTRUCTION,1,50,35,15,367
UP TO 2046/47,MANUFACTURING,15,2482.49,2185.82,296.67,1717
UP TO 2046/47,SERVICE,17,1010.84,752.43,258.41,6159
UP TO 2046/47,TOURISM,11,888.56,825.49,63.07,1318
UP TO 2046/47,UP TO FY 2046/47 TOTAL,46,4480.17,3844.37,635.8,10210
2047/48,AGRO AND FORESTRY BASED,4,114.79,109.58,5.2,1064
2047/48,MANUFACTURING,60,839.77,312.05,527.73,3044
2047/48,SERVICE,44,291.17,288.98,2.18,683
2047/48,TOURISM,27,275.57,251.13,24.44,747
2047/48,2047/48 TOTAL,135,1521.29,961.74,559.56,5538
2048/49,AGRO AND FORESTRY BASED,26,802.36,399.86,402.5,1859
2048/49,CONSTRUCTION,8,114.82,34.32,80.5,134
2048/49,MANUFACTURING,299,4655.33,2929.76,1725.57,31880
2048/49,SERVICE,48,792.36,686.12,106.24,2317
2048/49,TOURISM,55,1145.68,596.84,548.84,1766
2048/49,2048/49 TOTAL,436,7510.54,4646.89,2863.65,37956
2049/50,AGRO AND FORESTRY BASED,14,475.86,363.84,112.02,1240
2049/50,CONSTRUCTION,5,100.04,80.96,19.08,331
2049/50,MANUFACTURING,514,6275.43,3878.25,2397.18,82996
2049/50,SERVICE,42,1589.34,748.71,840.63,3454
2049/50,TOURISM,31,2101.3,1595.69,505.61,1330
2049/50,2049/50 TOTAL,606,10541.97,6667.44,3874.53,89351
2050/51,AGRO AND FORESTRY BASED,8,317.5,275.84,41.65,650
2050/51,ENERGY BASED,1,4500,4500,0,2250
2050/51,MANUFACTURING,75,6694.83,5246.85,1447.98,14094
2050/51,SERVICE,27,4864.08,4560.45,303.63,1857
2050/51,TOURISM,36,1971.26,1900.44,70.82,2086
2050/51,2050/51 TOTAL,147,18347.67,16483.59,1864.08,20937
2051/52,AGRO AND FORESTRY BASED,32,1832.04,1507.29,324.75,5077
2051/52,CONSTRUCTION,4,74.9,63.9,11,148
2051/52,MANUFACTURING,83,9341.52,6526.6,2814.92,9147
2051/52,MINERAL,1,39.37,33.54,5.83,104
2051/52,SERVICE,56,2191.36,1398.63,792.73,4646
2051/52,TOURISM,37,4064.12,3362.77,701.35,2217
2051/52,2051/52 TOTAL,213,17543.31,12892.73,4650.58,21339
2052/53,AGRO AND FORESTRY BASED,19,1597.35,1314.36,282.99,5744
2052/53,CONSTRUCTION,4,139.7,107.4,32.3,565
2052/53,MANUFACTURING,108,7089.74,5346.15,1743.59,9424
2052/53,SERVICE,200,7245.5,6223.92,1021.57,16463
2052/53,TOURISM,42,3829.99,3641.21,188.78,2375
2052/53,2052/53 TOTAL,373,19902.27,16633.04,3269.24,34571
2053/54,AGRO AND FORESTRY BASED,16,1138.72,791.01,347.7,4258
2053/54,CONSTRUCTION,1,30,29.3,0.7,14
2053/54,MANUFACTURING,127,7451.92,5456.77,1995.15,11213
2053/54,MINERAL,1,250,193.5,56.5,69
2053/54,SERVICE,54,2629.08,2089.96,539.12,5189
2053/54,TOURISM,43,2532.75,2416.8,115.86,3002
2053/54,2053/54 TOTAL,242,14032.46,10977.43,3055.04,23745
2054/55,AGRO AND FORESTRY BASED,5,357.25,336.61,20.64,699
2054/55,ENERGY BASED,2,1501.17,1422.67,78.5,140
2054/55,MANUFACTURING,35,2811,2081.95,729.05,3642
2054/55,MINERAL,1,3.29,3,0.29,24
2054/55,SERVICE,41,4153.18,3298.86,854.32,4380
2054/55,TOURISM,28,1705.79,1546.75,159.05,1251
2054/55,2054/55 TOTAL,112,10531.68,8689.83,1841.85,10136
2055/56,AGRO AND FORESTRY BASED,5,467.04,393.87,73.17,810
2055/56,ENERGY BASED,7,623.05,538.65,84.4,371
2055/56,MANUFACTURING,39,6561.34,4240.44,2320.9,3761
2055/56,SERVICE,32,3353.6,2939.21,414.39,2469
2055/56,TOURISM,27,1541.47,1303.86,237.62,1471
2055/56,2055/56 TOTAL,110,12546.5,9416.02,3130.48,8882
2056/57,AGRO AND FORESTRY BASED,6,305.47,266.75,38.71,588
2056/57,ENERGY BASED,6,11576.36,10157.06,1419.3,154
2056/57,MANUFACTURING,71,7063.75,4692.83,2370.93,8247
2056/57,SERVICE,38,4178.9,3626.49,552.41,4391
2056/57,TOURISM,38,2783.88,2625.77,158.11,1738
2056/57,2056/57 TOTAL,159,25908.36,21368.9,4539.46,15118
2057/58,AGRO AND FORESTRY BASED,3,684.02,577.15,106.88,202
2057/58,ENERGY BASED,2,648.74,544.55,104.19,68
2057/58,MANUFACTURING,67,5850.14,3880.28,1969.86,6312
2057/58,SERVICE,42,2242.63,1855.69,386.93,1430
2057/58,TOURISM,31,1341.08,1206.79,134.29,1153
2057/58,2057/58 TOTAL,145,10766.61,8064.46,2702.15,9165
2058/59,AGRO AND FORESTRY BASED,11,967.54,1344.37,-376.83,736
2058/59,CONSTRUCTION,1,30,27,3,95
2058/59,ENERGY BASED,6,6545.93,6393.22,152.71,1315
2058/59,MANUFACTURING,62,7170.37,4627.74,2542.63,5192
2058/59,SERVICE,42,5639.51,4164.71,1474.79,3545
2058/59,TOURISM,17,2308.3,2190.43,117.86,858
2058/59,2058/59 TOTAL,139,22661.64,18747.48,3914.16,11741
2059/60,AGRO AND FORESTRY BASED,3,250.83,222.24,28.59,631
2059/60,ENERGY BASED,2,662.22,625.18,37.04,165
2059/60,MANUFACTURING,63,8733.05,5315.34,3417.71,9654
2059/60,SERVICE,25,3054.31,2079.12,975.19,1881
2059/60,TOURISM,16,503.05,424.15,78.91,546
2059/60,2059/60 TOTAL,109,13203.46,8666.02,4537.44,12877
2060/61,AGRO AND FORESTRY BASED,2,171.98,131.32,40.66,400
2060/61,CONSTRUCTION,1,100,50,50,46
2060/61,ENERGY BASED,3,1471.4,1391.17,80.23,1845
2060/61,MANUFACTURING,66,5451.96,3396.26,2055.71,6171
2060/61,SERVICE,42,5316.3,4825.03,491.27,2154
2060/61,TOURISM,32,651.77,375.85,275.92,1071
2060/61,2060/61 TOTAL,146,13163.41,10169.63,2993.78,11687
2061/62,AGRO AND FORESTRY BASED,2,129.53,109.49,128.04,98
2061/62,MANUFACTURING,43,14470.97,10974.1,3496.86,5539
2061/62,SERVICE,41,2269.68,1687.51,582.17,2247
2061/62,TOURISM,21,1132.96,987.66,137.4,606
2061/62,2061/62 TOTAL,107,18003.13,13758.76,4344.47,8490
2062/63,AGRO AND FORESTRY BASED,2,343.45,288.25,55.2,114
2062/63,CONSTRUCTION,1,45.3,45,0.3,7
2062/63,ENERGY BASED,2,550.99,527.84,23.15,59
2062/63,MANUFACTURING,50,5738.99,3912.82,1826.17,7328
2062/63,SERVICE,40,2238.09,1762.52,475.57,2014
2062/63,TOURISM,25,611.03,569.41,41.62,876
2062/63,2062/63 TOTAL,120,9527.85,7105.84,2422.01,10398
2063/64,AGRO AND FORESTRY BASED,1,2.84,2.59,0.26,17
2063/64,CONSTRUCTION,2,499.27,479.27,20.01,12
2063/64,ENERGY BASED,2,466,436.3,29.7,66
2063/64,MANUFACTURING,50,5425.82,3725.25,1700.57,5308
2063/64,MINERAL,1,5,3.5,1.5,100
2063/64,SERVICE,84,1196.71,865.4,376.31,2554
2063/64,TOURISM,37,528.05,460.72,67.32,1175
2063/64,2063/64 TOTAL,177,8123.68,5973.02,2195.66,9232
2064/65,AGRO AND FORESTRY BASED,12,236.1,196.8,39.3,434
2064/65,CONSTRUCTION,2,1200,1193,7,61
2064/65,ENERGY BASED,6,1898.74,1396.55,502.19,1169
2064/65,MANUFACTURING,80,11217.26,9144.79,2072.46,5307
2064/65,MINERAL,3,25.5,19.95,7.65,290
2064/65,SERVICE,65,3980.88,2225.99,1754.88,3815
