NAME OF INDUSTRY,PREFERENTIAL EXPORT GOOD,PRODUCTION CAPACITY (YEAR),RECOMMENDED AMOUNT,AMOUNT UNIT
"N.S.Export Pvt. Ltd., Bhaktapur","Readymade Garments (shirt , jacket)","3,60,000 Pcs",120000.00,Pcs
"Ganga Rosin And Turpentine Ind., Banke","Rosin , Turpentine",3440 MT,3000.00,MT
"Jagadamba Enterprises Pvt. Ltd ., Parsa",G I Pipe,"12,000 MT",5000.00,MT
"Prestige Mat Ind., Bara","PVC Mats, Plastic Mats","10,54,080 Sq.Mtrs",200000.00,Sq.Mtrs
"Bageshori Kattha Industries Pvt. Ltd., Banke",Liquid Kattha,"1,580 MT",200.00,MT
"Narayani plastic Industries Pvt. Ltd., Bara",HDPE Pipes,900 MT,50.00,MT
"Probiotic Industries Pvt. Ltd., Bara",Crude oil (Soya and Mustard ),"7,938 MT",500.00,MT
"Indushankar sugar Ind.,Bara",Molasses (by product),"21,000 MT",5000.00,MT
"Rajesh Metal Craft Pvt. Ltd., Bara",Zinc dross (by product),975 MT,200.00,MT
"Dabar Nepal Pvt.Ltd., Bara",Fruit Juice,"1,10,000 KL",80000.00,KL
"Om Pasmina And Craft Ind. Pvt. Ldt., Lalitpur",Woolen Shawl /Stole/Muffler,"15,000 Pcs",15000.00,Pcs
"K.B. Sam Aluminum Ind. Pvt. Ltd.,Bara","Aluminum, Extrusion, and house hold product (Ladder)","14,800 MT",2500.00,MT
"Rajesh metal crafts Pvt. Ltd., Bara",Zinc residue-Ash (By product),975 MT,200.00,MT
Shiva Kattha Ind. Pvt. Ldt. Banke,Kattha (Biscuits),120 MT,80.00,MT
Shiva Kattha Ind. Pvt. Ldt. Banke, Cutchh,180 MT,,
"Nabin Polymer Ind., Bara",Pet Preform,1200 MT,400.00,MT
"Aarati Stripsh Pvt.Ldt., Morang",Black Pipes,"25,000 MT",5000.00,MT
"Shree Shyam Ind.Pvt.Ltd.,Sunasari",Synthetic shoes,"8,00,000 Pairs",200000.00,Pairs
"Asian Biscuit And Confectionari Pvt. Ltd., Sunasari.",Biscuits (Different Varities),"9,000 MT",500.00,MT
"Asian Biscuit And Confectionari Pvt. Ltd., Sunasari.",Confectionary (Different Varities),"3,000 MT",500.00,MT
"Shiva Shakti Chemoplast Pvt. Ltd., Parsa",Woooven Fabrics,"8,500 MT",1500.00,MT
"Manakamana Rosin & Chemicals Industries Pvt. Ltd., Banke",Rosin,"2,880 MT",500.00,MT
"Manakamana Rosin & Chemicals Industries Pvt. Ltd., Banke",Turpentine,580 KL,100.00,KL
"Probiotic Industries Pvt. Ltd., Parsa",Crude Oil (Soya and Mustard),"7,938 MT",1000.00,MT
"Relliance Sugar and Chemical Industries Pvt. Ltd., Bara",Mollases (By-product),"15,000 MT",2500.00,MT
Bhagawati Rolling Mills Pvt. Ltd. Bara,H. B. Wire,500 MT,150.00,MT
Bhagawati Rolling Mills Pvt. Ltd. Bara,Bolt,"2,000 MT",250.00,MT
