"DISTRICT","NO. OF INDUSTRY","TOTAL CAPITAL (In Million Rupees)","FIXED CAPITAL (In Million Rupees)","WORKING CAPITAL (In Million Rupees)","EMPLOYMENT (In Number)"
"ACHHAM",4,1071.57,1050.17,21.4,257
"ARGHAKHACHI",3,4558.08,4328.58,229.49,353
"BAGLUNG",9,4577.67,4534.7,42.97,378
"BAITADI",7,105.5,87.3,18.2,486
"BAJHANG",5,933.3,903.8,29.5,365
"BAJURA",1,39.9,31.63,8.28,29
"BANKE",76,9863.6,8223.52,1640.07,6641
"BARA",223,35633.36,23686.61,11946.75,23376
"BARDIYA",17,739.93,641.93,98,713
"BHAKTAPUR",161,11546.59,9795.9,1750.69,15340
"BHOJPUR",10,9088.28,7941.71,1146.57,847
"CHITWAN",193,21783.14,17223.14,4560,12272
"DADELDHURA",5,142.19,129.95,12.24,130
"DAILEKH",5,2302.9,2273.55,29.35,244
"DANG",38,20992.73,18462.57,2532.26,5144
"DARCHULA",7,3557.18,3498.77,58.4,413
"DHADING",56,23715.25,22397.04,1318.2,3684
"DHANKUTA",18,2289.44,1958.83,340.61,2791
"DHANUSHA",37,6911.32,5645.13,1266.19,3484
"DOLKHA",33,84257.26,83692.34,564.92,6100
"DOLPA",1,4.72,3.91,0.81,21
"DOTI",6,13400,13280.7,119.3,220
"GORKHA",26,4714.22,4585.63,128.59,1635
"GULMI",5,1820.77,1747.37,73.4,109
"HUMLA",5,46,38.7,7.3,105
"ILAM",40,15742,14377.21,1364.8,6135
"JAJARKOT",5,270,222,48,225
"JHAPA",115,11378.18,9417.25,1960.93,15654
"KAILALI",40,3311.38,1973.43,1337.95,3457
"KALIKOT",5,49384.6,48441.09,943.51,394
"KANCHANPUR",29,2739.87,2153.99,585.87,3806
"KAPILBASTU",37,11239.67,8195.15,3044.52,4461
"KASKI",367,47271.47,43497.79,3765.77,16652
"KATHMANDU",3149,191832.92,145023.09,46854.53,224775
"KAVRE",149,10277.73,8157.8,2119.93,11818
"KHOTANG",4,1384.68,1354.47,30.21,165
"LALITPUR",794,45965.34,32132.23,13941.11,44289
"LAMJUNG",30,45508.77,44288.67,1220.11,2142
"MAHOTTARI",6,1191,995.77,195.24,906
"MAKWANPUR",107,18603.29,15094.43,3508.86,9632
"MANANG",1,900,885,15,256
"MORANG",244,27684.36,20363.43,7320.94,20633
"MUGU",2,50.97,45.11,5.86,68
"MUSTANG",8,2515.35,2437.89,77.46,424
"MYAGDI",14,62896.27,62113.81,782.46,1470
"NAWALPARASI",120,60440.01,53849.48,6590.53,11461
"NUWAKOT",44,21567.74,21068.61,500.13,2121
"OKHALDHUNDA",2,2112.2,2091.5,20.7,67
"PALPA",7,1681.44,1513.7,167.74,586
"PANCHATHAR",9,5957.14,5850.69,106.45,2743
"PARBAT",5,3769.55,3720.64,48.91,383
"PARSA",164,19679.65,12225.62,7924.53,15019
"PYUTHAN",3,540,518,22,232
"RAMECHHAP",12,21435.74,20584.42,851.32,750
"RASUWA",17,39877.03,37466.59,2410.45,2220
"RAUTAHAT",9,1383.23,1154.83,228.4,1150
"ROLPA",3,1022.79,971.86,50.94,4066
"RUKUM",2,400,355,45,216
"RUPANDEHI",203,37757.26,30213.81,7543.46,19576
"SALYAN",1,6200,6000,200,273
"SANKHUWASABHA",16,100954.39,99275.28,1679.11,1695
"SAPTARI",12,770.99,617.27,153.72,1139
"SARLAHI",18,4913.27,4233.42,679.86,3096
"SINDHULI",2,203.84,194.85,8.99,195
"SINDHUPALCHOWK",45,48887.27,47491.63,1395.65,3538
"SIRAHA",9,3202.39,2711.92,490.47,1293
"SOLUKHUMBU",38,41030.51,39153.99,1876.52,3772
"SUNSARI",133,14120.94,10808.55,3312.38,14724
"SURKHET",11,2327.46,2020.38,307.08,872
"SYANGJA",5,454.07,324.94,129.14,523
"TANAHU",20,43059.34,42762.66,296.68,2377
"TAPLEJUNG",11,23624.72,23436.87,187.86,467
"TEHRATHUM",5,2575,2551.15,23.85,195
"UDAYPUR",5,5853.71,5296.6,557.11,764
"TOTAL",7031,1330109,1175841,154896,548105
