"DISTRICT","NO. OF INDUSTRY","TOTAL CAPITAL (In Million Rupees)","FIXED CAPITAL (In Million Rupees)","WORKING CAPITAL (In Million Rupees)","EMPLOYMENT (In Number)"
NA,1,34.2,32.2,2,4
"BAGLUNG",1,1296.55,1286.04,10.51,52
"BAITADI",1,9.5,5.5,4,40
"BAJHANG",1,150,145,5,80
"BANKE",4,565,530.25,34.76,142
"BARA",9,3002.1,2112.43,889.67,970
"BARDIYA",1,112,107,5,35
"BHAKTAPUR",10,1877.9,1751,126.9,735
"BHOJPUR",3,4735.17,4632.57,102.6,173
"CHITWAN",17,2570.33,2151.12,419.21,972
"DAILEKH",1,771.15,764.3,6.85,100
"DANG",3,9553.39,8151.78,1401.61,597
"DARCHULA",1,1440,1429.5,10.5,52
"DHADING",5,891.2,705.4,185.8,353
"DHANKUTA",1,49,44,5,32
"DHANUSHA",4,2956.6,2276.56,680.05,614
"GORKHA",2,837.16,824.24,12.93,45
"ILAM",2,2691.64,2658.5,33.14,70
"JAJARKOT",2,150,133,17,90
"JHAPA",12,2706.3,2244.4,461.9,770
"KAILALI",4,158.7,126.5,32.2,191
"KALIKOT",1,42106.6,41400,706.6,80
"KANCHANPUR",1,59.1,50,9.1,50
"KAPILBASTU",6,5598.85,3754.1,1844.74,1064
"KASKI",34,456.5,365.96,90.54,803
"KATHMANDU",216,16149.6,13605.3,2544.26,7901
"KAVRE",10,3276.86,2583.49,693.37,642
"LALITPUR",65,9119.03,6979.19,2139.84,3222
"LAMJUNG",4,10584.8,10367.3,217.51,185
"MAHOTTARI",1,150,122.8,27.2,56
"MAKWANPUR",4,296.6,261.32,35.28,115
"MORANG",11,6335.59,5087.76,1247.83,615
"MUSTANG",1,49,46.5,2.5,22
"NAWALPARASI",14,1780.7,1360.9,419.8,879
"NUWAKOT",3,529,453.2,75.8,263
"OKHALDHUNDA",1,898.2,891.5,6.7,17
"PARBAT",2,3048.14,3010.23,37.91,84
"PARSA",12,5238.96,3416.3,1822.66,1048
"PYUTHAN",1,450,440,10,32
"RAMECHHAP",1,40,39,1,15
"RASUWA",1,1667.22,1657.2,10.02,52
"RUPANDEHI",15,2244.26,1903.8,340.46,662
"SANKHUWASABHA",1,195,192,3,9
"SARLAHI",1,1367.5,1280,87.5,471
"SINDHUPALCHOWK",1,30,28.2,1.8,17
"SOLUKHUMBU",3,12120,11320,800,855
"SUNSARI",7,1876.3,1539.73,336.58,831
"SURKHET",3,132,116.38,15.63,85
"SYANGJA",1,47.75,43.75,4,25
"TANAHU",2,546.5,480,66.5,261
"TOTAL",508,162952,144907,18044,26478
