COUNTRY NAME,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
AUSTRALIA,6.00,35.00,26.60,8.40,25.60,136.00
AUSTRIA,1.00,3.50,2.00,1.50,3.50,8.00
BANGLADESH,8.00,85.00,57.90,27.10,80.00,210.00
BELGIUM,5.00,60.00,48.50,11.50,45.00,95.00
BRAZIL,1.00,20.00,17.50,2.50,10.00,41.00
BRITISH VIRGIN ISLANDS,2.00,97.00,86.44,10.56,97.00,126.00
CANADA,5.00,50.34,30.00,20.34,45.34,73.00
CHINA (MAINLAND),183.00,6743.51,5585.74,1157.77,6246.75,5487.00
CHINA (HONG KONG),1.00,2000.00,1960.00,40.00,2000.00,133.00
CHINA (TAIWAN),2.00,110.00,98.00,12.00,110.00,35.00
CYPRUS,1.00,500.00,450.00,50.00,500.00,100.00
DENMARK,1.00,5.00,3.50,1.50,5.00,27.00
FRANCE,8.00,109.60,92.80,16.80,100.31,187.00
GERMANY,6.00,62.00,50.93,11.07,44.00,121.00
INDIA,41.00,2434.40,1770.45,663.95,2082.89,1622.00
ISRAEL,3.00,35.00,25.70,9.30,35.00,53.00
ITALY,2.00,30.00,25.00,5.00,14.80,48.00
JAPAN,13.00,187.20,160.65,26.55,170.14,359.00
MALAYSIA,2.00,50.00,44.00,6.00,50.00,41.00
MEXICO,1.00,10.00,7.50,2.50,10.00,25.00
NETHERLANDS ANTILLES,1.00,94.60,69.00,25.60,31.50,41.00
NEW ZEALAND,2.00,20.56,13.40,7.16,15.00,62.00
NIGERIA,1.00,16.50,12.80,3.70,13.15,1.00
PAKISTAN,1.00,15.00,9.10,5.90,15.00,64.00
PHILIPPINES,1.00,5.00,4.20,0.80,5.00,13.00
ROMANIA,1.00,20.00,17.00,3.00,20.00,27.00
RUSSIA,3.00,270.00,180.45,89.55,265.00,92.00
SAMOA,1.00,5.00,4.00,1.00,5.00,18.00
SAUDI ARABIA,1.00,10.00,7.40,2.60,5.00,18.00
SINGAPORE,4.00,115.00,107.30,7.70,51.00,95.00
SOUTH KOREA,15.00,2402.00,231.97,2170.03,1885.04,567.00
SPAIN,4.00,42.00,32.10,9.90,35.02,51.00
SRI LANKA,1.00,10.00,8.00,2.00,10.00,60.00
SWAZILAND,1.00,6.00,4.80,1.20,6.00,14.00
SWEDEN,1.00,20.00,16.70,3.30,20.00,440.00
SWITZERLAND,7.00,130.10,116.00,14.10,66.46,122.00
THAILAND,1.00,5.00,4.00,1.00,5.00,15.00
THE NETHERLANDS,9.00,173.46,147.20,26.26,132.12,229.00
TURKEY,2.00,35.00,27.20,7.80,20.30,45.00
UK,9.00,311.50,276.60,34.90,204.35,235.00
UKRAINE,2.00,45.00,37.90,7.10,45.00,59.00
UNITED ARAB EMIRATES,1.00,240.00,156.00,84.00,240.00,37.00
USA,39.00,399.24,315.34,83.90,352.76,979.00
UZBEKISTAN,1.00,30.00,26.80,3.20,30.00,29.00
TOTAL,401.00,17048.00,12368.00,4680.00,15153.00,12240.00
