Name of Industries,Exported material,Recommended amount
Annapurna Vegetable Production Pvt. Ltd Bara,By product - Acid Oil,400 MT
Prestige Mat Industries Bara,PVC Mat/Plastic Mat,400000 Sq.mtrs
Reliance Sugar And Chemical Industries  Pvt. Ltd Bara,Molasses,5000 MT
Jagadamba Enterprises Pvt. Ldt Parsa,M S Scrap,1000 MT
Rijan And Sijan Pasmina udhog Bhaktapur,Wool/Pashmina shawl muffler sweater etc.,5000 Pcs
Nandan Ghee And Oil industries Pvt. Ltd Bara,Acid Oil/ Fatty acid,300 MT
Maruti Papers And Chemical industries Pvt. Ltd Parsa,Kraft Paper,500 MT
Navin Polymers Udhog Bara,Pet Preform,300 MT
Surya Kattha Udhog Pvt. Ltd Sunsari,Kattha(Biscuit),Cutch-200 MT-300 MT
Mount  Rojin And Terperntine Industries Pvt. Ltd Parsa,Rosin & Turpentine,600 MT-125 MT
Saugat  Polymers Industries Morang,Water Tank Cover,200 MT
Global  Bio Energy  Pvt. Ltd Sunsari,Carbon Black,200 MT
Mahalaxmi Solvent And Refinery Pvt. Ltd Bara,Crude Soyabean Oil (Edible grade),1000 MTS
Pasupati  Kattha Mills Bara,Kattha (Biscuit), Cutch 150 MT-150 MT
Mount  Everest Kattha Mills Rupandehi,Kattha (Biscuit) ,Cutch 225 MT-540 MT
Natural fiber Pvt. Ltd Kathmandu,Readymade garments,10000 pcs
Prashanta Handicraft Lalitpur,Metal Statutes,1000 pcs
Probiotech Industries Pvt. Ltd Parsa,Crude Oil (Soya Mustard & Rice bran oil),Inspection
Jagadamba Enterprises Pvt. Ltd Parsa,By Products- (Zinc Dross Zinc Ash & Zinc Blowing), M S Scrap 100 MT 800 MT
Khanal Rojin And Turpentine Industries Pvt.Ltd. Bake,Rosin & Turpentine,400 MT 100 MT
Annapurna Vegetable Production Pvt. Ltd Bara,Acid Oil,200 MT
Ganga  Rojin And Turpentine Industries Pvt. Ltd.Banke,Rosin & Turpentine,1500 MT
Gobinda Oil Industries Rupandehi,Linseed oil Linseed oil cake,20 MT-37.50 MT
Kiran Shooes Manufactures Kathmandu,Sport Shoes,3000000 Pairs
Advanced Nutritionâ €™s Pvt. Ltd Bara,Feed Premix,2000 MT
Closure system Internationals Nepal Pvt. Ltd Makawanpur,Plastic Closures (P28Xtralokmini P28 Doublelok&P28Xtralok mini bulk pack),250 Million Pcs
Prestige Loop Mat Industries Pvt. Ltd Bara,PlasticMats/PVCloop Mat/door mat/car mat,300000 sq.mtrs
L Box Industries Parsa,Aluminum Container,100 MT
Smart  Food And Snakes Pvt. Ltd Chitawan,Instant Noodle,500 MT
Ganapati  Kattha And Elapid  Industries Pvt. Ltd Banke,Kattha (Biscuit), Cutchh 100 MT 200 MT
Capital Foods Pvt. Ltd  Kapilvastu,Noodles,1000 MT
Aarati  Strips Pvt. Ltd Morang,GC/GP Sheets-GP Sheet in roll form GI RidgeColor-GC/GP Sheets Color Sheet in roll form,10000 MT-3000 MT- 3000MT-10000 MT- 5000 MT
Tamrakar Utensil Industries Parsa,Aluminium Utensil,500 MT
Siddi Binayak Snacks And Noodles Pvt.Ltd.Nawalparasi,Noodles,1000 MT
Yasoda  Foods Pvt. Ltd. Rupandehi ,Noodles-Extruded snacks,2000 MT-200 MT
Khanal Rojin And Turpentine Industries Pvt.Ltd. Bake,Rosin & Turpentine,800 MT-100 KL
Annapurna Carpet Industries Pvt. Ltd Kathmandu,Wool/silk/hemp Carpet,2000 Sq.Mtrs
Jagada mba Enterprises Pvt. Ltd Parsa,By Products- Zinc Dross Zinc Ash & Zinc Blowing,100 MT
Dabur Nepal Pvt. Ltd Bara,Varieties of Fruit Juices,80000 KL
Shiva Lead And Battery Udhyog Rautahat,Lead Ingot,500 MT
Hitex Carpet Pvt. Ltd. Morang,Carpet,250000 Sq.ft.
Everest Med Pvt. Ltd   Bhaktapur,HypodermicDisposable Syringe/ Needle,30000000 (3 Crores)
Tiya Textile Lalitpur, Woolen Shawl, 25000 Pcs
Shiva Kattha Udhyog Pvt.Ltd Banke,Kattha (Biscuit) Cutch,100 MT
N.S. Export Pvt. Ltd Bhaktapur,ReadymadeGarments (Jackets pants),150000 Pcs
Surya  Kattha Udhog Pvt. Ltd Sunsari,Kattha(Biscuit) Cutch,100 MT-150 MT
Triveni Synthetic Pvt. Ltd. Bara,HDPE/PP woven fabric/sacks,1500 MT
Pasupati Koot Udhog Bara,Paper board (Koot),500 MT
Narayani Micro Pipe Udhyog Pvt.Ltd Bara,HDPE pipe,200 MT
Shiva Shakti Ghee Udhog Pvt.Ltd Bara,Acid Oil (By product),300 MT
Aadarsha polyplastic Pvt.Ltd Bara,PP woven sacks,500  MT
Triveni Spinning Mills  Pvt. Ltd. Bara,Polyester Viscose Yarn,1000 MT
Manakamana Rojin And Chemical Udhyog Pvt.Ltd Banke,Rosin & Turpentine,750 MT-150 MT
