District,No. Of Projects,Proposed Total Project Cost (In Million Rupees),Proposed Total Fixed Cost (In Million Rupees),Proposed Total Working Capital (In Million Rupees),Proposed Total Amount Of Foreign Investment (In Million Rupees),Proposed Employment (In Number)
Baglung,1.00,10.00,8.80,1.20,10.00,23.00
Banke,2.00,153.00,52.00,101.00,153.00,70.00
Bara,2.00,420.00,325.00,95.00,243.60,80.00
Bardiya,5.00,40.20,36.50,3.70,27.20,132.00
Bhaktapur,10.00,480.12,426.40,53.72,467.12,350.00
Chitwan,9.00,179.50,144.58,34.93,172.50,188.00
Dang,1.00,20.00,11.50,8.50,20.00,275.00
Dhading,3.00,60.00,44.23,15.77,35.30,215.00
Dhanusha,1.00,20.00,12.20,7.80,10.00,64.00
Gorkha,1.00,15.00,13.00,2.00,10.00,20.00
Ilam,1.00,99.35,49.35,50.00,99.35,31.00
Jhapa,2.00,559.00,513.10,45.90,100.00,110.00
Kanchanpur,1.00,100.00,51.40,48.60,90.00,50.00
Kapilbastu,1.00,20.00,15.00,5.00,10.00,40.00
Kaski,24.00,418.92,372.81,46.11,365.73,549.00
Kathmandu,226.00,5551.05,4423.68,1127.37,4862.76,5971.00
Kavre,7.00,895.00,763.00,132.00,895.00,285.00
Lalitpur,54.00,1173.50,928.60,244.90,1082.03,1504.00
Lamjung,2.00,8.00,5.40,2.60,8.00,31.00
Makwanpur,6.00,2145.63,2038.58,107.05,2145.63,367.00
Manang,1.00,1900.00,1880.00,20.00,1520.00,263.00
Morang,3.00,295.00,222.95,72.05,201.40,324.00
Nawalparasi,7.00,4696.65,4034.19,662.46,3916.65,809.00
Nuwakot,4.00,114.00,88.90,25.10,81.00,252.00
Panchathar,1.00,10.00,7.05,2.95,10.00,78.00
Parsa,6.00,315.25,215.80,99.45,127.61,227.00
Rasuwa,4.00,37439.22,37202.20,237.02,34957.85,385.00
Rupandehi,8.00,377.72,195.39,182.32,315.66,691.00
Sankhuwasabha,1.00,10.00,7.50,2.50,10.00,25.00
Solukhumbu,1.00,2000.00,1500.00,500.00,2000.00,400.00
Sunsari,1.00,3.00,2.00,1.00,3.00,10.00
Tanahu,1.00,1780.00,1518.00,262.00,1780.00,80.00
Total,397.00,61309.11,57109.11,4200.00,55730.38,13899.00
