District,No. Of Projects,Proposed Total Project Cost (In Million Rupees),Proposed Total Fixed Cost (In Million Rupees),Proposed Total Working Capital (In Million Rupees),Proposed Total Amount Of Foreign Investment (In Million Rupees)
Achham,4.00,571.18,550.68,418.18,411.00
Arghakhachi,2.00,1342.09,199.27,449.60,331.00
Baglung,3.00,513.94,262.30,513.94,322.00
Baitadi,7.00,115.50,97.80,100.50,485.00
Bajhang,1.00,15.00,12.30,12.00,70.00
Banke,32.00,3680.00,3224.13,836.20,2163.00
Bara,58.00,9919.55,7654.58,4100.72,5411.00
Bardiya,17.00,252.74,205.16,207.00,641.00
Bhaktapur,85.00,5989.30,4976.62,4386.64,5700.00
Bhojpur,1.00,14.30,11.20,5.01,24.00
Chitwan,87.00,5660.29,4515.06,2179.92,9306.00
Dadeldhura,3.00,33.00,26.50,19.50,75.00
Dang,20.00,5016.40,4674.00,528.90,2164.00
Darchula,2.00,40.40,36.20,7.42,117.00
Dhading,23.00,2820.89,2677.83,2522.30,1671.00
Dhankuta,1.00,46.62,37.62,0.00,120.00
Dhanusha,5.00,316.04,265.17,180.52,368.00
Dolkha,9.00,6655.20,6121.93,1937.43,420.00
Doti,1.00,10.00,7.20,10.00,33.00
Gorkha,10.00,775.09,709.62,137.02,894.00
Humla,7.00,61.00,52.30,36.74,134.00
Ilam,8.00,1725.27,1617.25,989.24,484.00
Jajarkot,3.00,660.00,626.00,660.00,360.00
Jhapa,23.00,2748.14,2224.50,1348.16,3762.00
Jumla,1.00,10.00,8.00,10.00,29.00
Kailali,14.00,1103.24,1003.61,344.25,1372.00
Kalikot,1.00,42106.60,41400.00,33685.28,80.00
Kanchanpur,23.00,1009.77,855.21,352.40,1935.00
Kapilbastu,10.00,441.71,221.42,317.81,340.00
Kaski,313.00,27593.48,25861.96,12061.39,10300.00
Kathmandu,2458.00,114525.61,89194.47,67056.94,110081.00
Kavre,89.00,5772.89,4839.75,4394.87,6631.00
Khotang,1.00,7.00,5.15,5.04,45.00
Lalitpur,698.00,28329.36,17279.78,23239.87,29473.00
Lamjung,10.00,2337.93,2281.10,537.35,636.00
Mahottari,1.00,3.44,2.57,3.44,9.00
Makwanpur,76.00,10502.71,8478.87,5785.09,5798.00
Manang,4.00,2890.00,2847.75,1770.01,1187.00
Morang,38.00,4458.87,3353.81,2397.24,5750.00
Mugu,1.00,8.60,6.00,8.60,18.00
Mustang,5.00,852.65,829.74,316.85,188.00
Myagdi,3.00,39015.00,38707.80,24335.00,904.00
Nawalparasi,43.00,13315.50,11547.75,5877.76,4699.00
Nuwakot,26.00,2617.34,2419.56,464.94,1508.00
Okhaldhunda,2.00,300.00,286.15,66.50,127.00
Palpa,4.00,342.94,193.35,317.84,270.00
Panchathar,1.00,10.00,7.05,10.00,78.00
Parbat,1.00,1100.00,1089.00,1.50,2614.00
Parsa,59.00,4206.53,2921.12,2648.32,6529.00
Pyuthan,2.00,90.00,78.00,90.00,200.00
Ramechhap,2.00,331.34,276.89,302.21,215.00
Rasuwa,13.00,47861.62,46504.48,40020.28,700.00
Rautahat,2.00,569.18,515.78,54.06,639.00
Rolpa,3.00,32.22,28.31,29.00,156.00
Rupandehi,55.00,10288.95,8691.54,5091.05,4746.00
Sankhuwasabha,2.00,510.00,495.50,510.00,275.00
Saptari,3.00,430.00,394.50,299.40,190.00
Sarlahi,1.00,30.00,26.66,15.00,34.00
Sindhuli,1.00,9.00,7.70,9.00,105.00
Sindhupalchowk,17.00,7256.73,6899.47,1503.08,3208.00
Siraha,5.00,3464.02,3058.89,2113.20,928.00
Solukhumbu,18.00,5824.17,5067.59,3520.63,966.00
Sunsari,30.00,2772.61,2066.17,1665.79,3563.00
Surkhet,6.00,3627.36,2850.58,2217.17,395.00
Tanahu,8.00,1973.02,1670.50,1921.50,506.00
Taplejung,2.00,12.10,10.14,11.90,44.00
Total,4477.00,436925.38,375068.85,266968.48,242937.00
