District,No. Of Industry,Proposed Total Capital (In Million Rupees),Proposed Fixed Capital (In Million Rupees),Proposed Working Capital (In Million Rupees),Proposed Employment (In Number)
Baglung,4.00,1671.18,1546.03,125.15,153.00
Baitadi,1.00,144.48,132.18,12.30,26.00
Bajura,1.00,958.27,896.34,61.93,14.00
Banke,7.00,5268.00,2736.00,2532.00,782.00
Bara,7.00,665.27,431.77,233.50,222.00
Bardiya,3.00,25.20,20.90,4.30,67.00
Bhaktapur,9.00,2348.12,2254.06,94.06,480.00
Chitwan,15.00,3267.35,2873.10,394.25,757.00
Dang,3.00,10562.61,8547.23,2015.38,732.00
Dhading,2.00,14832.00,13348.40,1483.60,328.00
Dhanusha,3.00,1300.27,835.52,464.75,428.00
Dolkha,4.00,2770.85,2650.91,119.94,288.00
Gorkha,1.00,15.00,13.00,2.00,20.00
Gulmi,1.00,239.06,236.06,3.00,10.00
Ilam,2.00,2677.21,2650.21,27.00,130.00
Jajarkot,1.00,946.38,934.38,12.00,48.00
Jhapa,4.00,575.40,405.40,170.00,393.00
Kailali,1.00,30.00,20.50,9.50,60.00
Kalikot,1.00,48829.60,48629.60,200.00,140.00
Kapilbastu,7.00,4012.57,3004.27,1008.30,828.00
Kaski,30.00,9118.85,8948.69,170.17,963.00
Kathmandu,220.00,22462.61,20763.54,1699.07,7457.00
Kavre,10.00,878.00,736.70,141.30,702.00
Khotang,2.00,1402.00,1373.15,28.85,136.00
Lalitpur,53.00,5189.22,4638.90,550.32,2118.00
Lamjung,6.00,6124.06,6060.35,63.71,236.00
Mahottari,2.00,1134.75,1006.44,128.31,235.00
Makwanpur,5.00,2420.09,2331.50,88.59,427.00
Manang,1.00,1900.00,1880.00,20.00,263.00
Morang,9.00,3328.79,2418.22,910.57,1134.00
Mustang,1.00,19680.10,19581.00,99.10,70.00
Myagdi,2.00,10315.69,10249.29,66.40,113.00
Nawalparasi,13.00,9102.68,7445.01,1657.67,1511.00
Nuwakot,5.00,530.99,497.73,33.26,302.00
Palpa,2.00,323.62,254.39,69.24,58.00
Panchathar,2.00,950.26,937.31,12.95,115.00
Parsa,8.00,2538.75,1891.95,646.80,632.00
Ramechhap,1.00,8646.61,8603.14,43.47,263.00
Rasuwa,3.00,22955.00,22818.00,137.00,127.00
Rautahat,1.00,247.50,182.50,65.00,273.00
Rupandehi,17.00,4058.33,3333.56,724.77,1350.00
Sankhuwasabha,3.00,10934.91,10896.69,38.22,138.00
Sindhupalchowk,4.00,534.64,515.72,18.93,100.00
Siraha,2.00,13792.20,12907.10,885.10,496.00
Solukhumbu,4.00,7597.96,6963.00,634.96,652.00
Sunsari,8.00,1767.40,1326.89,440.51,978.00
Syangja,1.00,2798.81,600.00,2198.81,300.00
Taplejung,4.00,78716.22,77934.62,781.60,284.00
Total,496.00,350588.84,329261.22,21327.63,27339.00
