District,No. Of Industry,Proposed Total Capital (In Million Rupees),Proposed Fixed Capital (In Million Rupees),Proposed Working Capital (In Million Rupees),Proposed Employment (In Number)
Achham,4.00,1071.57,1050.17,21.40,257.00
Arghakhachi,3.00,4558.08,4328.58,229.49,353.00
Baglung,13.00,6248.85,6080.73,168.12,531.00
Baitadi,8.00,249.98,219.48,30.50,512.00
Bajhang,5.00,933.30,903.80,29.50,365.00
Bajura,2.00,998.17,927.97,70.20,43.00
Banke,83.00,15131.60,10959.52,4172.07,7423.00
Bara,230.00,36298.63,24118.38,12180.25,23598.00
Bardiya,20.00,765.13,662.83,102.30,780.00
Bhaktapur,170.00,13894.72,12049.96,1844.76,15820.00
Bhojpur,10.00,9088.28,7941.71,1146.57,847.00
Chitwan,208.00,25050.48,20096.24,4954.25,13029.00
Dadeldhura,5.00,142.19,129.95,12.24,130.00
Dailekh,5.00,2302.90,2273.55,29.35,244.00
Dang,41.00,31555.34,27009.80,4547.64,5876.00
Darchula,7.00,3557.18,3498.77,58.40,413.00
Dhading,58.00,38547.25,35745.44,2801.80,4012.00
Dhankuta,18.00,2289.44,1958.83,340.61,2791.00
Dhanusha,40.00,8211.60,6480.66,1730.94,3912.00
Dolkha,37.00,87028.11,86343.25,684.86,6388.00
Dolpa,1.00,4.72,3.91,0.81,21.00
Doti,6.00,13400.00,13280.70,119.30,220.00
Gorkha,27.00,4729.22,4598.63,130.59,1655.00
Gulmi,6.00,2059.83,1983.43,76.40,119.00
Humla,5.00,46.00,38.70,7.30,105.00
Ilam,42.00,18419.21,17027.41,1391.80,6265.00
Jajarkot,6.00,1216.38,1156.38,60.00,273.00
Jhapa,119.00,11953.58,9822.65,2130.93,16047.00
Kailali,41.00,3341.38,1993.93,1347.45,3517.00
Kalikot,6.00,98214.20,97070.69,1143.51,534.00
Kanchanpur,29.00,2739.87,2153.99,585.87,3806.00
Kapilbastu,44.00,15252.24,11199.42,4052.82,5289.00
Kaski,397.00,56390.32,52446.48,3935.94,17615.00
Kathmandu,3372.00,214359.73,165829.83,48574.60,232325.00
Kavre,159.00,11155.73,8894.50,2261.23,12520.00
Khotang,6.00,2786.68,2727.62,59.06,301.00
Lalitpur,848.00,51179.57,36792.13,14495.44,46432.00
Lamjung,36.00,51632.83,50349.01,1283.81,2378.00
Mahottari,8.00,2325.75,2002.20,323.55,1141.00
Makwanpur,112.00,21023.38,17425.93,3597.46,10059.00
Manang,2.00,2800.00,2765.00,35.00,519.00
Morang,253.00,31013.15,22781.64,8231.51,21767.00
Mugu,2.00,50.97,45.11,5.86,68.00
Mustang,9.00,22195.45,22018.89,176.56,494.00
Myagdi,16.00,73211.95,72363.10,848.86,1583.00
Nawalparasi,133.00,69542.69,61294.49,8248.20,12972.00
Nuwakot,49.00,22098.73,21566.33,533.39,2423.00
Okhaldhunda,2.00,2112.20,2091.50,20.70,67.00
Palpa,9.00,2005.06,1768.09,236.98,644.00
Panchathar,11.00,6907.40,6788.00,119.40,2858.00
Parbat,5.00,3769.55,3720.64,48.91,383.00
Parsa,172.00,22218.40,14117.57,8571.33,15651.00
Pyuthan,3.00,540.00,518.00,22.00,232.00
Ramechhap,13.00,30082.35,29187.56,894.78,1013.00
Rasuwa,20.00,62832.03,60284.59,2547.45,2347.00
Rautahat,10.00,1630.73,1337.33,293.40,1423.00
Rolpa,3.00,1022.79,971.86,50.94,4066.00
Rukum,2.00,400.00,355.00,45.00,216.00
Rupandehi,220.00,41815.59,33547.37,8268.23,20926.00
Salyan,1.00,6200.00,6000.00,200.00,273.00
Sankhuwasabha,19.00,111889.30,110171.97,1717.33,1833.00
Saptari,12.00,770.99,617.27,153.72,1139.00
Sarlahi,18.00,4913.27,4233.42,679.86,3096.00
Sindhuli,2.00,203.84,194.85,8.99,195.00
Sindhupalchowk,50.00,49619.31,48199.73,1419.57,3665.00
Siraha,11.00,16994.59,15619.02,1375.57,1789.00
Solukhumbu,42.00,48628.47,46116.99,2511.48,4424.00
Sunsari,141.00,15888.34,12135.45,3752.89,15702.00
Surkhet,11.00,2327.46,2020.38,307.08,872.00
Syangja,6.00,3252.88,924.94,2327.94,823.00
Tanahu,20.00,43059.34,42762.66,296.68,2377.00
Taplejung,15.00,102340.95,101371.49,969.46,751.00
Tehrathum,5.00,2575.00,2551.15,23.85,195.00
Udaypur,5.00,5853.71,5296.60,557.11,764.00
Total,7529.00,1680919.87,1505315.15,176233.12,575496.00
