Country Name,No.Of Projects,Proposed Total Project Cost (In Million Rupees),Proposed Total Fixed Cost (In Million Rupees),Proposed Total Working Capital (In Million Rupees),Proposed Total Amount Of Foreign Investment (In Million Rupees),Proposed Employment (In Number)
Australia,5.00,57.95,40.98,16.98,40.23,175.00
Austria,1.00,7.50,5.50,2.00,7.50,22.00
Azerbaijan,1.00,10.00,6.70,3.30,5.10,18.00
Bangladesh,5.00,83.00,60.90,22.10,78.00,152.00
Belgium,3.00,19.50,15.00,4.50,18.50,60.00
Brazil,1.00,6.00,4.60,1.40,5.20,13.00
Cambodia,1.00,15.00,11.50,3.50,10.00,23.00
Canada,1.00,10.00,9.75,0.25,10.00,10.00
China,160.00,49027.00,47198.03,1828.97,46506.94,6369.00
China (Hong Kong),8.00,1096.20,1017.30,78.91,629.02,332.00
China (Taiwan),2.00,20.00,15.40,4.60,20.00,44.00
Croatia,1.00,10.00,7.80,2.20,5.00,44.00
Czech Republic,1.00,5.00,4.20,0.80,5.00,14.00
Denmark,2.00,30.60,25.00,5.60,30.60,46.00
Egypt,1.00,5.00,4.00,1.00,5.00,12.00
France,11.00,96.30,74.80,21.50,85.20,217.00
Germany,7.00,56.50,42.82,13.68,51.50,151.00
India,53.00,5401.32,3992.10,1409.22,5098.81,2719.00
Israel,3.00,22.50,17.37,5.13,20.00,53.00
Italy,3.00,218.92,211.47,7.46,187.96,59.00
Japan,17.00,650.00,491.12,158.88,433.20,705.00
Lebanon,1.00,5.00,3.40,1.60,5.00,23.00
Malaysia,4.00,115.00,101.70,13.30,111.25,116.00
Mauritius,1.00,40.00,37.00,3.00,40.00,22.00
Mexico,1.00,10.00,7.60,2.40,10.00,29.00
Netherlands Antilles,1.00,6.50,5.00,1.50,6.50,16.00
North Korea,2.00,130.00,115.10,14.90,110.00,85.00
Paraguay,1.00,5.00,4.30,0.70,5.00,16.00
Poland,2.00,10.00,8.00,2.00,10.00,28.00
Russia,2.00,20.00,15.10,4.90,20.00,42.00
Samoa,7.00,45.00,36.10,8.90,45.00,95.00
Singapore,4.00,65.00,54.48,10.52,65.00,162.00
South Africa,1.00,15.00,9.70,5.30,15.00,17.00
South Korea,15.00,350.00,298.30,51.71,330.00,346.00
Spain,2.00,25.00,20.90,4.10,20.00,44.00
Swaziland,1.00,5.00,4.00,1.00,5.00,12.00
Sweden,6.00,63.00,49.50,13.50,58.10,124.00
Syria,1.00,10.00,8.90,1.10,10.00,17.00
The Netherlands,6.00,37.20,29.30,7.90,31.00,89.00
Turkey,1.00,25.00,20.00,5.00,25.00,25.00
UK,12.00,121.00,97.00,24.00,93.16,247.00
Ukraine,1.00,20.00,17.50,2.50,15.00,60.00
United Arab Emirates,2.00,344.00,288.80,55.20,344.00,130.00
USA,35.00,2977.62,2607.60,370.02,1088.62,897.00
Vietnam,1.00,16.50,13.50,3.00,15.00,19.00
Total,397.00,61309.11,57109.11,4200.00,55730.38,13899.00
