District,No.Of Projects,Proposed Total Project Cost (In Million Rupees),Proposed Total Fixed Cost (In Million Rupees),Proposed Total Working Capital (In Million Rupees),Proposed Total Amount Of Foreign Investment (In Million Rupees)
Achham,4.00,571.18,550.68,20.50,418.18
Arghakhachi,2.00,1342.09,199.27,1142.83,449.60
Baglung,3.00,513.94,262.30,251.64,513.94
Baitadi,8.00,121.50,102.00,19.50,104.70
Bajhang,1.00,15.00,12.30,2.70,12.00
Banke,32.00,3680.00,3224.13,451.09,836.20
Bara,69.00,10806.37,8359.05,2265.85,4889.99
Bardiya,17.00,252.74,205.16,47.58,207.00
Bhaktapur,94.00,8196.30,7011.79,1184.51,5532.07
Bhojpur,1.00,14.30,11.20,3.10,5.01
Chitwan,96.00,5892.69,4693.76,1162.67,2395.46
Dadeldhura,3.00,33.00,26.50,6.50,19.50
Dang,20.00,5016.40,4674.00,342.40,528.90
Darchula,3.00,53.20,46.00,7.20,16.38
Dhading,26.00,3100.89,2863.48,237.41,2802.30
Dhankuta,1.00,46.62,37.62,9.00,0.00
Dhanusha,5.00,316.04,265.17,50.87,180.52
Dolkha,9.00,6655.20,6121.93,533.27,1937.43
Doti,1.00,10.00,7.20,2.80,10.00
Gorkha,10.00,775.09,709.62,65.47,137.02
Humla,7.00,61.00,52.30,8.70,36.74
Ilam,8.00,1725.27,1617.25,108.01,989.24
Jajarkot,3.00,660.00,626.00,34.00,660.00
Jhapa,26.00,2998.63,2375.58,623.05,1502.16
Jumla,1.00,10.00,8.00,2.00,10.00
Kailali,17.00,2437.24,1570.71,866.53,1013.26
Kalikot,1.00,42106.60,41400.00,706.60,33685.28
Kanchanpur,23.00,1009.77,855.21,154.56,352.40
Kapilbastu,11.00,689.21,381.42,243.09,323.31
Kaski,337.00,28498.98,26657.08,1682.24,12790.61
Kathmandu,2658.00,124915.12,97567.56,27077.50,76626.32
Kavre,95.00,6087.89,5093.15,998.64,4689.87
Khotang,1.00,7.00,5.15,1.85,5.04
Lalitpur,754.00,33768.28,21968.62,11786.64,28068.17
Lamjung,12.00,2547.93,2451.10,96.83,742.35
Mahottari,1.00,3.44,2.57,0.87,3.44
Makwanpur,78.00,10627.71,8579.87,1838.10,5896.34
Manang,4.00,2890.00,2847.75,42.25,1770.01
Morang,40.00,4708.87,3506.81,1185.63,2647.24
Mugu,1.00,8.60,6.00,2.60,8.60
Mustang,5.00,852.65,829.74,22.91,316.85
Myagdi,4.00,39020.00,38711.00,309.00,24340.00
Nawalparasi,43.00,13315.50,11547.75,1719.96,5877.76
Nuwakot,29.00,2672.34,2458.46,212.80,519.94
Okhaldhunga,2.00,300.00,286.15,13.85,66.50
Palpa,4.00,342.94,193.35,149.59,317.84
Panchathar,1.00,10.00,7.05,2.95,10.00
Parasi,1.00,130.00,104.75,25.25,130.00
Parbat,1.00,1100.00,1089.00,11.00,1.50
Parsa,65.00,5676.53,4159.12,1499.21,4118.32
Pyuthan,2.00,90.00,78.00,12.00,90.00
Ramechhap,2.00,331.34,276.89,54.45,302.21
Rasuwa,13.00,47861.62,46504.48,1342.14,40020.28
Rautahat,2.00,569.18,515.78,50.02,54.06
Rolpa,3.00,32.22,28.31,3.91,29.00
Rupandehl,58.00,10616.95,8928.95,1515.11,5399.05
Sankhuwasabha,3.00,520.00,502.50,17.50,520.00
Saptari,3.00,430.00,394.50,35.50,299.40
Sarlahi,1.00,30.00,26.66,3.34,15.00
Sindhuli,1.00,9.00,7.70,1.30,9.00
Sindhupalchowk,19.00,8336.53,7449.27,887.26,2550.16
Siraha,6.00,6042.84,5037.72,1005.01,4114.37
Solukhumbu,18.00,5824.17,5067.59,685.40,3520.63
Sunsari,35.00,2817.81,2096.87,720.94,1699.49
Surkhet,7.00,3632.36,2854.08,778.28,2222.17
Tanahu,9.00,2223.02,1800.50,422.52,2171.50
Taplejung,2.00,12.10,10.14,1.96,11.90
Total,4822.00,465973.14,397921.55,66769.72,291543.48
