Country Name,No.Of Projects,Proposed Total Project Cost (In Million Rupees),Proposed Total Fixed Cost (In Million Rupees),Proposed Total Working Capital (In Million Rupees),Proposed Total Amount Of Foreign Investment (In Million Rupees),Proposed Employment (In Number)
Afghanistan,2.00,5.00,4.00,1.00,5.00,45.00
Argentina,2.00,18.01,16.10,1.91,18.01,51.00
Australia,72.00,902.16,758.90,142.17,722.91,1916.00
Austria,21.00,245.67,189.77,39.47,118.47,694.00
Azerbaijan,5.00,50.90,34.30,16.60,46.00,208.00
Bahrain,2.00,101.31,41.89,59.43,85.66,62.00
Bangladesh,72.00,1064.60,690.90,355.55,817.93,5754.00
Belarus,1.00,5.00,4.10,0.90,5.00,15.00
Belgium,25.00,305.87,257.30,48.57,243.74,745.00
Bermuda,6.00,1995.25,1694.03,214.09,118.27,1474.00
Bhutan,4.00,32.26,23.08,6.95,8.61,123.00
Brazil,9.00,592.07,554.98,37.09,561.03,644.00
British Virgin Islands,16.00,16303.28,13719.33,2583.95,8064.28,2180.00
Burma (Myanmar),4.00,1200.00,1043.00,157.00,1200.00,350.00
Cambodia,2.00,20.00,13.98,6.02,15.00,37.00
Canada,46.00,7348.22,7091.73,256.20,2836.59,2408.00
Chad,1.00,2.50,1.86,0.64,2.50,18.00
Chile,1.00,30.00,26.80,3.20,30.00,29.00
China,1490.00,124839.58,110156.97,14666.04,94677.13,67349.00
China (Hong Kong),43.00,37987.11,33318.68,4662.77,28121.60,5106.00
China (Taiwan),23.00,806.05,676.65,129.40,564.62,939.00
Colombia,3.00,49.08,40.90,8.18,23.70,48.00
Cook Islands,1.00,833.32,828.00,5.32,666.66,35.00
Croatia,2.00,12.50,9.90,2.60,7.50,59.00
Cyprus,4.00,1515.50,1436.50,79.00,812.50,375.00
Czech Republic,3.00,19.50,16.40,3.10,13.89,51.00
Denmark,37.00,1235.79,1081.66,154.13,432.13,1551.00
Ecuador,1.00,2.50,1.30,1.20,2.50,45.00
Egypt,4.00,27.10,20.20,6.90,19.10,131.00
Eritrea,1.00,2.50,1.50,0.70,2.50,15.00
Finland,10.00,432.91,416.50,16.41,335.88,260.00
France,105.00,1193.10,980.52,199.20,781.95,3531.00
Germany,115.00,2932.93,2603.33,319.03,1441.72,4848.00
Ghana,1.00,6.50,6.18,0.33,1.95,10.00
Greece,1.00,5.00,4.30,0.70,5.00,15.00
Guatemala,1.00,10.00,5.00,5.00,2.50,84.00
Hungary,1.00,10.00,8.90,1.10,5.00,29.00
India,781.00,146897.15,125521.20,22723.70,94111.04,72673.00
Indonesia,1.00,35.00,31.80,3.20,35.00,29.00
Iran,12.00,74.70,55.85,18.85,68.20,273.00
Ireland,9.00,758.90,707.20,51.70,370.97,429.00
Israel,22.00,811.70,672.22,139.48,237.75,642.00
Italy,39.00,1858.73,1679.08,85.95,637.36,1061.00
Japan,272.00,7566.63,6558.95,941.14,3076.21,10258.00
Jordan,1.00,30.00,26.80,3.20,12.00,29.00
Kazakhstan,4.00,20.40,16.03,4.37,20.40,87.00
Kyrgystan,4.00,36.50,32.05,4.45,22.50,175.00
Lebanon,4.00,37.00,31.40,5.60,37.00,97.00
Libya,1.00,5.00,2.80,2.20,5.00,80.00
Lithuania,1.00,5.00,4.00,1.00,5.00,38.00
Malaysia,44.00,1377.74,1213.12,164.62,915.53,1373.00
Mauritius,11.00,4118.00,3941.27,176.73,3434.70,1055.00
Mexico,6.00,53.73,45.15,8.58,51.13,138.00
Nepal,1.00,20.00,17.50,2.50,6.00,20.00
Netherlands Antilles,3.00,126.10,94.00,32.10,48.00,137.00
New Zealand,23.00,503.09,406.41,96.38,147.27,2345.00
Nigeria,1.00,16.50,12.80,3.70,13.15,1.00
North Korea,8.00,234.82,205.40,29.42,182.55,319.00
Norway,16.00,8146.09,6790.60,1350.95,1165.33,845.00
Pakistan,26.00,2303.04,1986.43,315.72,269.82,2828.00
Panama,1.00,83.28,65.17,18.11,24.98,121.00
Paraguay,1.00,5.00,4.30,0.70,5.00,16.00
Philippines,18.00,1232.12,1051.88,180.23,148.28,1824.00
Poland,10.00,168.22,152.55,15.67,85.39,242.00
Portugal,1.00,2.50,2.00,0.50,2.50,23.00
Qatar,3.00,820.00,467.10,352.90,396.70,144.00
Republic Of The Congo,1.00,2.50,2.10,0.40,2.50,28.00
Romania,2.00,35.00,26.90,8.10,35.00,39.00
Russia,42.00,886.86,665.89,220.97,694.34,1464.00
Samoa,11.00,150.00,127.10,22.90,150.00,218.00
Saudi Arabia,1.00,10.00,7.40,2.60,5.00,18.00
Seychelles,1.00,7600.00,7372.00,228.00,684.00,100.00
Singapore,51.00,10281.82,9351.63,915.19,4517.39,3528.00
Slovakia,1.00,5.00,4.00,1.00,5.00,21.00
Slovenia,2.00,34.19,29.94,4.25,34.19,45.00
South Africa,10.00,92.30,72.14,20.16,92.30,249.00
South Korea,354.00,17486.61,12447.04,5003.21,12323.75,11819.00
Spain,25.00,2288.52,2172.34,116.18,2020.25,672.00
Sri Lanka,7.00,113.15,84.60,28.56,71.41,208.00
Swaziland,3.00,26.00,21.70,4.30,26.00,26.00
Sweden,19.00,138.40,109.56,28.84,130.70,903.00
Switzerland,60.00,5314.37,5127.80,176.15,2920.01,1575.00
Syria,10.00,68.00,55.70,12.30,66.00,249.00
Tajikistan,2.00,35.00,21.80,13.20,35.00,65.00
Thailand,13.00,1042.37,892.99,139.83,126.29,1189.00
The Netherlands,86.00,2599.98,1610.91,987.01,1630.94,4265.00
Turkey,25.00,1847.70,754.90,1092.81,1870.34,833.00
UK,180.00,9104.27,7245.06,1840.51,5484.83,11032.00
Ukraine,13.00,251.40,219.14,32.27,162.70,377.00
United Arab Emirates,20.00,5427.57,2436.14,2941.42,2984.51,1877.00
USA,413.00,22155.41,19644.57,2260.78,9063.07,18550.00
Uzbekistan,4.00,75.00,63.20,11.80,75.00,132.00
Vietnam,3.00,41.10,36.30,4.80,39.60,74.00
Yemen,2.00,105.00,94.20,10.80,105.00,33.00
Total,4822.00,466707.53,400271.82,67053.84,293706.68,258125.00
