District,No.Of Industry,Proposed Total Capital (In Million Rupees),Proposed Fixed Capital (In Million Rupees),Proposed Working Capital (In Million Rupees),Proposed Employment (In Number)
Arghakhachi,1.00,158.00,150.00,8.00,39.00
Baglung,3.00,1701.77,1650.48,51.30,134.00
Bajhang,1.00,2930.00,2910.00,20.00,40.00
Banke,8.00,3993.07,3685.20,307.86,556.00
Bara,12.00,1895.67,1363.58,532.09,758.00
Bardiya,2.00,630.00,527.70,102.30,221.00
Bhaktapur,6.00,139.00,111.60,27.40,224.00
Bhojpur,2.00,664.15,651.05,13.10,40.00
Chitwan,15.00,1472.40,1119.94,352.46,556.00
Darchula,2.00,7308.43,7259.80,48.63,125.00
Dhading,5.00,15518.86,14537.44,981.42,320.00
Dhanusha,5.00,1609.68,1394.74,214.94,234.00
Dolkha,2.00,3539.19,2891.03,648.16,67.00
Gorkha,5.00,4917.11,4826.51,90.61,216.00
Ilam,2.00,1724.05,1707.93,16.12,78.00
Jhapa,15.00,4631.24,3342.50,1288.74,948.00
Kailali,2.00,1285.00,533.10,751.90,352.00
Kanchanpur,2.00,210.00,151.46,58.54,76.00
Kapilbastu,2.00,10604.70,9530.34,1074.35,630.00
Kaski,25.00,17484.77,17202.11,282.65,783.00
Kathmandu,163.00,59951.49,57998.02,1953.47,5916.00
Kavre,11.00,1663.25,1480.88,182.37,401.00
Lalitpur,47.00,2793.20,2327.38,465.82,1651.00
Lamjung,4.00,433.32,389.88,43.44,159.00
Makwanpur,8.00,1385.27,1149.42,235.85,648.00
Morang,14.00,3967.42,2266.71,1700.71,1044.00
Myagdi,4.00,33796.21,33181.32,614.89,308.00
Nawalparasi,11.00,9455.74,5634.69,3821.05,1370.00
Nuwakot,2.00,10.00,8.20,1.80,22.00
Palpa,1.00,172.01,159.74,12.27,29.00
Panchathar,1.00,1986.80,1979.17,7.64,202.00
Parasi,1.00,130.00,104.75,25.25,40.00
Parsa,8.00,1815.14,1492.77,322.37,806.00
Ramechhap,1.00,10400.00,10265.83,134.17,100.00
Rautahat,2.00,521.24,467.73,53.51,61.00
Rupandehl,10.00,2735.84,2301.96,433.87,493.00
Sankhuwasabha,2.00,23079.17,22857.07,222.11,149.00
Sarlahi,2.00,2374.93,2162.98,211.94,960.00
Sindhupalchowk,2.00,11517.94,11330.60,187.35,147.00
Siraha,1.00,2578.83,1978.83,600.00,587.00
Solukhumbu,4.00,2737.92,2620.64,117.28,145.00
Sunsari,11.00,1726.16,1331.94,394.22,708.00
Surkhet,1.00,5.00,3.50,1.50,15.00
Syangja,1.00,1500.00,1200.00,300.00,250.00
Tanahu,2.00,823.20,808.10,15.10,26.00
Taplejung,5.00,22702.10,22514.46,187.64,327.00
Total,436.00,282679.26,263563.09,19116.16,22961.00
