District,No.Of Industry,Proposed Total Capital (In Million Rupees),Proposed Fixed Capital (In Million Rupees),Proposed Working Capital (In Million Rupees),Proposed Employment (In Number)
Achham,4.00,1071.57,1050.17,21.40,257.00
Arghakhachi,4.00,4716.08,4478.58,237.49,392.00
Baglung,16.00,7950.62,7731.20,219.42,665.00
Baitadi,8.00,249.98,219.48,30.50,512.00
Bajhang,6.00,3863.30,3813.80,49.50,405.00
Bajura,2.00,998.17,927.97,70.20,43.00
Banke,91.00,19124.66,14644.72,4479.94,7979.00
Bara,242.00,38194.29,25481.96,12712.33,24356.00
Bardiya,22.00,1395.13,1190.53,204.60,1001.00
Bhaktapur,176.00,14033.72,12161.56,1872.16,16044.00
Bhojpur,12.00,9752.43,8592.76,1159.67,887.00
Chitwan,223.00,26522.88,21216.18,5306.71,13585.00
Dadeldhura,5.00,142.19,129.95,12.24,130.00
Dailekh,5.00,2302.90,2273.55,29.35,244.00
Dang,41.00,31555.34,27009.80,4547.64,5876.00
Darchula,9.00,10865.61,10758.57,107.03,538.00
Dhading,63.00,54066.11,50282.88,3783.23,4332.00
Dhankuta,18.00,2289.44,1958.83,340.61,2791.00
Dhanusha,45.00,9821.28,7875.40,1945.88,4146.00
Dolkha,39.00,90567.30,89234.28,1333.02,6455.00
Dolpa,1.00,4.72,3.91,0.81,21.00
Doti,6.00,13400.00,13280.70,119.30,220.00
Gorkha,32.00,9646.33,9425.14,221.19,1871.00
Gulmi,6.00,2059.83,1983.43,76.40,119.00
Humla,5.00,46.00,38.70,7.30,105.00
Ilam,44.00,20143.26,18735.35,1407.92,6343.00
Jajarkot,6.00,1216.38,1156.38,60.00,273.00
Jhapa,134.00,16584.82,13165.15,3419.67,16995.00
Kailali,43.00,4626.38,2527.03,2099.35,3869.00
Kalikot,6.00,98214.20,97070.69,1143.51,534.00
Kanchanpur,31.00,2949.87,2305.46,644.41,3882.00
Kapilbastu,46.00,25856.94,20729.76,5127.17,5919.00
Kaski,422.00,73875.09,69648.59,4218.59,18398.00
Kathmandu,3536.00,274329.07,223843.05,50530.72,238263.00
Kavre,170.00,12818.99,10375.39,2443.60,12921.00
Khotang,6.00,2786.68,2727.62,59.06,301.00
Lalitpur,895.00,53972.77,39119.51,14961.25,48083.00
Lamjung,40.00,52066.14,50738.89,1327.25,2537.00
Mahottari,8.00,2325.75,2002.20,323.55,1141.00
Makwanpur,120.00,22408.65,18575.35,3833.31,10707.00
Manang,2.00,2800.00,2765.00,35.00,519.00
Morang,268.00,35106.07,"25, 148.68",9957.39,22832.00
Mugu,2.00,50.97,45.11,5.86,68.00
Mustang,9.00,22195.45,22018.89,176.56,494.00
Myagdi,20.00,107008.16,105544.41,1463.75,1891.00
Nawalparasi,144.00,78998.43,66929.18,12069.24,14342.00
Nuwakot,51.00,22108.73,21574.53,535.19,2445.00
Okhaldhunga,2.00,2112.20,2091.50,20.70,67.00
Palpa,10.00,2177.08,1927.83,249.25,673.00
Panchathar,12.00,8894.20,8767.16,127.04,3060.00
Parasi,1.00,130.00,104.75,25.25,40.00
Parbat,5.00,3769.55,3720.64,48.91,383.00
Parsa,180.00,24033.54,15610.34,8893.70,16457.00
Pyuthan,3.00,540.00,518.00,22.00,232.00
Ramechhap,14.00,40482.35,39453.40,1028.95,1113.00
Rasuwa,20.00,62832.03,60284.59,2547.45,2347.00
Rautahat,12.00,2151.97,1805.06,346.91,1484.00
Rolpa,3.00,1022.79,971.86,50.94,4066.00
Rukum,2.00,400.00,355.00,45.00,216.00
Rupandehl,230.00,44551.43,35849.33,8702.10,21419.00
Salyan,1.00,6200.00,6000.00,200.00,273.00
Sankhuwasabha,21.00,134968.47,133029.04,1939.43,1982.00
Saptari,12.00,770.99,617.27,153.72,1139.00
Sarlahi,20.00,7288.20,6396.40,891.80,4056.00
Sindhuli,2.00,203.84,194.85,8.99,195.00
Sindhupalchowk,52.00,61137.25,59530.33,1606.92,3812.00
Siraha,12.00,19573.42,17597.85,1975.57,2376.00
Solukhumbu,46.00,51366.38,48737.63,2628.76,4569.00
Sunsari,152.00,17614.50,13467.39,4147.11,16410.00
Surkhet,12.00,2332.46,2023.88,308.58,887.00
Syangja,7.00,4752.88,2124.94,2627.94,1073.00
Tanahu,22.00,43882.54,43570.76,311.78,2403.00
Taplejung,20.00,125043.05,123885.95,1157.10,1078.00
Tehrathum,5.00,2575.00,2551.15,23.85,195.00
Udaypur,5.00,5853.71,5296.60,557.11,764.00
Total,7967.00,1963742.48,1768993.76,195377.11,598500.00
