Fiscal Year,National Trademark (in Number),Foreign Trademark (in Number),Total Trademark (in Number),National Patent (in Number),Foreign Patent (in Number),Total Patent (in Number),National Design (in Number),Foreign Design (in Number),Total Design (in Number)
Up to 2065/66,16622.00,12715.00,29337.00,31.00,39.00,70.00,38.00,43.00,81.00
2066/67,889.00,675.00,1564.00,1.00,0.00,1.00,0.00,0.00,0.00
2067/68,850.00,657.00,1507.00,1.00,0.00,1.00,0.00,0.00,0.00
2068/69,456.00,1230.00,1686.00,1.00,0.00,1.00,4.00,3.00,7.00
2069/70,1473.00,1089.00,2562.00,1.00,0.00,1.00,13.00,1.00,14.00
2070/71,1084.00,920.00,2004.00,0.00,0.00,0.00,1.00,0.00,1.00
2071/72,1080.00,992.00,2072.00,1.00,0.00,1.00,6.00,5.00,11.00
2072/73,1032.00,1366.00,2398.00,0.00,0.00,0.00,8.00,3.00,11.00
2073/74,1020.00,1260.00,2280.00,0.00,0.00,0.00,5.00,16.00,21.00
2074/75,1047.00,1224.00,2271.00,2.00,0.00,2.00,4.00,4.00,8.00
2075/76,1256.00,1175.00,2431.00,2.00,0.00,2.00,21.00,7.00,28.00
Total,26809.00,23303.00,50112.00,40.00,39.00,79.00,100.00,82.00,182.00
