Country Name,No.Of Projects,Total Amount Of Foreign Investment (In Million Rupees),Employment (In Number)
China (Including Taiwan),1556.00,123363.00,73394.00
India,781.00,94111.04,72673.00
UK,196.00,13549.11,13212.00
South Korea,354.00,12323.75,11819.00
USA,413.00,9063.07,18550.00
Singapore,51.00,4517.39,3528.00
Mauritius,11.00,3434.70,1055.00
Japan,272.00,3076.21,10258.00
United Arab Emirates,20.00,2984.51,1877.00
Switzerland,60.00,2920.01,1575.00
Others,1108.00,24363.54,50184.00
Total,4822.00,293706.68,258125.00
