DISTRICT,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
BAITADI,1.00,9.50,5.50,4.00,9.50,40.00
BANKE,2.00,446.77,399.55,47.23,15.60,70.00
BARA,3.00,264.00,194.00,70.00,264.00,158.00
BARDIYA,1.00,7.86,7.40,0.46,7.86,16.00
BHAKTAPUR,8.00,632.00,581.86,50.15,617.00,244.00
CHITWAN,5.00,93.00,74.95,18.05,74.60,127.00
DANG,2.00,44.00,38.10,5.90,44.00,236.00
DHADING,1.00,5.00,3.80,1.20,5.00,29.00
DOLKHA,2.00,20.00,17.00,3.00,20.00,50.00
GORKHA,2.00,21.00,18.80,2.20,20.00,41.00
JHAPA,3.00,1069.00,999.60,69.40,929.80,249.00
KAILALI,1.00,9.50,5.00,4.50,9.50,35.00
KALIKOT,1.00,42106.60,41400.00,706.60,33685.28,80.00
KASKI,40.00,452.50,377.53,74.98,404.00,846.00
KATHMANDU,181.00,9904.64,7838.17,2066.47,7198.22,5972.00
KAVRE,8.00,183.00,162.38,20.62,123.00,234.00
LALITPUR,81.00,1586.55,1270.65,315.90,1563.41,2757.00
MAKWANPUR,7.00,207.20,148.80,58.40,143.33,208.00
MUSTANG,1.00,362.91,359.24,3.67,290.33,22.00
MYAGDI,1.00,22000.00,21786.00,214.00,20240.00,845.00
NAWALPARASI,1.00,35.00,33.20,1.80,35.00,32.00
NUWAKOT,5.00,90.15,77.50,12.65,87.63,124.00
OKHALDHUNDA,1.00,50.00,41.15,8.85,47.50,5.00
PARSA,2.00,204.87,97.67,107.20,204.87,78.00
PYUTHAN,2.00,90.00,78.00,12.00,90.00,200.00
RUPANDEHI,2.00,1295.45,1243.25,52.20,1136.36,325.00
SINDHUPALCHOWK,2.00,15.00,12.30,2.70,15.00,69.00
SOLUKHUMBU,2.00,135.00,127.50,7.50,135.00,95.00
SUNSARI,1.00,5.00,4.30,0.70,5.00,13.00
TANAHU,1.00,50.00,40.00,10.00,50.00,65.00
TOTAL,370.00,81395.50,77443.19,3952.31,67470.79,13265.00
