DISTRICT,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
ACHHAM,4.00,571.18,550.68,20.50,418.18,411.00
ARGHAKHACHI,2.00,1342.09,199.27,1142.83,449.60,331.00
BAGLUNG,1.00,500.00,250.00,250.00,500.00,290.00
BAITADI,6.00,106.50,92.30,14.20,91.50,455.00
BAJHANG,1.00,15.00,12.30,2.70,12.00,70.00
BANKE,24.00,3072.00,2791.89,275.34,499.96,1757.00
BARA,52.00,8154.55,6351.35,1621.73,2617.12,4897.00
BARDIYA,12.00,212.54,168.66,43.88,179.80,509.00
BHAKTAPUR,64.00,5366.17,4438.62,927.55,3811.73,5047.00
CHITWAN,67.00,5154.85,4212.80,905.79,1685.48,8883.00
DADELDHURA,2.00,28.00,23.50,4.50,14.50,55.00
DANG,14.00,4878.90,4571.50,307.40,398.90,1826.00
DARCHULA,2.00,40.40,36.20,4.20,7.42,117.00
DHADING,13.00,2509.89,2436.00,73.89,2270.00,910.00
DHANKUTA,1.00,46.62,37.62,9.00,0.00,120.00
DHANUSHA,3.00,291.04,249.71,41.33,165.52,292.00
DOLKHA,7.00,5820.20,5298.03,522.17,1525.73,375.00
DOTI,1.00,10.00,7.20,2.80,10.00,33.00
GORKHA,7.00,740.09,680.62,59.47,110.22,832.00
HUMLA,7.00,61.00,52.30,8.70,36.74,134.00
ILAM,5.00,309.00,256.44,52.56,267.76,433.00
JAJARKOT,1.00,600.00,580.00,20.00,600.00,280.00
JHAPA,18.00,2120.14,1677.00,443.15,1218.15,3583.00
KAILALI,8.00,1050.74,972.51,78.23,310.50,1210.00
KALIKOT,1.00,42106.60,41400.00,706.60,33685.28,80.00
KANCHANPUR,19.00,886.77,789.81,96.96,239.40,1798.00
KAPILBASTU,9.00,421.71,206.42,150.59,307.81,300.00
KASKI,224.00,26529.92,24983.02,1387.23,11122.47,8547.00
KATHMANDU,1833.00,92611.25,74400.12,17941.07,46809.99,92090.00
KAVRE,67.00,2383.99,2023.26,364.63,1632.70,5068.00
LALITPUR,506.00,21170.04,13159.56,7997.45,16992.65,23406.00
LAMJUNG,6.00,2319.93,2267.25,52.68,519.35,565.00
MAKWANPUR,63.00,8018.08,6196.37,1611.97,3057.07,5094.00
MANANG,3.00,990.00,967.75,22.25,250.01,924.00
MORANG,32.00,4074.47,3062.08,995.96,2109.40,5269.00
MUGU,1.00,8.60,6.00,2.60,8.60,18.00
MUSTANG,5.00,852.65,829.74,22.91,316.85,188.00
MYAGDI,3.00,39015.00,38707.80,307.20,24335.00,904.00
NAWALPARASI,29.00,7878.84,7014.76,816.30,1374.11,3567.00
NUWAKOT,16.00,2440.73,2290.85,148.80,321.33,1133.00
OKHALDHUNDA,2.00,300.00,286.15,13.85,66.50,127.00
PALPA,3.00,339.50,190.78,148.72,314.40,261.00
PARBAT,1.00,1100.00,1089.00,11.00,1.50,2614.00
PARSA,49.00,3776.28,2610.97,1147.11,2430.72,6219.00
PYUTHAN,2.00,90.00,78.00,12.00,90.00,200.00
RAMECHHAP,1.00,291.34,237.89,53.45,262.21,200.00
RASUWA,7.00,7522.40,6472.28,1035.12,3362.43,205.00
RAUTAHAT,2.00,569.18,515.78,50.02,54.06,639.00
ROLPA,3.00,32.22,28.31,3.91,29.00,156.00
RUPANDEHI,39.00,7618.54,6454.07,991.58,4300.19,3901.00
SANKHUWASABHA,1.00,500.00,488.00,12.00,500.00,250.00
SAPTARI,3.00,430.00,394.50,35.50,299.40,190.00
SINDHULI,1.00,9.00,7.70,1.30,9.00,105.00
SINDHUPALCHOWK,13.00,7107.73,6830.89,276.83,1366.08,3085.00
SIRAHA,5.00,3464.02,3058.89,405.01,2113.20,928.00
SOLUKHUMBU,15.00,3724.17,3488.59,164.40,1443.13,546.00
SUNSARI,27.00,2760.67,2057.47,703.20,1653.85,3532.00
SURKHET,4.00,3617.36,2842.20,775.16,2207.17,366.00
TANAHU,6.00,183.02,144.70,38.32,131.50,381.00
TAPLEJUNG,2.00,12.10,10.14,1.96,11.90,44.00
TOTAL,3325.00,338156.97,291537.59,45337.52,180929.07,205750.00
