DISTRICT,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
ACHHAM,4,1071.57,1050.17,21.4,257
ARGHAKHACHI,3,4558.08,4328.58,229.49,353
BAGLUNG,8,3281.12,3248.66,32.46,326
BAITADI,5,87,76.3,10.7,416
BAJHANG,4,783.3,758.8,24.5,285
BAJURA,1,39.9,31.63,8.28,29
BANKE,67,8865.5,7324.69,1540.8,6104
BARA,208,32240.06,21261.48,10978.58,22218
BARDIYA,16,627.93,534.93,93,678
BHAKTAPUR,144,9036.89,7519.46,1517.42,14168
BHOJPUR,6,2735.27,1700.84,1034.43,622
CHITWAN,165,18037.9,14059.92,3977.98,10738
DADELDHURA,3,111.19,103.22,7.97,85
DAILEKH,4,1531.75,1509.25,22.5,144
DANG,33,9907.34,8950.79,958.64,4204
DARCHULA,5,1954.86,1910.27,44.59,319
DHADING,45,17984.84,16919.5,1065.34,3063
DHANKUTA,17,2240.44,1914.83,335.61,2759
DHANUSHA,32,3804.72,3268.58,536.15,2828
DOLKHA,29,83766.8,83251.64,515.16,5956
DOLPA,1,4.72,3.91,0.81,21
DOTI,6,13400,13280.7,119.3,220
GORKHA,23,3867.05,3753.39,113.66,1577
GULMI,5,1820.77,1747.37,73.4,109
HUMLA,5,46,38.7,7.3,105
ILAM,36,11693.95,10373.74,1320.2,5955
JAJARKOT,1,50,46,4,55
JHAPA,94,7431.79,6249.76,1182.03,14333
KAILALI,32,3123.18,1828.13,1295.05,3184
KALIKOT,4,7278,7041.09,236.91,314
KANCHANPUR,23,2257.77,1838.99,418.77,3391
KAPILBASTU,26,5003.22,4048.15,955.08,3116
KASKI,308,45347.19,41736.46,3602.83,15100
KATHMANDU,2783,160031.44,123551.07,36525.07,211932
KAVRE,132,6735.58,5359.61,1375.96,10969
KHOTANG,3,988.5,962.25,26.25,100
LALITPUR,655,32102.96,22059.76,10151.2,38074
LAMJUNG,25,34489.94,33491.16,998.78,1905
MAHOTTARI,4,996.6,842.77,153.84,767
MAKWANPUR,93,17134.41,13982.34,3152.08,8914
MANANG,1,900,885,15,256
MORANG,220,17225.74,12065.07,5160.66,19295
MUGU,2,50.97,45.11,5.86,68
MUSTANG,7,2466.35,2391.39,74.96,402
MYAGDI,14,62896.27,62113.81,782.46,1470
NAWALPARASI,94,19321.6,15675.67,3645.93,9278
NUWAKOT,36,11295.2,10932.87,363.33,1701
OKHALDHUNDA,1,1214,1200,14,50
PALPA,6,1434.71,1269.78,164.93,573
PANCHATHAR,9,5957.14,5850.69,106.45,2743
PARBAT,3,721.41,710.41,11,299
PARSA,146,13624.89,8128.57,5966.82,13698
PYUTHAN,2,90,78,12,200
RAMECHHAP,11,21395.74,20545.42,850.32,735
RASUWA,17,39709.81,37289.39,2420.43,2258
RAUTAHAT,8,1234.23,1051.3,182.92,1009
ROLPA,3,1022.79,971.86,50.94,4066
RUKUM,2,400,355,45,216
RUPANDEHI,172,21894.14,16723.81,5170.33,17095
SALYAN,1,6200,6000,200,273
SANKHUWASABHA,12,89996.04,88353.38,1642.66,1552
SAPTARI,12,770.99,617.27,153.72,1139
SARLAHI,15,3330.77,2823.32,507.46,2433
SINDHULI,2,203.84,194.85,8.99,195
SINDHUPALCHOWK,41,48731.27,47413.63,1317.65,3391
SIRAHA,9,3202.39,2711.92,490.47,1293
SOLUKHUMBU,34,28810.51,27783.99,1026.52,2875
SUNSARI,124,11929.74,9017.23,2912.51,13706
SURKHET,8,2195.46,1904,291.46,787
SYANGJA,4,406.32,281.19,125.14,498
TANAHU,16,42439.14,42233.16,205.98,2019
TAPLEJUNG,9,15545.43,15381.44,163.98,367
TEHRATHUM,5,2575,2551.15,23.85,195
UDAYPUR,5,5853.71,5296.6,557.11,764
TOTAL,6109,1041515.11,922805.19,119338.32,502592
