SN,University,Male,Female,Total
1,Tribhuvan University,155336,129117,284453
2,Nepal Sanskrit University,250,1221,1471
3,Kathmandu University,8001,8657,16658
4,Purbanchal University,10657,12882,23539
5,Pokhara University,10228,15804,26032
6,Lumbini Bauddha University,57,139,196
7,Agriculture and Forestry University,487,1096,1583
8,Mid-Western University,1284,1762,3046
9,Far Western University,1107,1104,2211
10,BP Koirala Institute for Health Sciences,704,744,1448
11,National Academy of Medical Sciences,19,71,90
12,Patan Academy of Health Science,165,185,350
13,Karnali Academy Health Sciences,0,0,0
14,Nepal Open University,0,0,0
15,Rajarshi Janak University,0,0,0
 ---,Total,188295,172782,361077
