Project Title,Date of Agreement,Completion Date,Total Commitment (USD),Total Disbursement (USD)
Power Development Project,37811,39994,170575340,130945981
Bishesor Prasad Koirala Highway (Sindhuli Road Section III) [Nepalthok-Khurkot Segment],39987,42094,114990369,107761655
Rural Access Improvement and Decentralization Project(RAIDP),40373,41639,73781566,49350000
Second Higher Education Project (including JSDF Secondary School Stipend project),39202,41836,65310668,59415651
Rural Finance Sector Development-Cluster Program (Sub Program I),39022,40724,64700000,64161737
NEPAL RURAL ACCESS PROGRAMME PHASE- II,39766,41608,59324139,62982274
Enabling State Programme,35739,41275,56184515,52895092
Second Rural Water Supply and Sanitation Project,38244,39872,50553652,46404718
Livelihood and Forestry Programme,36892,40816,38242123,27354660
Community Support Programme,40710,40999,37371674,27705958
Country Programme Nepal (2002-2012),39351,41274,36585465,20840649
Emergency Peace Support Project,39686,41090,35979628,34415108
Procurement of vaccines (Pentavalent),39351,40908,34094614,29035182
Syaprubesi Rasuwagadhi Road Project,39287,40285,32544379,8509453
Community Support Programme Phase - II,40281,40999,30712531,31360309
Development policy credit - DPC,41486,41521,30000000,30800000
Nepal Family Health Program (NFHP II),39435,41182,29999997,29999997
Improvement of Kathmandu-Bhaktapur Road Project,39646,40633,26243451,30621138
COUNTRY PROGRAMME ACTION PLAN (CPAP) 2008-2010 (extended to 2012) for the Programme of Cooperation between The Government of Nepal and The United Nations Population Fund (UNFPA),39503,41274,25000000,21980000
USAID/Nepal Transition Initiative (NTI),38945,40811,24845000,24845000
Centre for Inclusive Growth, -,42004,24491490,24730457
Community based Water Supply and Sanitation Sector Project,37964,40359,24000000,23858024
Financial Sector Technical Assistance Project,37741,39263,23429011,21577271
Nepal Economic Agriculture and Trade Program (NEAT),40528,41455,22552144,22552144
Advancing Surveillance Policies Prevention Care and Support to Fight HIV/AIDS project (ASHA),38897,40816,21614928,21614928
Skills for Employment Project,38385,40633,20000000,16632951
Community Livestock Development Program (CLDP),38085,40359,20000000,20331291
PRRO 200136 Food Assistance to Refugees from Bhutan,40444,42004,19256402,22995437
Renewable energy project,38216,40771,18294022,2684091
Commercial Agriculture Development Project (CADP),39136,41274,18000000,14883668
Rural Water Supply and Sanitation Project in Western Nepal [RWSSP-WN],39590,41274,15292356,12979796
Leasehold Forestry and livestock Programme,38510,41912,15286940,14120217
