Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
UNICEF country programme July to December 2010,HEALTH,United Nations Children's Fund,40360,40543,12840000,12840000
Children’s and Women’s Development Program,WOMEN  CHILDREN & SOCIAL WELFARE,Child Haven International,42932,44757,2088575,0
1.9: DRR and Climate Change Policies,ENVIRONMENT SCIENCE & TECHNOLOGY,United Nations Children's Fund, -,43100,520108,520108
IR 2.10: District Emergency Preparedness,OFF BUDGET,United Nations Children's Fund,41281,43100,8138639,8138639
IR 5.8 Earthquake Emergency Social Policy and Economic Analysis,OTHERS - SOCIAL,United Nations Children's Fund, -, -,14560000,21742795
IR 5.5: Earthquake Emergency Response- Nutrition,MISCELLANEOUS,United Nations Children's Fund, -, -,7207911,3854608
IR 5.11 Earthquake Response Field Operations,MISCELLANEOUS,United Nations Children's Fund, -,43100,29455,29455
IR 5.2: WASH in Earthquake Emergency,OFF BUDGET,United Nations Children's Fund,42125,42369,7439884,15405295
IR 5.1:Earthquake Emergency Response - Education,MISCELLANEOUS,United Nations Children's Fund, -, -,5540816,5540816
IR 5.1:Earthquake Emergency Response - Education,OFF BUDGET,United Nations Children's Fund, -, -,18982340,18982340
IR 5.4:Child Protection Earthquake Response,MISCELLANEOUS,United Nations Children's Fund,42156, -,259900,259900
IR 5.4:Child Protection Earthquake Response,OFF BUDGET,United Nations Children's Fund,42156, -,10662782,8679482
IR 5.6: M&E Earthquake Response,MISCELLANEOUS,United Nations Children's Fund, -, -,510469,214313
IR 5.7 C4D Earthquake Emergency,OFF BUDGET,United Nations Children's Fund,42139,43100,2757574,22022872
5.9 Communication Earthquake Emergency,COMMUNICATIONS,United Nations Children's Fund,42120,43100,260458,194816
Livelihood improvement of earthquake affected people through agricultural activities,AGRICULTURE,Japan Asian Association and Friendship Society,43109,44204,925367,434832
3.1 - Early Childhood Education and Development,EDUCATION,United Nations Children's Fund, -, -,77072,1069989
3.2 Quality Basic Education,EDUCATION,United Nations Children's Fund, -, -,3177072,1482569
3.3 Adolescents Literacy and Life-Skills Education,EDUCATION,United Nations Children's Fund,43629,44012,4012000,1168824
3.4 Systems Strengthening & Safe Schools,EDUCATION,United Nations Children's Fund,43264,44012,8739847,1073614
Programme Planning and Monitoring,PLANNING & STATISTICS,United Nations Children's Fund,43241,44012,841091,227342
1.1 Maternal & Newborn services,HEALTH,United Nations Children's Fund,43244,44012,746296,467471
1.2 Quality Child Health Services,HEALTH,United Nations Children's Fund,43244,43646,790075,759463
1.3 Adolescent Health & HIV Services,HEALTH,United Nations Children's Fund,43609,43646,151671,148933
1.4 Health Sector Support, DRR and Emergency HEALTH,United Nations Children's Fund,43244,44012,625926,625926
6.1 Improved capacity for measurement  analysis and evidence,WOMEN  CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,43248,44012,536478,536478
Multiple Indicator Cluster Survey 2018,SOCIAL PROTECTION,United Nations Children's Fund,43248,44012,126356,126356
6.2 Strengthened capacity to deliver an expanded and improved child-sensitive society,OTHERS - SOCIAL,United Nations Children's Fund,43248,44012,105000,105000
6.3 By 2022 improved partnerships with and between national institutions and civil society to promote policy change for children.,OTHERS - SOCIAL,United Nations Children's Fund,43248,44012,10064,10064
2.1 Increased knowledge and skills to provide improved adolescent  maternal  infant and young child nutrition and care practices,OTHERS - SOCIAL,United Nations Children's Fund,43241,44012,648462,648462
2.2 Health workers at sub-national levels have increased capacity to provide quality care and treatment for/services to SAM children using standard protocols,OTHERS - SOCIAL,United Nations Children's Fund,43241,44012,157203,157203
2.3 Health workers  FCHVs and communities have increased capacity to stimulate demand for supplementation (Vitamin A  IFA  MNP) and to promote fortified foods (iodised salt  wheat flour) and a diversified diet,OTHERS - SOCIAL,United Nations Children's Fund,43241,44012,99820,99820
4.1 Increased capacity to legislate  plan and budget for children,OTHERS - SOCIAL,United Nations Children's Fund,43118,43860,841748,841748
4.2 Improved knowledge  skills and capacity to prevent and respond to violence and exploitation of children,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,43118,43860,1540248,1540248
4.3 Improved knowledge and capacity to provide child friendly and gender- sensitive services to protect children in contact with the justice system,WOMEN  CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,43299,44012,360418,360418
7.4 Communication for Development,OFF BUDGET,United Nations Children's Fund,43241,44012,130000,38247
7.3:Disaster Risk Reduction/ Emergency,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,43238,44012,1051291,952491
Programme Component Result: PCR5 Intermediate Results: IR 1 - Local Governance ,LOCAL DEVELOPMENT,United Nations Children's Fund,40630,41274,4423115,3316508
PCR5 IR-3: Legislation  social protection social budgeting child poverty,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,39503,41121,307900,340852
PCR5 IR - 4: Participation and Partnerships,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,39503,41274,662868,558075
PCR5 IR5: Evidence and disaggregated information on the Situation of Children and Women generated and made available to policy makers through a KM system,POLICY AND STRATEGIC,United Nations Children's Fund,39503,41274,256000,144700
PCR 3 IR 1: Pregnant women and adolescents from MARP groups in intervention areas who need ARV treatment are empowered to opt for appropriate services for themselves and their children.,HEALTH,United Nations Children's Fund,39503,41274,752800,370929
PCR 3 IR 2: Adolescent girls and boys specifically MARAs and EVAs have comprehensive knowledge and skills to protect themselves from HIV in intervention areas.,HEALTH,United Nations Children's Fund,39503,41274,804000,218388
PCR 3 IR 3: CABA specifically adolescent girls have access to programmes to strengthen their life skills and to protection mechanisms that provide them with protection and care services from families communities and government in intervention areas.,HEALTH,United Nations Children's Fund,40599,41274,776000,182287
PCR 4 IR 1 - Legislation and Justice System,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,39503,41274,800000,608168
PCR 2 IR 1: Education sector Policy lobby and advocacy,POLICY AND STRATEGIC,United Nations Children's Fund,40599,41274,2162693,521997
PCR 2 IR 2: Child Friendly Service delivery,EDUCATION,United Nations Children's Fund,39503,41274,2644692,2678664
PCR 2 IR 3: Peace & Emergency Education Stakeholder capacity in disaster risk reduction preparedness response & recovery enhanced to ensure education of children (girls & boys) & adolescent girls during humanitarian crises in line with the CCCs.,EDUCATION,United Nations Children's Fund,39503,41274,825270,706546
PCR 2 IR 4: Community Mobilization and Capacity Building,EDUCATION,United Nations Children's Fund,39503,41274,1361192,729772
