Name of the PE's,Administrative Expenses,,,Percentage,,,,,,,,
,Actual 2015/16,Actual 2016/17,Estimate 2017/18,Change % compared to
2015/16,Change % compared to 2016/17,,,,,,,
Industrial Sector,,,,,,,,,,,,
Dairy Development Corporation,2861,4033,4156,40.96,3.05,,,,,,,
Herbs Production and Processing Company Ltd.,212,398,398,87.92,-,,,,,,,
Hetauda Cement Industry Ltd.,1151,1919,1405,66.72,-26.78,,,,,,,
Janakpur Cigarette Factory Ltd.,-,222,-,-,-100.00,,,,,,,
Nepal Aushadhi Ltd.,135,81,108,-40.12,33.33,,,,,,,
Udayapur Cement Industries Ltd.,883,1508,2328,70.78,54.38,,,,,,,
Nepal Orind Magnesite Pvt. Ltd.,79,222,57,181.01,-74.32,,,,,,,
Total,5321,8383,8452,57.54,0.82,,,,,,,
Trading Sector,,,,,,,,,,,,
Agriculture Inputs Company Ltd.,2608,3777,3100,44.82,-17.92,,,,,,,
National Seeds Company Ltd.,643,476,826,-26.04,73.79,,,,,,,
National Trading Ltd.,1846,17109,-,826.81,-100.00,,,,,,,
Nepal Food Corporation,3615,3286,3501,-9.10,6.54,,,,,,,
Nepal Oil Corporation Ltd.,6289,9966,7973,58.47,-20.00,,,,,,,
The Timber Corporation of Nepal Ltd.,1396,2047,2149,46.64,5.00,,,,,,,
Total,16397,36661,17550,123.58,-52.13,,,,,,,
Service Sector,,,,,,,,,,,,
Industrial Districts Management Ltd.,1277,2017,2184,57.89,8.28,,,,,,,
National Construction Company Nepal Ltd.,-,-,-,-,-,,,,,,,
Nepal Transit and Warehousing Company Ltd.,477,618,652,29.56,5.50,,,,,,,
Nepal Engineering Consultancy Service Center Ltd.,-,-,-,-,-,,,,,,,
Napal Airlines Corporation,17144,25395,30473,48.13,20.00,,,,,,,
National Productivity & Eco. Dev. Center Ltd.,87,141,245,62.61,73.77,,,,,,,
Civil Aviation Authority of Nepal,3345,9170,12253,174.13,33.62,,,,,,,
Total,22330,37341,45807,67.22,22.67,,,,,,,
Social Sector,,,,,,,,,,,,
Cultural Corporation,54,54,60,-,11.11,,,,,,,
Gorkhapatra Corporation,1916,2434,-,27.04,-100.00,,,,,,,
Janak Education Material Centre Ltd.,1700,1219,1278,-28.29,4.84,,,,,,,
Nepal Television,3201,4282,4395,33.78,2.64,,,,,,,
Rastriya Aawas Company Ltd.,393,453,600,15.40,32.45,,,,,,,
Total,7264,8442,6333,16.23,-24.98,,,,,,,
Public Utility Sector,,,,,,,,,,,,
Nepal Water Supply Corporation,1620,4357,4793,168.95,10.01,,,,,,,
Nepal Electricity Authority,58259,76866,83285,31.94,8.35,,,,,,,
Nepal Doorsanchar Company Ltd.,13874,12890,17663,-7.09,37.03,,,,,,,
Vidhyut Utpadan Company Ltd.,,119,108,-,-8.67,,,,,,,
Rastriya Prasaran Grid Company Ltd.,,31,141,-,348.22,,,,,,,
Total,73753,94263,105990,27.81,12.44,,,,,,,
Financial Sector,,,,,,,,,,,,
Agricultural Development Bank Ltd.,35606,41555,41666,16.71,0.27,,,,,,,
Rastriya Beema Corporation,977,1594,1650,63.17,3.50,,,,,,,
Rastriya Beema Company Ltd.,1172,411,452,-64.97,10.00,,,,,,,
NIDC Development Bank Ltd.,825,1101,349,33.53,-68.30,,,,,,,
Rastriya Banijya Bank Ltd.,37070,40078,51222,8.11,27.81,,,,,,,
Deposit and Credit Guarantee Fund,509,416,499,-18.23,20.00,,,,,,,
Nepal Stock Exchange Ltd.,591,849,934,43.53,10.00,,,,,,,
Citizen Investment Trust,1604,2252,2589,40.40,14.96,,,,,,,
Jalvidhyut Lagani Tatha Bikas Company Ltd.,1453,350,651,-75.91,86.04,,,,,,,
Nepal Bank Ltd.,27861,29334,36099,5.29,23.06,,,,,,,
Total,107669,117941,136112,9.54,15.41,,,,,,,
Grand Total,232733,303031,320244,30.21,5.68,,,,,,,
-Rs. in Lakh,,,,,,,,,,,,
