Name of the Public Enterprise,Up to  2015/16,Up to 2016/17,Total
Himal Cement Company,4302,-,4302
Bhaktapur Brick Factory,2062,-,2062
Birgunj Sugar Factory,10753,40,10793
Agriculture Inputs Factory,2535,20,2555
Nepal Rosin and Turpentine Ltd.,1808,-,1808
Lumbini Sugar Factory,5090,-,5090
Agriculture Lime Industry Ltd.,826,-,826
Nepal Coal Limited,84,-,84
Nepal Transport Corporation,4978,-,4978
Hetauda Textile Industry,5360,-,5360
Cottage and Handicrafts Sales Emporium,810,-,810
Nepal Tea Development Corporation,1192,-,1192
Butwal Spinnig Mills,4745,-,4745
Biratnagar Jute Mills,10386,-,10386
Nepal Bitumin and Barrel Industry Ltd.,6,-,6
Total,54937,60,54997
(Rs. in Lakh),,,

