Name of the PE's,Share Investment Upto 2016/17,Loan Investment Upto 2016/17,Loan Investment Upto 2016/17,Loan Investment Upto 2016/17,Divedend Received
,,Internal,External,Total,
Industrial Sector,,,,,
Dairy Development Corporation,3664,-,-,-,-
Herbs Production and Processing Company Ltd.,241,493,-,493,-
Hetauda Cement Industry Ltd.,9007,1200,-,1200,-
Janakpur Cigarette Factory Ltd.,800,28515,-,28515,-
Nepal Aushadhi Ltd.,747,10109,-,10109,-
Udayapur Cement Industries Ltd.,36481,17250,-,17250,-
Nepal Orind Magnesite Pvt. Ltd.,3750,7843,-,7843,-
Total,54690,65410,-,65410,-
Trading Sector,,,,,
Agriculture Inputs Company Ltd.,4143,-,-,-,-
National Seeds Company Ltd.,1185,-,-,-,-
National Trading Ltd.,1693,10320,-,10320,-
Nepal Food Corporation,9904,-,-,-,-
Nepal Oil Corporation Ltd.,2908,-,,-,-
The Timber Corporation of Nepal Ltd.,154,-,-,-,-
Total,19987,10320,-,10320,-
Service Sector,,,,,
Industrial Districts Management Ltd.,8151,-,-,-,75
National Construction Company Nepal Ltd.,-,-,-,-,-
Nepal Transit and Warehousing Company Ltd.,122,-,-,-,-
Nepal Engineering Consultancy Service Center Ltd.,-,-,-,-,-
Napal Airlines Corporation,1623,-,-,-,-
National Productivity & Eco. Dev. Center Ltd.,19,434,-,434,-
Civil Aviation Authority of Nepal,254897,57242,,57242,-
Total,264812,57676,-,57676,75
Social Sector,,,,,
Cultural Corporation,132,2375,-,2375,-
Gorkhapatra Corporation,115,700,-,700,-
Janak Education Material Centre Ltd.,4500,8200,-,8200,-
Nepal Television,28589,-,-,-,-
Rastriya Aawas Company Ltd.,520,-,-,-,-
Total,33856,11275,-,11275,-
Public Utility Sector,,,,,
Nepal Water Supply Corporation,3476,37365,-,37365,-
Nepal Electricity Authority,825127,1106041,-,1106041,-
Nepal Doorsanchar Company Ltd.,137240,-,-,-,69992
Vidhyut Utpadan Company Ltd.,9900,-,-,-,-
Rastriya Prasaran Grid Company Ltd.,9900,-,-,-,-
Total,985643,1143406,-,1143406,69992
Financial Sector,,,,,
Agricultural Development Bank Ltd.,90474,13845,-,13845,3640
Rastriya Beema Corporation,26,-,-,-,-
Rastriya Beema Company Ltd.,591,-,-,-,-
NIDC Development Bank Ltd.,4127,-,-,-,-
Rastriya Banijya Bank Ltd.,85890,600,-,600,-
Deposit and Credit Guarantee Fund,28000,-,-,-,-
Nepal Stock Exchange Ltd.,1760,-,-,-,-
Citizen Investment Trust,740,-,-,-,-
Jalvidhyut Lagani Tatha Bikas Company Ltd.,50000,-,-,-,2500
Nepal Bank Ltd.,50037,-,-,-,-
Total,311645,14445,-,14445,6140
Grand Total,1670634,1302532,-,1302532,76207
( Rs. in Lakh),,,,,
