Name of PE's,Share Investment Upto 2016/17,Loan Investment Upto 2016/17,,,Divedend Received
,,Internal,External,Total,
Industrial Sector,,,,,
Dairy Development Corporation,3664,-,-,-,-
Herbs Production and Processing Company Ltd.,397,-,493,493,-
Hetauda Cement Industry Ltd.,9007,-,1200,1200,-
Janakpur Cigarette Factory Ltd.,408,28515,-,28515,-
Nepal Aushadhi Ltd.,748,10109,-,10109,-
Udayapur Cement Industries Ltd.,36481,-,22100,22100,-
Nepal Orind Magnesite Pvt. Ltd.,3750,7860,-,7860,
Total,54455,46484,23793,70277,-
Trading Sector,,,,,
Agriculture Inputs Company Ltd.,4144,-,-,-,-
National Seeds Company Ltd.,1101,-,-,-,-
National Trading Ltd.,1693,10320,-,10320,-
Nepal Food Corporation,9993,42,-,42,-
Nepal Oil Corporation Ltd.,2908,-,-,-,1454
The Timber Corporation of Nepal Ltd.,155,-,30,30,-
Total,19993,10362,30,10393,1454
Service Sector,,,,,
Industrial Districts Management Ltd.,8146,-,-,-,81
National Construction Company Nepal Ltd.,621,116,-,116,-
Nepal Transit and Warehousing Company Ltd.,122,1201,-,1201,-
Nepal Engineering Consultancy Service Center Ltd.,38,-,-,-,-
Napal Airlines Corporation,3793,5893,65,5958,-
National Productivity & Eco. Dev. Center Ltd.,19,434,-,434,-
Civil Aviation Authority of Nepal,286549,601,14387,14988,-
Total,299288,8245,14451,22697,81
Social Sector,,,,,
Cultural Corporation,132,2375,-,2375,-
Gorkhapatra Corporation,115,700,-,700,-
Janak Education Material Centre Ltd.,4564,8200,-,8200,-
Nepal Television,28589,-,-,-,-
Rastriya Aawas Company Ltd.,520,-,-,-,-
Total,33920,11275,-,11275,-
Public Utility Sector,,,,,
Nepal Water Supply Corporation,3476,35938,23006,58944,-
Nepal Electricity Authority,725065,488001,839393,1327394,-
Nepal Doorsanchar Company Ltd.,137242,-,9065,9065,69992
Vidhyut Utpadan Company Ltd.,10100,-,-,-,-
Rastriya Prasaran Grid Company Ltd.,9900,-,-,-,-
Total,885783,523939,871464,1395403,69992
Financial Sector,,,,,
Agricultural Development Bank Ltd.,81398,9362,2318,11680,3862
Rastriya Beema Corporation,26,-,-,-,-
Rastriya Beema Company Ltd.,591,-,,-,-
NIDC Development Bank Ltd.,4127,65,3284,3349,-
Rastriya Banijya Bank Ltd.,85890,-,-,-,-
Deposit and Credit Guarantee Fund,28000,-,-,-,-
Nepal Stock Exchange Ltd.,1760,-,-,-,880
Citizen Investment Trust,450,-,-,-,-
Jalvidhyut Lagani Tatha Bikas Company Ltd.,50000,-,-,-,1500
Nepal Bank Ltd.,50037,-,-,-,-
Total,302279,9428,5602,15029,6242
Grand Total,1595718,609734,915341,1525075,77770
( Rs. in Lakh),,,,,
