Name of the PE's,Upto 2016/17 -Rs. in Lakh,,
,Amount as per PEs,Amount as per FCGO,Difference
Industrial Sector,,,
Dairy Development Corporation,3664,3664,0 
Herbs Production and Processing Company Ltd.,241,397,-156
Hetauda Cement Industry Ltd.,9007,9007,0
Janakpur Cigarette Factory Ltd.,800,408,392
Nepal Aushadhi Ltd.,747,748,-1
Udayapur Cement Industries Ltd.,36481,36481,-
Nepal Orind Magnesite Pvt. Ltd.,3750,3750,-
Total,54690,54455,235
Trading Sector,,,
Agriculture Inputs Company Ltd.,4143,4144,-1
National Seeds Company Ltd.,1185,1101,84
National Trading Ltd.,1693,1693,0 
Nepal Food Corporation,9904,9993,-89
Nepal Oil Corporation Ltd.,2908,2908,0
The Timber Corporation of Nepal Ltd.,154,155,-1
Total,19987,19993,-6
Service Sector,,,
Industrial Districts Management Ltd.,8151,8146,5
National Construction Company Nepal Ltd.,-,621,-621
Nepal Transit and Warehousing Company Ltd.,122,122,0
Nepal Engineering Consultancy Service Center Ltd.,-,38,-38
Napal Airlines Corporation,1623,3793,-2170
National Productivity & Eco. Dev. Center Ltd.,19,19,-
Civil Aviation Authority of Nepal,254897,286549,-31652
Total,264812,299288,-34476
Social Sector,,,
Cultural Corporation,132,132,0
Gorkhapatra Corporation,115,115,0 
Janak Education Material Centre Ltd.,4500,4564,-64
Nepal Television,28589,28589,0 
Rastriya Aawas Company Ltd.,520,520,-
Total                   ,33856,33920,-64
Public Utility Sector,,,
Nepal Water Supply Corporation,3476,3476,0
Nepal Electricity Authority,825127,725065,100062
Nepal Doorsanchar Company Ltd.,137240,137242,-2
Vidhyut Utpadan Company Ltd.,9900,10100,-200
Rastriya Prasaran Grid Company Ltd.,9900,9900,-
Total                  ,985643,885783,99860
Financial Sector,,,
Agricultural Development Bank Ltd.,90474,81398,9076
Rastriya Beema Corporation,26,26,0
Rastriya Beema Company Ltd.,591,591,-
NIDC Development Bank Ltd.,4127,4127,0 
Rastriya Banijya Bank Ltd.,85890,85890,-
Deposit and Credit Guarantee Fund,28000,28000,-
Nepal Stock Exchange Ltd.,1760,1760,-
Citizen Investment Trust,740,450,290
Jalvidhyut Lagani Tatha Bikas Company Ltd.,50000,50000,-
Nepal Bank Ltd.,50037,50037,0
Total,311645,302279,9366
